ST	cpn60	fusA	gltA	pyrG	recA	rplB	rpoB
1	1	1	1	1	5	1	1
2	2	2	2	2	2	2	2
3	3	3	2	2	3	1	3
4	1	3	3	2	4	1	4
5	4	1	2	2	4	1	5
6	5	4	4	1	3	3	4
7	1	1	1	2	5	1	1
8	1	1	1	1	1	1	1
9	3	1	5	3	6	1	3
10	1	3	2	1	4	4	4
11	1	2	6	2	3	4	4
12	3	5	7	1	7	2	6
13	3	1	2	2	4	1	3
14	3	3	2	2	3	1	7
15	6	6	8	2	3	5	4
16	7	7	2	2	8	4	4
17	3	29	30	1	9	1	4
18	1	8	9	2	4	6	4
19	1	2	1	1	5	1	1
20	3	1	1	1	5	1	1
21	3	3	2	2	4	4	8
22	3	9	3	2	4	1	9
23	1	3	10	1	4	4	4
24	1	10	2	2	9	1	10
25	3	3	2	4	7	2	4
26	1	2	11	5	3	1	11
27	3	3	12	2	9	7	4
28	1	1	2	2	10	4	4
29	1	3	13	1	5	8	12
30	1	1	2	5	3	2	3
31	1	2	2	2	11	1	1
32	1	1	2	2	3	4	4
33	3	5	7	1	7	1	4
34	8	1	14	3	12	1	13
35	9	3	2	2	5	4	14
36	1	2	2	2	3	1	2
37	3	2	2	2	7	1	2
38	3	2	15	6	6	4	5
39	10	4	3	2	13	1	2
40	1	2	2	2	5	1	14
41	1	1	2	2	12	1	5
42	3	11	16	1	13	1	15
43	3	3	13	2	4	4	5
44	11	2	2	4	13	1	2
45	2	6	2	2	2	2	2
46	5	12	11	2	14	9	14
47	2	13	2	2	2	2	2
48	3	14	2	2	15	4	5
49	3	3	6	2	3	1	5
50	3	15	17	2	3	1	2
51	3	16	6	2	16	4	2
52	3	2	2	7	9	1	5
53	1	1	2	2	3	4	2
54	12	3	18	2	17	4	5
55	13	4	2	2	6	1	16
56	3	17	7	2	18	1	2
57	1	3	17	5	3	1	14
58	13	4	2	2	7	1	2
59	3	2	19	2	5	2	5
60	14	18	20	8	19	10	17
61	15	18	21	8	19	11	18
62	16	19	22	9	19	12	19
63	17	20	23	10	20	13	20
64	17	21	23	10	20	13	20
65	18	22	24	11	21	14	21
66	19	23	25	12	22	15	22
67	19	23	25	13	22	15	22
68	20	24	26	14	23	16	23
69	21	25	24	15	24	17	24
70	23	20	23	16	25	18	20
71	20	26	26	14	26	16	25
72	24	27	27	17	20	18	20
73	23	28	28	10	25	18	26
74	22	26	29	14	27	16	23
75	17	21	23	10	20	13	27
76	20	26	26	18	27	19	23
77	3	2	2	2	3	4	28
78	25	3	6	2	28	1	29
79	26	2	2	2	29	4	5
80	1	1	10	1	4	4	5
81	1	1	1	1	5	1	2
82	28	3	2	1	4	4	4
83	26	4	2	2	9	1	4
84	6	6	8	2	3	5	30
85	5	2	4	1	3	3	4
86	6	30	2	19	31	20	31
87	29	31	31	20	32	21	32
88	30	31	32	21	33	21	32
89	31	32	32	22	34	22	33
90	32	33	33	23	35	23	34
91	33	34	34	23	36	23	35
92	15	18	35	24	37	10	19
93	17	20	23	10	20	18	27
94	1	2	2	1	5	1	1
95	1	3	2	2	4	24	2
96	1	2	36	2	2	2	2
97	2	2	36	2	2	2	2
98	1	2	2	2	2	2	2
99	12	3	18	2	4	4	5
100	1	1	1	2	1	1	2
101	1	1	1	2	1	1	1
102	1	1	1	2	1	5	2
103	7	3	2	1	7	1	4
104	2	2	2	2	2	2	14
105	1	2	2	2	5	1	2
106	3	3	16	1	13	1	1
107	34	35	37	1	5	6	36
108	35	1	11	7	9	25	2
109	26	4	2	2	9	1	5
110	3	2	2	4	7	2	2
111	3	3	2	2	4	8	12
112	35	36	11	7	9	25	2
113	3	3	3	4	7	4	4
114	3	3	3	1	7	4	4
115	2	2	2	1	2	2	2
116	1	1	1	4	5	1	1
117	12	37	2	2	9	2	14
118	35	2	11	2	9	1	2
119	36	20	38	16	38	18	20
120	37	1	14	3	12	1	13
121	17	20	23	10	20	18	37
122	17	20	23	10	20	26	37
123	5	2	1	2	3	1	5
124	3	3	2	2	28	1	3
125	2	1	1	1	5	1	1
126	3	2	7	2	7	1	3
127	27	2	7	7	2	1	2
128	1	38	2	2	3	4	4
129	3	2	3	2	2	2	2
130	8	1	14	3	12	1	5
131	3	2	2	2	3	2	6
132	3	5	5	1	7	1	4
133	3	1	2	1	18	1	5
134	27	4	2	2	9	1	2
135	5	2	39	2	39	1	5
136	3	2	19	25	5	2	5
137	3	3	15	2	40	4	4
138	3	3	7	26	7	1	4
139	1	4	2	1	42	2	2
140	3	39	2	6	41	1	14
141	26	2	2	1	43	4	5
142	13	4	40	1	42	1	16
143	2	2	2	2	2	2	38
144	27	2	7	2	2	1	39
145	1	4	2	2	13	1	2
146	1	4	2	2	7	1	3
147	13	5	2	1	7	1	4
148	70	34	34	23	36	23	35
149	3	12	11	2	14	9	14
150	39	2	2	2	4	27	4
151	27	5	7	1	7	1	4
152	8	1	5	3	6	2	3
153	38	1	14	3	12	1	5
154	3	41	6	1	3	4	5
155	3	2	2	2	44	4	4
156	26	2	2	2	29	4	4
157	1	3	2	1	4	24	2
158	41	42	13	1	5	4	14
159	42	43	41	27	45	28	31
160	1	1	1	1	5	1	41
161	20	26	26	14	26	16	40
162	3	2	2	2	2	4	8
163	3	2	2	2	2	4	5
164	40	3	7	2	40	4	4
165	6	6	8	1	3	5	4
166	26	1	2	2	9	1	5
167	26	2	2	2	9	1	5
168	26	3	2	2	9	1	5
169	26	2	2	2	29	1	5
170	26	4	2	2	29	4	5
171	26	16	2	2	29	4	5
172	1	16	2	6	18	4	4
173	26	4	1	1	5	1	1
174	1	2	1	1	5	1	5
175	26	1	2	2	29	4	5
176	1	2	2	2	18	4	4
177	3	3	6	2	4	1	29
178	3	1	3	4	7	4	4
179	5	2	8	2	2	1	4
180	6	6	8	2	30	5	4
181	3	3	2	2	30	1	3
182	6	3	8	2	30	5	4
183	2	23	2	2	2	2	2
184	43	2	2	2	2	2	2
185	2	2	2	2	2	2	42
186	3	3	6	2	30	1	5
187	2	2	2	2	2	2	43
188	1	3	6	1	3	4	4
189	3	2	2	1	2	4	8
190	1	2	2	2	11	4	5
191	6	35	8	1	5	5	36
192	5	35	39	2	3	1	5
193	3	1	7	1	7	2	4
194	3	1	15	1	5	1	1
195	2	2	2	2	2	1	2
196	2	2	13	2	2	1	2
197	3	3	3	4	39	4	4
198	18	22	42	11	21	14	21
199	18	22	42	11	21	14	24
200	21	25	24	28	46	17	24
201	21	25	42	15	24	17	24
202	1	4	1	1	5	1	1
203	3	4	2	2	7	1	2
204	22	26	47	18	27	16	47
205	23	20	23	16	25	18	26
206	44	20	43	10	47	18	45
207	45	20	44	16	25	29	20
208	17	20	45	10	20	13	20
209	36	20	48	16	25	18	20
210	17	20	23	10	20	18	44
211	24	45	46	29	48	30	46
212	1	1	2	2	3	1	2
213	3	3	7	1	7	1	4
214	23	20	28	10	25	18	26
215	27	2	7	2	2	1	2
216	1	4	2	2	7	1	2
217	20	24	26	14	23	19	23
218	1	5	40	2	7	1	1
219	1	5	7	1	7	2	4
220	45	20	44	16	20	29	20
221	3	1	2	1	18	1	48
222	46	1	2	6	5	4	4
223	22	46	49	14	49	16	23
224	47	47	50	14	26	16	49
225	48	20	23	16	25	18	20
226	49	26	49	18	27	19	50
227	45	20	44	2	25	29	20
228	40	3	2	4	7	2	4
229	3	3	51	2	28	1	3
230	1	6	1	1	5	1	1
231	1	1	1	1	5	1	4
232	6	6	2	2	3	5	4
233	1	1	8	1	5	1	1
234	1	3	1	1	4	24	2
235	3	5	7	1	7	1	2
236	3	2	7	26	7	1	4
237	3	5	7	26	7	1	4
238	6	3	8	2	3	5	4
239	1	4	2	2	7	1	4
240	3	3	2	5	7	2	51
241	40	3	15	2	40	4	4
242	1	48	40	2	7	4	9
243	3	3	2	2	9	2	4
244	8	1	5	3	7	1	16
245	3	2	2	2	4	1	4
246	1	49	3	4	5	2	36
247	2	2	2	2	2	31	2
248	17	21	23	10	20	18	27
249	48	20	23	16	25	18	26
250	50	3	6	1	3	4	4
251	33	33	34	23	35	18	34
252	1	4	3	2	9	1	5
253	3	3	13	1	4	4	14
254	2	2	2	25	2	2	2
255	3	37	2	2	42	1	14
256	1	3	10	1	2	4	4
257	2	9	2	2	2	2	2
258	1	1	3	1	13	4	14
259	26	2	2	2	2	4	5
260	36	20	27	10	25	18	46
261	2	2	2	2	2	2	29
262	1	1	2	2	13	1	2
263	2	4	2	2	2	2	2
264	3	2	6	1	3	1	4
265	26	2	2	1	43	1	5
266	27	2	2	2	7	1	5
267	12	37	2	2	3	2	14
268	3	2	2	2	3	1	5
269	3	3	6	7	5	4	4
270	1	3	2	2	9	2	14
271	3	3	2	2	29	4	14
272	1	3	50	2	29	4	5
273	3	4	7	26	7	1	4
274	40	2	2	2	9	1	36
275	40	3	11	2	5	1	8
276	5	3	2	2	9	1	2
277	3	3	16	2	13	1	15
278	51	3	2	5	4	4	14
279	22	26	47	14	50	16	47
280	6	1	2	4	51	4	5
281	1	51	6	2	29	4	52
282	3	3	2	6	52	2	14
283	3	50	3	5	40	4	5
