ST	Bin_adh	Bin_alp	Bin_est	Bin_gdh	Bin_glpK	Bin_pgm	Bin_thi	clonal_complex
1	7	6	10	10	40	11	11	
2	7	6	10	10	39	11	10	
3	8	7	12	13	41	13	13	
4	8	7	12	12	41	13	13	
5	11	17	30	19	27	29	26	
6	13	16	29	18	26	28	26	
7	11	13	23	15	23	23	22	
8	11	13	22	15	22	23	21	
9	11	18	33	15	29	32	30	
10	14	19	23	17	21	9	31	
11	12	15	26	17	25	26	25	
12	1	1	16	14	15	18	16	
13	1	1	11	11	10	12	12	
14	1	1	15	8	17	20	17	
15	1	1	7	8	8	8	7	
16	1	1	8	8	9	4	8	
17	1	1	8	8	9	9	8	
18	1	1	34	8	30	9	8	
19	1	1	19	8	16	19	8	
20	1	1	17	8	16	19	8	
21	1	1	28	8	16	19	8	
22	1	1	27	8	16	19	8	
23	1	1	1	8	16	19	8	
24	1	1	31	1	28	30	27	
25	1	1	15	1	14	17	15	
26	1	1	29	1	37	43	42	
27	1	1	29	1	8	43	42	
28	1	1	41	1	37	22	43	
29	17	1	1	1	1	14	27	
30	17	1	1	1	1	14	37	
31	1	1	1	1	1	14	27	
32	4	1	1	1	1	14	27	
33	17	1	1	1	1	38	36	
34	1	1	1	1	1	1	1	
35	1	1	1	1	30	32	8	
36	1	1	1	7	12	14	6	
37	1	1	1	7	1	14	6	
38	1	1	1	7	7	7	6	
39	1	1	32	21	29	14	29	
40	3	1	38	21	1	40	38	
41	3	1	38	25	33	37	35	
42	3	1	37	1	1	17	8	
43	3	1	27	1	1	36	8	
44	3	1	15	1	1	41	39	
45	3	1	1	24	32	35	34	
46	3	1	1	20	29	31	28	
47	3	1	1	8	5	4	17	
48	3	1	4	4	5	4	2	
49	4	1	24	14	24	24	23	
50	1	2	13	5	11	15	4	
51	4	2	5	5	6	5	4	
52	1	2	2	2	3	2	2	
53	1	2	2	2	2	2	2	
54	1	2	1	2	3	2	2	
55	1	2	19	2	3	2	8	
56	1	2	1	8	3	27	2	
57	1	12	20	5	19	21	19	
58	1	8	14	5	13	16	14	
59	10	11	21	4	21	22	20	
60	1	10	21	4	20	22	20	
61	1	3	40	23	36	3	41	
62	2	3	3	3	4	3	3	
63	18	23	1	27	34	39	27	
64	18	23	1	26	34	39	27	
65	19	23	39	28	35	42	40	
66	5	14	25	16	12	25	24	
67	5	4	6	6	6	6	5	
68	9	9	18	9	18	18	18	
69	6	5	9	9	38	10	9	
70	16	21	36	23	31	34	33	
71	15	20	35	22	31	33	32	
72	3	1	1	29	14	1	1	
73	3	1	42	7	42	1	44	
74	1	1	1	1	1	14	45	
75	1	1	15	21	43	44	8	
76	23	26	49	35	48	49	50	
77	22	26	50	36	49	50	51	
78	1	27	51	5	13	51	52	
79	24	28	52	37	50	52	53	
80	1	29	2	2	3	53	54	
81	3	1	53	29	51	14	55	
82	1	30	42	29	14	14	55	
83	3	30	53	29	51	14	55	
