ST	Bra_adh	Bra_alp	Bra_est	Bra_gdh	Bra_glp	Bra_pgm	Bra_thi	clonal_complex
1	1	1	1	2	6	1	3	
2	1	5	2	1	1	1	1	
3	1	2	2	1	2	1	4	
4	1	2	3	1	2	1	4	
5	1	4	4	5	7	2	3	
6	1	5	2	7	1	3	1	
7	1	5	2	7	1	4	1	
8	1	1	2	3	4	3	1	
9	1	4	2	6	9	3	1	
10	1	4	2	6	3	3	1	
11	2	1	2	5	5	1	2	
12	2	3	2	4	8	5	2	
14	1	10	18	27	19	17	25	
17	6	17	10	8	10	7	13	
18	6	20	10	8	10	7	12	
19	7	18	15	9	10	7	13	
20	7	17	10	8	10	7	12	
21	5	15	14	11	14	11	11	
22	8	12	6	13	17	8	6	
23	8	12	6	13	16	8	7	
24	9	13	7	15	13	9	8	
25	10	14	9	16	18	10	5	
26	10	14	9	14	18	10	5	
27	11	16	8	12	12	16	9	
29	15	6	11	18	15	13	30	
33	19	32	36	41	34	36	15	
34	24	27	29	37	33	31	14	
35	21	25	37	32	43	37	21	
36	24	23	35	34	32	32	23	
37	22	22	31	40	40	33	22	
38	19	28	32	36	42	41	19	
39	24	24	22	39	41	40	18	
40	24	29	39	38	38	42	16	
42	20	26	38	36	44	38	20	
43	20	31	30	41	37	39	17	
49	1	7	26	26	28	29	35	
