ST	Cco_aspA	Cco_atpA	Cco_glnA	Cco_gltA	Cco_glyA	Cco_ilvD	Cco_pgm	clonal_complex
1	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	
3	3	3	3	3	3	3	3	
4	4	4	4	4	4	4	4	
5	5	5	5	5	5	5	5	
6	6	6	6	6	6	6	6	
7	7	7	7	7	7	7	7	
8	9	9	9	8	9	9	9	
9	10	9	10	9	10	10	10	
10	11	10	11	10	11	11	11	
11	8	8	12	11	12	12	12	
12	3	3	3	3	13	3	3	
13	12	11	13	12	14	14	14	
14	13	12	14	13	15	15	15	
15	14	13	15	14	16	16	16	
16	12	11	13	12	14	17	14	
17	12	11	13	12	14	13	13	
18	12	6	6	12	6	19	6	
19	15	15	17	16	18	20	18	
20	16	16	18	17	19	6	6	
21	18	18	20	19	21	21	20	
22	21	8	22	22	24	24	23	
23	22	20	23	23	25	25	24	
24	20	22	21	21	23	23	22	
25	24	23	25	25	27	26	26	
26	25	24	26	26	28	27	27	
27	26	25	27	27	29	28	28	
28	28	27	29	28	31	29	29	
29	30	29	31	30	32	30	31	
30	31	30	32	31	33	31	32	
31	32	31	33	28	34	32	33	
32	34	13	35	33	16	34	35	
33	35	33	36	34	35	35	36	
34	36	34	37	35	36	36	37	
35	37	35	38	36	37	37	38	
36	38	36	39	37	38	38	39	
37	39	37	40	38	39	39	40	
38	24	38	41	39	40	40	41	
39	41	40	43	40	41	42	43	
40	42	11	13	12	14	17	14	
41	43	41	13	41	42	43	44	
42	44	42	44	42	43	44	45	
43	45	43	45	43	44	45	46	
44	46	44	46	44	31	46	47	
45	48	46	48	46	45	48	49	
46	49	47	49	47	46	49	50	
47	50	24	50	48	47	50	51	
48	28	48	29	49	48	51	52	
49	4	49	4	4	4	52	4	
50	51	24	51	50	49	53	2	
51	52	50	52	51	50	54	53	
52	53	8	53	52	51	55	12	
53	55	50	54	51	53	57	55	
54	56	52	55	54	54	58	56	
55	57	53	56	55	55	59	57	
56	58	54	57	56	56	60	58	
57	59	55	58	56	57	61	59	
58	60	56	59	57	58	62	26	
59	61	57	60	58	59	63	60	
60	62	58	61	59	60	64	61	
61	63	59	62	60	61	65	62	
62	64	60	63	61	62	66	63	
63	24	38	64	62	63	67	64	
64	66	62	66	64	65	68	66	
65	8	8	8	65	8	8	8	
66	67	14	16	15	17	18	17	
67	17	17	19	18	20	70	19	
68	19	19	67	20	22	22	21	
69	29	28	30	29	31	71	30	
70	33	32	34	32	67	33	34	
71	40	39	42	12	68	41	42	
72	47	45	47	45	66	47	48	
73	65	61	65	63	64	69	65	
74	27	26	28	24	30	72	25	
75	54	51	68	53	52	56	54	
76	23	21	24	24	26	73	25	
77	68	49	4	4	4	4	4	
