ST	aroE	dutA	gmk	groEL	recA	sodA	tpi
1	7	1	1	10	7	6	3
2	7	1	6	3	1	12	3
3	3	3	3	9	1	1	3
4	14	3	3	9	1	1	3
5	3	8	3	9	1	1	3
6	3	3	3	4	1	1	3
7	3	3	3	4	1	4	3
8	3	1	3	12	1	3	9
9	7	6	3	3	1	6	3
10	7	1	8	3	1	1	3
11	10	1	3	6	1	10	3
12	7	6	1	6	2	6	1
13	6	1	3	6	5	6	3
14	5	1	3	6	5	6	1
15	12	1	3	6	1	6	3
16	13	6	3	6	1	6	3
17	7	1	1	6	7	6	3
18	10	1	1	6	1	6	3
19	5	1	1	6	1	6	3
20	5	1	1	8	1	6	1
21	7	1	1	3	3	6	3
22	7	6	1	3	3	6	3
23	7	1	1	3	1	7	3
24	6	1	1	3	1	6	3
25	1	1	1	3	1	6	3
26	6	1	1	3	1	9	3
27	1	1	3	1	1	1	1
28	1	1	1	1	1	1	1
29	1	1	1	3	3	1	1
30	5	1	3	3	1	3	1
31	1	1	3	6	1	3	1
32	1	1	3	3	3	1	1
33	1	1	3	3	3	1	3
34	1	1	3	3	3	6	1
35	5	1	3	3	1	1	3
36	1	1	3	3	1	3	3
37	1	1	3	13	1	1	3
38	1	1	1	3	1	1	10
39	5	1	3	10	1	1	3
40	9	1	3	3	6	3	3
41	5	6	3	3	1	1	7
42	5	6	3	6	1	6	7
43	5	1	2	6	1	3	1
44	4	1	1	3	1	6	1
45	2	2	2	2	2	2	2
46	2	2	7	14	8	3	8
47	11	7	2	11	2	11	8
48	8	5	5	7	2	8	5
49	4	4	4	5	4	5	4
50	4	4	4	5	4	5	6
51	6	1	3	3	6	3	1
52	2	2	2	11	2	1	8
53	1	1	1	15	1	1	1
54	15	1	1	3	1	3	11
55	16	9	3	3	1	3	1
56	2	2	2	2	2	13	8
57	5	2	2	2	2	14	2
58	7	1	1	3	1	3	3
59	2	2	7	14	2	3	8
60	17	10	2	16	2	1	8
61	7	11	1	3	1	3	3
62	18	12	2	6	1	15	3
63	19	13	9	17	9	16	12
64	7	1	1	8	3	17	3
65	20	2	10	14	8	3	8
66	5	6	1	6	1	3	1
67	5	1	3	3	1	6	3
68	18	6	1	18	3	6	3
69	7	1	6	3	1	1	3
70	2	2	3	1	2	1	2
