ST	atpD	fusA	glnS	gltB	gyrB	infB	pps	clonal_complex
1	1	1	1	1	1	1	1	1
2	2	2	2	2	2	2	2	
3	3	3	3	5	3	3	3	3
4	5	1	3	3	5	5	4	4
5	6	5	4	4	6	6	5	
6	9	6	5	6	7	13	7	
7	10	7	6	7	9	14	9	7
8	11	8	7	5	8	15	10	8
9	21	10	9	5	3	3	3	3
10	3	7	11	7	10	16	8	63
11	17	7	17	11	17	22	12	
12	18	17	10	12	18	24	18	
13	15	14	15	13	22	5	16	13
14	1	1	1	1	1	1	11	1
15	5	9	3	3	5	5	4	4
16	15	1	3	9	14	19	15	16
17	3	12	16	5	16	20	14	17
18	20	18	16	10	3	20	20	18
19	22	22	14	16	24	18	24	24
20	16	14	24	17	25	33	25	20
21	3	11	13	18	11	17	13	21
22	16	1	19	19	26	5	26	
23	20	18	16	10	3	20	27	18
24	14	22	14	20	13	18	28	24
25	10	7	25	23	10	40	29	
26	10	7	18	24	28	35	30	69
27	23	23	35	24	27	34	30	
28	4	24	19	19	4	4	6	81
29	13	7	8	8	12	14	31	
30	4	24	28	22	4	4	6	81
31	3	8	37	22	29	36	32	
32	6	28	21	21	30	29	34	
33	49	10	53	55	54	20	74	
34	28	29	1	1	32	39	1	
35	25	26	22	21	31	37	35	
36	30	20	33	26	36	27	41	80
37	44	15	3	5	5	38	59	
38	33	31	26	30	5	44	39	74
39	29	31	26	30	5	44	39	74
40	3	15	28	22	5	38	19	45
41	3	17	23	5	18	31	18	41
42	48	17	10	69	71	5	81	
43	31	20	35	8	34	41	36	
44	4	4	3	31	4	4	6	81
45	3	15	28	22	5	21	19	45
46	34	36	10	44	43	48	51	
47	15	10	3	32	5	24	22	
48	27	32	38	34	37	45	42	
49	26	25	36	25	33	39	44	
50	3	8	13	15	22	20	21	
51	27	33	38	35	39	45	45	
52	3	8	3	3	18	46	46	52
53	3	7	12	8	23	26	8	129
54	27	19	20	14	20	45	33	
55	10	13	40	37	12	35	48	
56	15	51	13	67	65	67	78	113
57	3	1	3	1	1	1	1	1
58	15	8	39	36	38	38	47	
59	27	34	20	38	40	45	45	
60	12	7	8	8	10	16	43	
61	16	1	13	39	21	5	17	
62	10	13	18	7	17	23	8	62
63	3	7	6	7	10	14	8	63
64	16	8	13	40	15	15	10	64
65	19	16	19	41	19	14	23	83
66	10	7	12	7	5	30	9	7
67	16	14	24	17	15	33	25	20
68	20	8	16	42	42	47	27	
69	10	7	18	43	28	35	50	
70	32	20	32	29	44	43	38	
71	35	35	41	46	45	39	52	
72	36	22	42	47	46	49	53	72
73	55	14	59	70	70	70	80	
74	29	31	26	30	41	44	39	74
75	26	35	46	46	50	54	54	
76	38	42	44	48	48	51	56	78
77	39	43	45	49	49	52	57	
78	38	44	44	48	48	51	56	
79	40	20	47	50	51	55	58	
80	30	46	33	26	36	27	41	80
81	4	24	36	31	4	4	6	81
82	26	45	36	51	45	53	55	
83	19	16	19	41	19	15	23	83
84	10	7	6	7	9	14	71	7
85	6	22	22	47	46	49	53	72
86	42	14	15	13	22	5	16	13
87	36	49	4	52	52	59	72	
88	43	46	33	5	36	14	41	
89	10	7	6	7	9	20	9	7
90	3	8	23	53	18	31	18	41
91	50	21	34	33	19	28	37	
92	40	48	3	3	53	28	57	
93	20	18	16	10	3	60	27	
94	12	24	8	8	4	4	6	81
95	37	41	43	30	47	50	76	162
96	16	37	48	61	5	56	77	
97	5	1	3	60	5	5	4	4
98	24	86	96	28	63	42	147	
99	3	8	52	54	21	65	73	99
100	10	17	30	59	57	66	63	100
101	3	50	52	54	21	65	73	99
102	3	40	50	66	61	62	70	
103	3	38	3	13	59	57	21	
104	48	36	29	57	54	20	61	
105	5	15	28	22	5	38	19	45
106	29	30	27	27	64	32	40	
107	5	50	3	3	5	5	4	4
108	5	8	3	3	5	5	4	4
109	5	51	3	3	5	5	4	4
110	11	1	3	5	8	5	4	4
111	5	8	7	3	5	15	10	8
112	51	7	6	7	62	30	50	
113	15	1	13	67	65	67	78	113
114	45	22	54	56	56	6	60	
115	44	8	19	58	67	61	62	
116	22	22	57	16	55	18	64	24
117	3	17	49	68	58	63	65	
118	6	5	58	64	66	58	68	
119	36	39	27	65	46	18	69	119
120	36	39	56	65	46	18	69	119
121	5	54	3	3	5	5	4	4
122	54	53	55	3	69	69	82	
123	10	17	30	59	66	66	63	100
124	11	8	7	71	8	15	10	8
125	10	17	30	59	57	66	83	100
126	46	39	4	62	60	49	66	
127	47	39	60	63	60	49	67	
128	3	15	28	22	5	38	54	45
129	10	7	12	8	23	30	8	129
130	11	8	7	45	8	35	10	8
131	16	8	13	40	25	15	84	64
132	36	22	61	20	13	72	85	
133	11	8	7	72	8	15	10	8
134	1	60	62	1	1	1	1	1
135	3	15	28	22	5	38	86	45
136	16	18	9	5	3	73	87	
137	27	61	20	73	39	75	91	
138	57	7	25	8	72	40	89	
139	13	13	64	74	72	23	88	
140	56	7	63	75	17	74	90	
141	1	1	1	1	1	1	92	1
142	3	36	74	97	86	66	107	142
143	3	68	49	88	81	56	96	143
144	3	15	28	22	5	15	19	45
145	3	8	65	77	74	77	93	
146	15	1	66	80	14	79	25	
147	60	65	22	81	76	80	94	147
148	15	67	49	9	14	19	15	16
149	3	7	16	5	16	20	14	17
150	16	8	13	83	15	15	10	64
151	34	8	68	84	78	83	19	
152	3	68	49	88	81	14	96	143
153	68	39	42	93	60	49	99	
154	3	8	72	94	88	3	102	
155	69	8	13	95	89	56	103	155
156	3	11	13	18	11	88	104	21
157	20	8	15	96	90	89	105	
158	15	17	73	36	91	90	106	
159	10	7	6	7	9	16	9	7
160	10	13	18	7	17	23	101	62
161	10	7	6	7	5	14	19	7
162	37	41	43	78	47	50	109	162
163	37	66	76	82	92	82	111	
164	63	20	69	87	80	43	113	
165	66	20	70	90	83	85	115	
166	67	20	71	91	84	43	116	
167	58	63	75	76	73	76	108	
168	59	20	70	79	75	78	110	
169	61	7	67	81	77	81	95	
170	62	23	68	85	79	83	112	
171	60	65	22	86	76	80	94	147
172	64	7	67	75	17	84	97	
173	65	20	77	89	82	84	114	
174	58	20	78	89	83	86	117	174
175	67	20	76	92	85	41	98	
176	70	20	71	90	83	5	118	
177	58	20	78	89	83	43	117	174
178	10	1	68	5	86	87	100	
179	59	20	69	90	87	41	119	
180	12	7	8	1	1	16	43	
181	1	1	1	13	22	1	1	1
182	15	14	15	3	5	5	16	13
183	5	1	3	22	5	5	4	4
184	3	36	74	97	86	20	107	142
185	3	15	28	5	3	38	19	
186	64	7	79	75	93	22	120	
187	3	3	3	5	10	3	3	3
188	71	10	68	18	94	92	121	
189	3	37	13	1	95	63	122	
190	44	69	80	1	96	93	123	
191	15	1	13	67	1	67	78	113
192	5	1	3	3	1	5	4	4
193	5	8	13	40	15	15	10	64
194	3	15	28	22	5	91	19	45
195	16	8	13	40	15	15	124	64
