ST	Actin	Cox1	Cox3	Ef_1a	Its1	Nad4	Nad5	Tubulin	clonal_complex
1	1	1	1	1	1	1	1	1	
2	2	1	1	2	1	2	2	1	
3	2	1	1	3	1	3	3	1	
4	3	1	1	2	2	2	4	1	
5	3	2	1	3	1	4	5	3	
6	4	3	1	2	1	5	6	4	
7	5	1	1	4	1	6	7	4	
8	1	4	1	2	1	7	8	5	
9	5	1	1	3	3	8	9	1	
10	2	2	1	3	1	4	10	5	
11	6	1	1	1	4	9	11	1	
12	5	1	1	3	1	10	12	2	
13	5	4	1	5	1	11	13	1	
14	7	5	1	5	2	11	13	6	
15	8	1	1	5	1	6	14	7	
16	9	6	1	3	1	12	15	6	
17	10	1	1	5	1	13	16	2	
18	8	7	1	5	1	17	14	8	
19	11	6	1	5	1	4	14	1	
20	2	4	1	6	1	15	18	1	
21	12	4	1	2	1	16	19	1	
22	6	1	2	5	1	17	20	2	
23	13	1	1	7	1	18	21	4	
24	14	4	3	5	1	19	22	1	
25	15	8	4	8	5	20	23	6	
26	13	1	1	5	1	21	14	1	
27	2	4	5	5	6	22	24	4	
28	3	6	1	5	1	23	25	1	
29	16	6	1	3	1	24	14	1	
30	17	4	1	9	1	15	26	6	
31	2	1	6	10	1	6	11	6	
32	18	1	1	3	1	6	27	6	
33	19	1	6	11	7	6	1	1	
34	8	1	1	12	1	6	1	1	
35	20	4	7	5	1	25	28	7	
36	18	1	1	13	1	26	1	1	
37	21	4	1	10	1	15	28	1	
38	22	1	2	1	1	17	29	1	
39	23	4	1	5	3	19	30	1	
40	8	1	1	2	1	4	31	6	
41	2	1	1	14	1	27	32	1	
42	24	4	1	5	8	15	33	8	
43	1	4	1	3	1	15	34	1	
44	25	1	4	5	9	28	29	2	
45	26	9	1	8	1	29	35	8	
46	8	1	2	8	1	30	36	8	
47	26	9	1	8	1	31	37	1	
48	2	1	1	14	10	6	17	1	
49	6	1	1	5	1	14	38	2	
50	6	1	1	8	8	32	39	1	
51	25	1	1	3	1	33	40	1	
52	27	10	1	1	2	34	41	1	
53	26	4	1	5	1	15	42	1	
54	25	1	1	3	1	1	43	1	
55	28	1	1	6	3	4	44	1	
56	29	9	1	8	1	31	45	8	
57	30	1	8	4	1	6	17	4	
58	3	1	1	13	11	1	46	1	
59	2	7	1	1	12	35	1	1	
60	32	2	1	8	13	4	47	1	
61	6	1	1	1	1	36	21	1	
62	2	1	1	14	10	37	1	1	
63	33	1	1	3	14	6	48	1	
64	31	1	9	3	8	38	49	6	
65	6	1	8	15	1	39	50	1	
66	34	1	1	16	6	40	51	2	
67	1	1	1	3	1	41	17	1	
68	12	1	1	1	9	42	14	1	
69	31	2	1	3	15	43	10	1	
70	36	1	1	17	1	44	1	4	
71	35	4	1	5	1	15	26	1	
72	31	1	1	5	1	34	52	6	
73	37	1	1	3	1	45	53	4	
74	26	1	1	5	16	2	54	4	
75	5	1	1	6	2	6	1	1	
