ST	adk	fumC	gyrB	icd	mdh	purA	recA	clonal_complex
1	4	2	2	4	4	4	4	
2	5	3	2	6	5	5	4	
3	6	4	3	7	7	7	6	ST20 Cplx
4	6	5	4	8	8	8	2	ST10 Cplx
5	7	6	5	9	9	8	2	ST13 Cplx
6	8	7	1	1	10	8	6	
7	9	8	5	1	11	8	7	
8	10	9	5	10	12	9	2	ST165 Cplx
9	6	4	3	7	7	7	8	ST20 Cplx
10	10	11	4	8	8	8	2	ST10 Cplx
11	12	12	8	12	15	2	2	ST11 Cplx
12	13	13	9	13	16	10	9	ST12 Cplx
13	6	6	5	9	9	8	2	ST13 Cplx
14	14	14	10	14	17	7	10	ST14 Cplx
15	15	15	11	15	18	11	11	
16	6	4	12	16	9	7	12	ST29 Cplx
17	6	4	3	17	7	7	6	ST20 Cplx
18	14	14	10	14	19	7	10	ST14 Cplx
19	15	16	10	15	18	12	11	
20	6	4	3	18	7	7	6	ST20 Cplx
21	16	4	12	16	9	7	7	ST29 Cplx
22	6	17	7	19	1	2	2	ST280 Cplx
23	6	4	12	1	20	13	7	ST23 Cplx
24	17	18	13	20	18	14	13	
25	6	6	14	21	9	7	7	
26	6	19	15	18	11	8	14	
27	16	20	12	16	9	7	7	ST29 Cplx
28	13	21	13	22	17	14	15	ST28 Cplx
29	6	4	12	16	9	7	7	ST29 Cplx
30	18	22	16	23	5	15	4	
31	18	22	17	6	5	5	4	ST31 Cplx
32	19	23	18	24	21	2	16	ST32 Cplx
33	6	4	4	1	22	8	7	
34	10	11	4	1	8	8	2	ST10 Cplx
35	20	24	19	13	23	16	17	
37	21	22	20	6	5	17	18	
38	4	26	2	25	5	5	19	ST38 Cplx
39	22	4	21	10	24	18	7	
40	6	4	5	26	20	8	14	ST40 Cplx
41	10	27	5	8	25	7	2	ST226 Cplx
42	23	28	22	27	5	16	4	
43	24	11	4	8	8	8	2	ST10 Cplx
44	10	11	4	8	8	8	7	ST10 Cplx
45	6	7	23	1	8	8	2	
46	8	7	1	8	8	8	6	ST46 Cplx
47	8	11	5	1	7	18	6	
48	6	11	4	8	8	8	2	ST10 Cplx
49	25	11	4	8	8	8	2	ST10 Cplx
50	26	7	4	1	8	8	6	
51	6	4	1	13	17	8	20	
52	6	11	5	1	20	8	2	
53	9	29	12	1	11	13	6	
54	6	30	5	1	24	8	21	
55	6	4	4	18	20	8	14	ST155 Cplx
56	6	4	4	18	24	5	14	ST155 Cplx
57	6	31	5	28	1	1	2	ST350 Cplx
58	6	4	4	16	24	8	14	ST155 Cplx
59	27	32	24	29	26	19	22	ST59 Cplx
60	28	33	24	29	26	20	2	
61	29	12	8	12	15	2	23	ST11 Cplx
62	28	33	25	29	7	11	24	
63	30	11	5	8	7	21	2	
64	31	34	26	30	27	22	17	
65	28	33	25	29	1	11	2	
66	6	22	20	6	5	5	2	
67	6	19	5	1	9	8	7	
68	33	26	2	31	5	16	19	
69	21	35	27	6	5	5	4	ST69 Cplx
70	34	36	28	25	28	16	4	
71	34	37	28	25	4	16	4	
72	35	37	29	25	4	5	18	ST405 Cplx
73	36	24	9	13	17	11	25	ST73 Cplx
74	36	24	9	13	17	5	25	ST73 Cplx
75	6	6	5	10	20	23	6	
76	13	13	9	13	17	10	26	
77	6	7	5	1	8	18	27	ST206 Cplx
78	37	38	19	32	17	24	26	
79	37	38	19	32	17	7	26	
80	13	24	19	14	23	1	10	ST568 Cplx
81	14	14	10	14	17	7	21	ST14 Cplx
82	38	39	30	13	29	25	28	
83	13	38	19	13	30	25	29	
84	6	29	31	16	24	8	2	
85	6	6	32	26	11	26	7	
86	9	6	33	33	24	8	7	ST86 Cplx
87	6	11	14	8	20	8	2	
88	6	4	12	1	20	12	7	ST23 Cplx
89	39	7	4	34	20	7	7	
90	6	4	12	1	20	8	7	ST23 Cplx
91	13	40	34	13	23	28	30	
92	40	14	19	36	23	11	10	
93	6	11	4	10	7	8	6	ST168 Cplx
94	41	6	5	16	11	8	7	ST448 Cplx
95	37	38	19	37	17	11	26	ST95 Cplx
96	10	11	5	38	7	8	2	
97	42	4	12	16	9	7	12	ST29 Cplx
98	10	11	4	39	8	8	2	ST10 Cplx
99	6	4	22	18	9	26	7	
100	10	27	5	10	12	9	2	ST165 Cplx
101	43	41	15	18	11	7	6	ST101 Cplx
102	44	42	35	40	32	29	31	
103	45	4	36	10	24	18	32	
104	13	24	9	13	17	11	25	ST73 Cplx
105	13	43	19	36	17	10	10	
106	21	35	27	6	5	8	4	ST69 Cplx
107	13	21	19	22	17	14	15	ST28 Cplx
108	46	36	37	25	5	16	33	
109	6	6	1	16	9	13	2	
110	47	40	19	13	17	25	30	
111	6	29	14	16	24	8	2	
112	13	44	9	22	16	30	34	
113	16	4	38	16	9	7	7	ST29 Cplx
114	4	2	2	41	4	4	4	
115	4	26	39	25	5	31	19	
116	8	11	40	42	7	18	6	
117	20	45	41	43	5	32	2	
118	31	4	42	44	15	33	17	
119	48	46	43	45	11	34	35	
120	49	4	44	9	11	35	7	
121	13	21	13	22	17	36	15	ST28 Cplx
122	15	24	10	46	33	37	36	ST122 Cplx
123	50	47	19	37	17	30	2	
124	6	19	3	18	9	38	6	
125	51	48	45	47	34	39	37	
126	13	43	19	37	17	25	25	
127	13	14	19	36	23	11	10	
128	52	49	46	48	35	40	38	
129	6	23	3	26	9	7	7	
130	18	22	20	6	5	5	4	ST31 Cplx
131	53	40	47	13	36	28	29	
132	35	50	22	49	37	41	39	
133	51	48	48	50	34	42	37	
134	13	44	49	13	16	10	34	
135	13	39	50	13	16	37	25	
136	38	39	30	13	17	11	28	
137	19	23	51	24	21	2	16	ST32 Cplx
139	54	51	52	6	12	5	40	
140	55	38	19	37	17	11	26	ST95 Cplx
141	13	52	10	14	17	25	17	
142	37	38	19	51	17	11	26	ST95 Cplx
143	13	24	19	14	38	1	10	ST568 Cplx
144	13	43	9	36	30	44	25	
145	1	10	1	1	1	1	1	ST243 Cplx
146	2	1	59	2	2	2	2	
147	3	59	60	3	3	3	3	ST147 Cplx
148	1	4	1	5	1	1	5	ST148 Cplx
149	6	60	60	3	6	6	3	
151	11	62	7	1	14	7	7	ST152 Cplx
152	11	63	7	1	14	7	7	ST152 Cplx
153	13	64	19	35	31	27	10	
154	6	6	5	10	9	8	6	
155	6	4	14	16	24	8	14	ST155 Cplx
156	6	29	32	16	11	8	44	ST156 Cplx
157	33	57	58	63	37	5	4	
158	62	66	63	63	45	5	19	
159	59	7	4	8	12	8	2	
160	6	6	15	16	11	26	6	
161	64	56	4	1	8	8	6	
162	9	65	5	1	9	13	6	ST469 Cplx
163	56	11	15	1	8	1	48	ST184 Cplx
164	6	4	32	16	12	8	7	
165	10	27	5	10	12	8	2	ST165 Cplx
166	52	54	55	53	40	40	43	
167	10	11	4	8	8	13	2	ST10 Cplx
168	6	11	4	8	7	8	6	ST168 Cplx
169	10	70	5	10	8	1	2	
170	10	55	4	12	8	45	2	
171	10	27	5	62	8	7	2	ST226 Cplx
172	9	23	64	18	11	51	6	ST278 Cplx
173	6	6	15	16	42	46	7	
174	20	67	56	64	5	50	45	
175	8	11	4	8	41	8	2	
176	10	4	5	1	8	8	2	
177	6	4	14	16	24	49	14	ST155 Cplx
178	10	4	4	8	8	8	2	ST10 Cplx
179	6	4	14	16	1	8	14	ST155 Cplx
180	6	23	32	18	9	8	7	
181	8	11	4	8	7	8	6	ST168 Cplx
182	6	58	54	54	1	2	47	
183	57	11	62	61	7	8	2	
184	56	11	4	1	8	1	48	ST184 Cplx
185	10	7	4	12	44	8	2	ST10 Cplx
186	21	11	4	8	7	8	6	ST168 Cplx
187	6	69	4	16	9	13	7	
188	6	68	33	1	24	8	7	
189	10	27	5	10	12	8	49	ST165 Cplx
190	10	27	5	59	12	8	2	ST165 Cplx
191	6	29	5	18	11	8	41	
192	63	30	15	18	43	8	7	
193	10	7	4	12	8	8	2	ST10 Cplx
194	10	27	5	59	7	8	2	ST165 Cplx
195	6	11	4	8	12	8	2	ST10 Cplx
196	6	19	3	16	9	8	6	
197	60	4	5	1	8	47	2	
198	10	11	4	12	10	8	2	ST10 Cplx
199	20	45	56	60	7	50	46	
200	6	4	5	26	7	8	14	ST40 Cplx
201	6	65	5	1	9	8	6	ST469 Cplx
202	64	11	5	8	8	8	2	
203	6	23	32	16	43	8	6	
204	10	11	57	8	7	8	2	
205	6	23	15	16	9	8	7	ST205 Cplx
206	6	7	5	1	8	18	2	ST206 Cplx
207	61	11	4	8	8	8	2	ST10 Cplx
208	6	11	4	55	8	8	2	ST10 Cplx
209	10	11	4	8	8	8	6	ST10 Cplx
210	6	8	4	1	9	48	7	
