ST	flaA	pilE	asd	mip	mompS	proA	neuA
1	1	4	3	1	1	1	1
2	6	10	19	3	19	4	9
3	1	4	3	1	14	1	9
4	1	10	19	1	9	4	1
5	1	4	3	1	1	1	14
6	1	4	3	1	1	1	15
7	1	4	3	1	1	1	6
8	1	4	3	1	1	1	9
9	3	10	1	3	14	9	11
10	1	6	3	1	1	1	1
11	1	6	3	1	14	1	1
12	11	14	16	1	15	13	6
13	11	4	1	1	14	9	11
14	12	8	11	5	20	12	5
15	12	9	26	5	26	17	15
16	2	10	18	10	2	1	9
17	2	10	3	28	9	4	6
18	2	10	9	13	2	5	6
19	2	2	18	15	2	1	6
20	2	3	18	15	2	1	6
21	2	3	3	15	2	6	6
22	2	3	6	10	2	1	6
23	2	3	9	10	2	1	6
24	2	4	3	10	9	4	9
25	2	6	17	15	12	8	6
26	2	6	21	12	12	8	11
27	3	10	1	10	14	9	6
28	3	10	1	3	14	9	1
29	1	4	1	1	14	9	1
30	3	10	1	3	14	9	9
31	3	10	1	5	14	9	11
32	3	10	15	3	21	7	9
33	3	10	3	1	14	9	11
34	3	13	1	25	14	9	6
35	3	4	1	1	1	9	1
36	3	4	1	1	14	9	1
37	3	4	1	1	14	9	11
38	3	4	1	14	14	9	11
39	3	5	1	7	14	9	8
40	3	6	1	14	14	9	11
41	4	6	11	3	11	12	9
42	4	7	11	3	11	12	9
43	4	7	9	3	11	12	9
44	4	8	11	10	10	12	2
45	5	1	22	26	6	10	12
46	5	1	22	5	6	10	15
47	5	10	22	15	6	2	6
48	5	2	22	27	6	10	12
49	6	10	14	10	2	1	6
50	6	10	15	24	17	14	6
51	6	10	15	28	9	14	6
52	1	10	3	1	1	1	1
53	6	10	21	12	9	4	11
54	6	10	23	12	18	4	9
55	6	10	23	3	33	4	9
56	6	4	14	12	2	3	6
57	6	4	3	1	1	1	1
58	7	10	17	10	5	4	13
59	7	6	17	3	13	11	11
60	7	6	17	3	13	11	9
61	7	6	17	3	24	11	11
62	8	10	3	15	18	1	6
63	9	6	3	10	22	15	11
64	12	8	11	2	5	12	4
65	12	8	11	5	29	12	6
66	2	10	24	25	4	4	7
67	2	10	3	28	9	4	7
68	3	13	1	28	14	9	3
69	6	10	14	3	21	14	3
70	7	6	17	8	13	11	3
71	17	23	13	10	18	22	10
72	1	4	3	1	1	1	16
73	4	8	11	25	29	12	17
74	5	1	22	30	6	10	6
75	2	3	18	13	25	5	6
76	6	10	3	3	21	7	9
77	6	10	14	10	2	3	6
78	2	3	6	25	2	1	15
79	1	4	3	4	1	1	15
80	7	6	3	8	13	11	3
81	2	10	3	28	9	4	9
82	5	1	22	10	6	10	6
83	12	15	3	10	18	1	6
84	12	9	2	5	3	17	15
85	2	10	15	5	9	4	15
86	7	6	17	28	36	11	11
87	2	10	3	28	9	4	13
88	2	3	9	13	2	1	6
89	4	10	11	15	29	1	6
90	8	10	3	10	2	1	10
91	8	10	3	15	18	1	10
92	2	3	18	5	5	1	2
93	3	10	1	28	14	9	13
94	12	8	11	5	20	12	2
95	2	3	6	3	2	1	9
96	2	3	6	10	2	1	9
97	2	10	3	12	17	14	11
98	8	10	3	10	2	5	6
99	4	8	11	5	29	12	10
100	3	8	1	10	14	12	2
101	6	10	15	15	21	4	6
102	8	19	5	15	18	5	10
103	1	4	3	22	1	1	1
104	3	10	1	1	14	9	1
105	2	10	3	3	21	4	9
106	5	10	22	15	6	10	6
107	3	6	1	3	14	9	11
108	5	1	22	5	6	2	15
109	5	1	22	15	6	10	6
110	2	10	3	3	9	4	9
111	2	10	3	10	9	11	9
