ST	abcZ	bglA	cat	dapE	dat	ldh	lhkA
1	3	1	1	1	3	1	3
2	1	1	11	11	2	1	5
3	4	4	4	3	2	1	5
4	1	2	12	3	2	5	3
5	2	1	11	3	3	1	7
6	3	9	9	3	3	1	5
7	5	8	5	7	6	2	1
8	5	6	2	9	5	3	1
9	6	5	6	4	1	4	1
10	3	1	20	1	3	1	3
11	7	6	10	6	1	2	1
12	5	8	5	7	6	22	1
13	7	6	17	6	10	8	1
14	8	6	13	6	5	2	1
15	8	13	13	6	5	2	1
16	5	6	2	7	5	2	1
17	14	6	2	7	5	2	1
18	7	6	15	18	12	6	1
19	7	6	19	6	1	24	1
20	17	13	3	6	5	7	1
21	7	7	3	10	5	6	1
22	7	7	3	10	5	13	1
23	5	8	5	7	6	25	1
24	5	8	5	22	6	2	1
26	5	10	8	21	6	2	1
27	5	10	8	21	6	16	1
29	15	10	18	18	1	3	1
31	7	14	10	19	9	8	1
32	1	18	27	2	4	1	5
34	6	5	6	4	1	15	1
35	6	5	6	20	1	4	1
36	16	5	8	7	13	4	1
37	5	7	3	5	1	8	6
38	7	15	15	8	11	14	9
39	4	4	4	3	2	10	5
41	4	4	4	3	2	12	5
42	4	4	4	3	2	17	5
44	4	4	4	3	2	11	5
45	13	4	4	3	2	1	5
46	4	4	4	3	2	1	10
47	4	4	12	15	2	1	5
48	1	1	11	11	2	28	5
50	1	1	11	11	2	1	8
51	1	1	11	3	2	1	5
53	1	16	12	23	2	1	11
54	1	1	12	17	2	1	3
55	1	2	12	3	2	18	3
57	1	2	12	3	3	5	5
59	11	1	12	16	3	1	7
60	11	1	12	16	5	1	7
62	3	1	1	1	14	1	3
63	3	1	1	1	3	9	3
64	3	1	1	1	3	23	3
65	3	1	1	1	3	29	3
66	4	4	4	3	2	28	5
67	1	1	11	11	2	9	5
68	4	4	4	3	2	9	5
69	19	17	22	25	15	33	12
70	20	11	23	27	16	34	13
71	18	11	21	24	17	35	13
72	19	17	22	25	15	36	12
73	3	1	1	1	3	11	3
74	18	11	23	27	16	34	13
75	4	12	4	15	3	1	2
76	5	6	8	8	6	37	1
77	11	9	11	15	3	1	2
79	3	1	1	1	3	12	3
80	3	9	9	3	3	30	5
81	3	9	9	3	3	21	5
82	3	6	9	3	5	1	5
85	5	8	5	7	6	38	1
86	7	6	24	6	1	2	1
87	12	1	4	14	3	39	4
88	12	12	12	1	3	1	4
89	7	6	25	28	5	2	1
90	21	6	26	8	6	2	14
91	7	6	15	6	5	2	1
92	5	8	5	7	6	40	1
93	5	10	8	21	6	41	1
95	3	18	27	3	4	9	5
96	3	18	27	3	4	43	5
97	7	6	15	18	12	44	1
98	5	8	5	7	6	45	1
100	1	1	11	11	2	46	5
101	7	15	15	8	6	14	9
102	3	18	27	3	4	11	5
103	7	15	15	8	6	47	9
104	3	1	1	1	18	48	3
105	5	8	5	7	6	49	1
106	5	8	5	7	6	50	1
107	5	8	5	7	6	41	1
108	7	6	8	8	6	51	1
109	7	15	15	8	6	52	9
110	6	5	28	4	1	4	1
111	5	8	5	7	6	53	1
112	7	15	15	8	6	54	9
113	7	15	15	8	6	55	9
114	7	15	15	8	6	56	9
115	6	5	6	4	1	57	1
116	5	8	5	7	6	58	1
117	4	4	4	3	2	59	5
118	1	2	12	3	2	60	3
119	3	1	1	1	18	61	3
120	5	6	2	29	5	3	1
121	7	6	8	8	6	37	1
122	6	5	6	4	1	62	1
123	6	5	6	4	1	63	1
124	23	5	10	30	6	6	1
125	1	2	12	3	2	64	3
126	5	8	5	7	6	65	15
128	1	2	12	3	2	67	3
130	19	17	22	25	15	68	12
131	18	11	21	24	17	31	13
132	25	20	30	32	20	20	16
133	26	21	30	33	21	69	17
134	3	1	1	34	3	11	3
135	27	22	31	24	22	70	13
136	19	17	22	25	15	71	12
137	1	9	11	11	3	1	5
138	6	5	6	4	1	72	1
140	28	23	33	35	23	74	16
141	7	10	16	7	5	75	1
142	7	6	19	6	1	76	1
143	7	15	15	8	6	77	9
144	22	11	21	24	17	31	13
145	1	1	11	11	2	12	5
146	1	2	12	3	2	78	3
147	1	24	12	23	2	1	11
148	19	17	34	25	15	79	12
149	7	15	15	8	6	80	9
150	3	1	1	1	18	81	3
151	3	1	1	1	18	9	3
152	25	20	30	32	20	82	16
153	5	8	5	36	6	22	1
154	17	1	3	6	5	7	1
155	7	10	16	7	5	2	1
156	12	12	12	1	3	10	4
157	29	25	35	37	24	83	1
158	5	8	5	7	6	84	1
159	7	6	32	18	12	6	1
160	7	6	15	6	5	85	1
161	24	19	29	31	6	66	1
177	5	10	17	20	1	26	1
191	11	1	36	2	3	1	7
193	7	14	37	6	1	27	1
194	3	18	27	3	4	1	5
195	11	12	4	15	3	1	2
196	7	14	10	6	1	27	1
197	5	7	3	40	1	8	6
198	17	26	3	6	5	7	1
199	9	10	15	6	8	26	1
200	5	10	8	20	1	7	1
201	19	17	22	25	15	79	12
202	19	17	22	25	15	73	12
203	32	11	38	27	25	34	20
204	5	7	6	4	5	4	1
205	1	2	12	3	2	86	3
206	8	6	15	6	5	2	1
207	7	27	10	41	5	2	1
208	1	1	11	11	2	4	5
209	6	28	6	4	1	4	1
210	6	5	39	4	1	32	1
211	7	6	3	6	5	2	1
212	3	1	14	12	2	1	3
213	1	1	9	13	2	5	5
214	10	1	4	14	3	39	4
215	3	9	9	3	3	11	5
216	3	1	11	1	3	1	3
217	1	9	1	3	7	5	3
218	3	1	1	16	7	1	4
219	1	2	9	1	2	5	3
220	1	3	7	2	4	1	2
221	11	3	4	15	3	1	2
222	21	6	15	8	6	2	14
223	33	5	6	4	1	4	1
224	11	3	12	38	3	94	2
225	4	4	4	3	2	95	5
226	7	10	17	6	1	96	1
227	5	8	5	7	26	2	1
228	4	4	4	3	2	97	5
229	5	29	8	21	1	87	1
230	5	10	15	6	8	26	1
231	5	8	5	7	6	88	1
232	5	6	2	29	5	89	1
233	34	12	11	43	3	1	2
234	5	7	3	5	1	91	6
235	4	4	4	3	2	1	22
236	7	6	8	8	19	37	1
237	7	10	16	7	5	92	1
238	7	7	3	10	5	93	1
239	7	10	16	7	5	16	1
240	2	1	1	17	2	1	3
241	11	1	12	16	3	1	21
242	1	2	12	3	2	98	3
243	3	1	1	42	3	1	3
244	1	1	11	11	2	99	5
245	1	1	11	11	2	29	5
246	1	1	11	11	2	100	5
247	35	1	11	11	2	11	5
248	3	1	1	1	3	90	3
249	3	18	27	3	4	1	23
250	3	18	27	3	4	48	23
251	1	2	12	3	2	5	5
252	3	1	1	1	3	101	3
253	3	18	27	3	4	30	23
254	3	9	9	3	3	102	5
255	3	1	1	44	3	103	3
256	3	1	1	1	3	104	3
257	1	1	11	11	2	30	5
258	3	1	1	1	3	105	3
259	1	1	11	11	2	59	5
260	5	15	10	8	11	14	9
261	37	30	41	46	27	107	24
262	38	31	42	47	28	108	25
263	39	32	35	48	29	109	26
