ST	Mab_argH	Mab_cya	Mab_gnd	Mab_murC	Mab_pta	Mab_purH	Mab_rpoB	clonal_complex
1	2	1	1	2	2	3	1	3
2	4	1	1	2	7	4	4	8
3	5	1	1	4	5	6	1	4
4	2	1	7	2	9	2	4	12
5	3	1	4	3	1	2	1	1
6	3	1	4	8	1	2	1	1
7	3	1	4	3	1	2	3	1
8	3	1	4	5	1	2	1	1
9	1	2	1	2	4	4	1	11
10	4	2	1	7	10	2	1	13
11	1	2	3	1	3	1	2	2
12	1	2	1	2	2	5	1	7
13	3	2	4	3	1	2	1	1
14	1	2	5	1	2	1	2	9
15	1	2	6	6	2	1	2	9
16	1	3	1	2	6	5	1	7
17	1	3	2	1	3	1	2	2
18	1	3	2	1	2	1	2	2
19	1	3	3	1	3	1	2	2
20	1	3	3	1	2	1	2	2
21	1	4	3	2	8	2	1	10
22	4	4	3	2	11	7	1	6
23	1	4	3	2	11	7	1	6
24	1	4	3	2	2	4	1	5
25	6	4	3	2	2	4	1	5
26	1	4	3	2	2	7	1	5
