ST	adk	fumC	gtf	pf1637	pf169	recA	rpoB
1	1	1	1	1	1	1	1
2	1	2	1	2	1	1	1
3	1	1	2	3	1	1	1
4	1	1	1	1	2	1	1
5	1	1	2	2	1	2	1
6	2	3	3	1	1	1	2
7	1	2	2	2	1	1	1
8	1	2	2	3	1	2	1
9	1	1	1	3	1	2	1
10	1	1	2	1	1	1	1
11	1	1	2	3	1	1	3
12	1	4	2	2	1	1	1
13	1	1	2	2	1	2	4
14	1	1	1	3	1	1	1
15	1	1	2	3	3	1	3
16	1	1	1	3	4	2	1
17	1	5	1	3	1	1	1
18	1	1	2	2	1	3	2
19	1	5	2	2	1	2	1
20	3	1	2	2	1	2	5
21	2	4	2	3	1	1	1
22	1	4	2	3	1	1	1
23	1	1	2	1	1	2	1
24	1	1	1	2	1	2	4
25	1	3	2	3	1	2	1
26	1	1	4	3	1	2	6
27	1	5	2	3	1	2	1
28	1	3	2	3	1	4	1
29	1	1	2	2	1	2	5
30	2	1	2	3	1	1	7
31	1	1	2	3	1	2	1
32	1	6	2	3	1	2	1
33	4	4	2	2	1	1	1
34	1	1	2	4	1	5	1
35	1	1	2	5	1	2	1
36	1	2	2	2	1	2	1
37	1	4	1	3	1	1	1
38	2	1	1	3	1	1	2
39	5	2	2	3	1	1	7
40	1	5	2	1	1	1	1
41	2	1	1	3	1	1	7
42	1	1	2	3	1	1	2
43	1	3	1	3	1	4	1
44	2	1	2	6	1	1	1
45	1	1	2	3	5	1	1
46	1	1	2	2	6	2	1
