ST	fusA	leuS	pyrG	recG	rpoB
1	1	1	1	1	1
2	1	1	1	1	2
3	2	2	1	2	3
4	2	2	2	2	3
5	3	3	2	3	4
6	1	4	1	4	3
7	4	5	1	5	5
8	4	6	1	6	1
9	1	7	1	7	3
10	1	8	1	8	1
11	5	9	1	9	6
12	1	10	1	10	7
13	1	11	1	11	1
14	1	12	1	11	8
15	1	13	1	4	9
16	6	14	1	12	10
17	5	15	1	13	7
18	7	16	1	14	11
19	1	17	1	15	1
20	8	18	1	14	7
21	9	19	1	16	1
22	1	17	1	17	12
23	7	20	1	18	2
24	1	21	1	19	9
25	1	22	1	20	1
26	1	23	1	21	7
27	1	24	1	22	1
28	1	25	1	23	1
29	10	26	1	24	1
30	6	15	1	4	8
31	11	27	1	25	13
32	12	28	1	26	14
33	13	29	1	27	15
34	14	30	1	2	16
35	1	31	1	28	17
36	9	32	1	29	12
37	15	33	1	30	18
38	1	34	3	31	19
39	1	35	4	32	20
40	16	36	1	33	18
41	11	37	1	34	21
42	14	38	1	35	22
43	1	39	2	36	7
44	17	40	1	37	23
45	18	41	1	29	24
46	1	42	1	38	25
47	1	33	1	39	18
48	11	10	1	10	3
49	1	43	1	40	26
50	19	44	1	41	22
51	1	45	5	42	27
52	12	46	1	43	28
53	20	47	6	44	29
54	21	48	1	37	30
55	1	49	1	45	31
56	12	50	1	46	32
57	1	51	7	47	33
58	1	52	1	27	34
59	22	53	8	48	35
60	1	54	4	32	36
61	11	55	2	49	37
62	14	56	1	10	38
63	23	57	1	50	22
64	24	58	1	51	39
65	1	59	9	52	19
66	1	60	1	53	40
67	1	61	1	4	12
68	1	62	1	54	41
69	1	63	1	55	42
70	1	64	1	56	1
71	21	65	10	24	43
72	25	66	1	35	44
73	1	62	1	19	8
74	1	67	1	57	45
75	26	68	6	58	5
76	1	69	11	59	46
