ST	adk	atpG	frdB	mdh	pgi	recA	zwf	clonal_complex
1	1	1	1	1	1	1	1	1
2	2	2	2	2	2	2	2	2
3	1	1	1	1	1	1	3	1
4	2	2	3	2	2	2	2	2
5	3	3	1	1	6	1	6	1
6	1	5	1	1	1	1	3	1
7	3	3	1	1	1	1	1	1
8	5	6	7	2	8	2	7	-
9	1	1	8	1	1	1	1	1
10	6	2	5	3	3	2	4	3
11	4	4	4	4	5	3	5	4
12	7	4	4	4	5	3	5	4
13	1	1	1	1	4	1	3	1
14	1	1	1	1	1	5	1	1
15	10	1	1	1	1	1	1	1
16	1	7	1	1	1	1	1	1
17	3	1	1	1	1	1	1	1
18	3	3	1	1	9	1	1	1
19	3	3	1	1	1	1	8	1
20	2	8	5	3	3	2	4	3
21	9	9	6	5	7	6	13	-
22	1	1	1	1	4	1	9	1
23	1	12	1	1	1	1	1	1
24	1	1	11	1	1	1	1	1
25	1	7	12	1	1	1	1	1
26	1	1	1	1	1	7	1	1
27	1	1	1	1	1	1	14	1
28	1	10	1	1	1	1	3	1
29	1	14	1	1	1	1	3	1
30	1	1	9	1	1	1	3	1
31	1	5	1	8	4	1	3	1
32	1	1	1	1	12	1	3	1
33	1	1	1	1	1	10	3	1
34	1	1	1	1	4	9	9	1
35	1	11	10	6	10	1	10	-
36	11	13	1	6	11	8	10	-
37	2	2	3	2	2	2	16	2
38	3	3	1	9	1	1	1	1
39	3	1	1	12	1	1	1	1
40	3	15	1	1	9	1	1	1
41	3	3	1	1	13	1	1	1
42	3	3	1	10	1	1	8	1
43	3	3	1	11	1	1	8	1
44	3	3	4	1	1	1	17	1
45	12	2	2	2	2	2	2	2
46	2	2	2	2	2	2	15	2
47	2	2	2	2	14	2	2	2
48	2	2	3	2	2	11	2	2
49	2	2	13	3	3	12	4	3
50	2	2	5	3	3	2	4	3
51	2	8	5	3	15	2	4	3
52	1	18	6	7	7	4	12	5
53	8	17	6	5	16	13	11	-
54	8	9	14	5	7	4	11	-
55	13	16	6	7	7	4	12	5
56	4	4	4	4	17	14	5	4
57	4	4	4	13	5	3	5	4
