ST	aspA	atpA	glnA	gltA	glyA	pgm	tkt	clonal_complex
1	1	1	1	1	1	1	1	
2	2	2	10	10	10	11	10	
3	2	2	24	27	112	35	20	
4	2	2	1	15	45	40	10	
5	2	2	2	2	11	2	2	
6	2	23	24	19	75	60	46	
7	2	59	45	15	151	113	2	
8	3	2	20	30	160	107	82	
9	3	3	3	2	17	17	3	
10	3	3	3	3	2	3	3	
11	3	6	6	6	6	6	5	
12	3	17	16	20	25	21	7	
13	3	17	17	20	67	53	44	
14	3	24	2	45	166	120	84	
15	3	32	3	34	168	44	36	
16	3	55	30	15	136	104	36	
17	4	4	4	4	3	4	89	
18	4	4	4	4	139	4	89	
19	4	39	51	64	184	125	87	
20	4	58	44	13	190	4	89	
21	5	5	5	19	121	86	10	
22	5	5	12	12	83	13	12	
23	5	5	5	5	179	11	4	
24	5	5	9	5	8	50	85	
25	5	5	1	12	83	33	30	
26	5	5	5	5	4	5	4	
27	5	5	24	37	68	2	20	
28	5	5	24	27	79	62	20	
29	5	5	1	12	83	64	12	
30	5	12	7	9	33	7	24	
31	5	12	11	26	36	30	24	
32	5	12	31	26	66	7	43	
33	5	12	11	26	60	30	24	
34	5	12	7	26	66	7	24	
35	6	2	2	19	73	58	20	
36	6	5	38	7	144	93	13	
37	6	5	7	7	7	7	6	
38	6	12	1	12	49	49	39	
39	6	20	20	17	118	91	23	
40	6	20	20	17	72	26	23	
41	6	20	20	17	72	26	24	
42	6	20	20	41	72	26	23	
43	6	26	23	19	39	34	31	
44	6	26	23	19	98	34	31	
45	6	34	1	12	120	50	14	
46	7	7	7	7	186	8	7	
47	8	8	8	8	9	9	8	
48	9	5	9	9	120	10	9	
49	10	9	11	11	12	12	11	
50	10	20	11	19	177	123	11	
51	10	39	1	19	78	61	29	
52	11	2	11	44	56	84	40	
53	11	4	1	49	106	78	52	
54	11	10	11	13	13	14	13	
55	11	12	11	19	70	24	11	
56	12	11	2	14	14	8	14	
57	12	11	2	9	61	16	16	
58	13	12	13	15	15	8	6	
59	14	13	14	16	16	15	15	
60	14	17	35	51	111	82	57	
61	14	27	15	28	40	36	32	
62	14	49	26	55	123	92	63	
63	14	50	30	25	152	95	64	
64	14	63	26	62	156	118	79	
65	14	68	50	40	174	122	79	
66	15	10	1	17	19	2	13	
67	16	14	1	18	147	18	12	
68	16	14	1	18	43	39	12	
69	17	15	15	12	23	19	17	
70	17	62	46	55	24	116	78	
71	17	62	26	53	169	121	79	
72	18	16	11	19	24	20	18	
73	19	17	17	12	67	77	65	
74	19	17	17	20	26	22	19	
75	20	2	2	30	143	110	71	
76	20	2	11	22	56	55	40	
77	20	7	25	19	93	71	14	
78	20	7	20	15	186	8	14	
79	20	7	25	17	41	37	33	
80	20	7	20	23	186	45	37	
81	20	12	11	19	189	127	88	
82	20	18	18	21	28	23	20	
83	20	23	20	23	186	45	37	
