ST	glp	gmk	ilv	pta	pur	pyc	tpi	clonal_complex
1	1	1	1	1	1	1	1	
2	1	1	2	1	1	2	1	
3	2	1	1	1	1	1	1	
4	13	8	8	11	11	12	7	ST-142 complex
5	6	4	3	4	14	4	3	
6	4	3	4	6	13	5	6	
7	5	4	3	4	15	6	7	
8	7	8	16	13	2	16	7	ST-8 complex
9	15	7	7	2	5	16	13	ST-23 complex
10	15	6	10	8	3	7	14	
11	34	1	32	1	33	37	24	ST-365 complex
12	15	7	7	2	7	10	13	ST-23 complex
13	10	8	15	12	2	16	7	ST-8 complex
14	14	8	9	7	10	15	10	
15	9	8	16	13	2	16	9	ST-8 complex
16	15	7	7	2	6	8	13	ST-23 complex
17	12	8	11	11	9	13	5	
18	11	9	14	12	12	14	7	ST-18 complex
19	12	8	9	11	11	12	8	
20	16	6	12	9	4	11	15	
21	18	9	5	15	17	9	11	
22	12	8	8	11	9	12	23	ST-142 complex
23	15	7	7	2	5	8	13	ST-23 complex
24	12	8	9	14	11	12	10	
25	30	8	16	13	2	16	7	ST-8 complex
26	3	2	31	5	16	3	4	
27	34	1	17	16	18	33	24	ST-365 complex
28	19	2	18	17	19	3	2	ST-205 complex
29	20	8	8	35	8	17	17	
30	17	5	6	3	9	34	12	
31	21	2	19	5	16	18	2	
32	5	4	3	4	15	6	16	
33	22	9	18	18	20	19	7	
34	33	8	13	19	2	17	17	
35	23	10	5	15	21	23	11	
36	18	11	3	20	22	22	18	
37	18	10	14	20	22	22	18	
38	24	12	50	21	23	31	19	
39	37	9	18	12	24	21	7	
40	39	9	14	12	24	14	7	ST-18 complex
41	25	10	22	36	26	23	11	
42	26	21	12	25	27	32	18	ST-336 complex
43	27	20	23	8	4	24	21	
44	11	9	14	12	2	25	7	ST-18 complex
45	19	14	21	5	19	3	2	ST-205 complex
46	33	8	13	10	8	17	7	
47	29	2	24	5	32	3	22	
48	13	8	25	11	9	35	10	ST-142 complex
49	15	7	15	2	7	10	13	ST-23 complex
50	13	16	9	28	4	12	8	
51	31	9	14	29	28	27	7	
52	32	19	26	30	9	28	10	
53	33	17	27	31	29	17	7	
54	11	9	14	32	12	14	7	ST-18 complex
55	15	7	8	2	7	26	13	ST-23 complex
56	15	7	7	2	7	26	13	ST-23 complex
57	34	15	28	33	30	29	24	
58	35	6	29	9	4	7	21	
59	22	9	30	18	20	21	7	
60	36	15	28	34	30	29	25	
61	15	7	7	27	7	26	13	ST-23 complex
62	38	1	32	1	18	33	24	ST-365 complex
63	15	24	29	11	4	39	28	
64	33	8	36	19	41	17	27	
65	15	7	14	2	6	14	13	ST-23 complex
66	40	9	14	26	37	36	7	
67	15	7	34	2	5	10	13	ST-23 complex
68	22	9	34	18	20	40	29	
69	15	7	36	2	5	8	13	ST-23 complex
70	15	7	36	2	37	8	13	ST-23 complex
71	41	25	12	9	4	12	15	
72	43	26	35	40	39	41	30	ST-111 complex
73	13	8	9	14	9	12	31	ST-142 complex
74	42	27	37	41	40	42	32	
75	44	1	32	1	18	33	24	ST-365 complex
76	34	15	28	38	30	29	33	
77	3	23	38	39	38	43	34	
78	24	22	33	37	34	38	5	
79	7	2	14	4	2	3	15	
80	37	9	21	5	19	21	4	
81	3	2	19	5	36	18	2	
82	45	21	20	22	42	20	26	
83	63	13	58	23	25	44	35	
84	46	9	39	29	24	45	7	
85	47	28	14	12	2	36	7	
86	33	8	13	19	8	17	17	
87	109	18	120	24	31	30	20	
88	18	10	22	15	35	9	11	
89	14	8	40	19	2	17	17	
90	6	4	41	5	43	46	3	
91	51	2	21	5	19	3	38	ST-205 complex
92	6	4	42	4	16	6	3	
93	14	29	43	11	9	47	8	
94	13	29	9	14	9	12	31	
95	13	29	9	11	2	12	8	
96	33	8	44	19	2	17	17	
97	15	6	47	8	4	8	7	ST-97 complex
98	40	28	14	12	2	50	7	
99	13	8	9	14	46	12	31	
100	13	8	46	28	9	12	7	ST-142 complex
101	33	33	44	19	2	17	17	
102	49	31	45	43	45	49	37	
103	24	12	50	21	23	31	40	
104	24	12	33	37	48	31	19	
105	55	12	33	47	49	31	41	
106	56	1	51	1	50	52	24	
107	57	1	52	1	1	52	1	
108	38	1	32	16	18	33	24	ST-365 complex
109	34	1	32	1	51	37	24	ST-365 complex
110	61	38	55	1	1	53	19	
111	43	26	35	42	39	41	30	ST-111 complex
112	57	1	56	1	1	54	42	
113	62	1	57	52	55	37	43	
114	8	10	105	36	17	70	11	
115	64	10	9	36	56	22	11	ST-196 complex
116	25	10	22	53	57	23	44	
117	15	6	29	46	4	8	39	ST-97 complex
118	47	28	14	26	2	36	7	
119	47	8	49	12	2	36	7	
120	6	4	3	4	46	6	36	
121	53	2	59	54	47	3	2	
122	53	2	59	17	47	3	2	
123	48	30	33	37	44	48	45	
124	14	32	48	45	58	51	7	
125	58	34	53	48	52	20	26	
126	45	35	20	49	42	20	26	
127	6	4	53	4	16	6	3	
128	59	36	54	50	53	56	26	
129	34	1	60	1	51	55	24	ST-365 complex
130	65	1	1	1	1	37	1	
131	60	37	61	51	54	57	46	
132	24	22	33	55	59	58	47	
133	66	36	62	56	53	59	32	
134	1	1	1	57	1	1	1	
135	1	39	1	1	1	1	1	
136	31	8	14	44	2	36	7	
137	37	28	14	12	37	36	7	
138	37	9	14	12	12	14	7	ST-18 complex
139	50	8	14	12	12	36	7	ST-18 complex
140	52	2	21	5	19	3	38	ST-205 complex
141	54	2	21	5	19	3	4	ST-205 complex
142	13	8	8	11	9	12	7	ST-142 complex
143	33	8	40	19	60	17	7	
144	67	2	63	5	36	3	4	
145	65	1	52	1	1	37	24	
146	68	20	23	8	4	8	39	
147	34	1	9	1	18	33	24	ST-365 complex
148	13	8	32	14	9	12	31	ST-142 complex
149	12	8	9	58	9	12	7	ST-142 complex
150	69	6	64	9	4	7	15	
151	70	40	65	59	61	60	48	
152	71	41	66	48	62	61	49	
153	13	8	67	11	9	12	7	ST-142 complex
154	14	8	68	30	9	62	10	
155	13	8	8	14	9	12	7	ST-142 complex
156	40	9	14	12	12	25	7	ST-18 complex
157	7	8	47	12	2	25	7	ST-8 complex
158	72	42	69	42	63	41	30	
159	7	8	14	12	2	25	50	
160	73	43	70	60	64	63	32	
161	15	20	23	12	4	64	39	
162	40	28	14	12	65	50	7	
163	44	1	32	16	18	33	24	ST-365 complex
164	3	2	63	5	36	3	4	
165	3	44	31	5	16	3	4	
166	46	9	39	29	24	25	7	
167	34	45	71	16	18	33	24	ST-365 complex
168	47	28	72	26	2	65	7	
169	74	22	33	62	66	66	52	
170	68	46	73	9	67	67	7	
171	24	2	74	5	32	3	22	
172	6	4	3	63	16	6	3	
173	34	1	32	12	18	33	24	ST-365 complex
174	14	8	40	19	2	35	7	
175	22	9	36	18	20	19	7	
176	13	8	8	11	9	12	53	ST-142 complex
177	13	47	9	11	68	12	10	
178	75	48	75	64	64	68	54	
179	13	8	8	11	11	69	7	ST-142 complex
180	76	49	77	4	69	4	56	
181	3	2	59	17	19	3	2	ST-205 complex
182	19	2	59	17	19	3	2	ST-205 complex
183	43	50	35	12	70	41	30	ST-111 complex
184	12	8	8	14	9	12	7	ST-142 complex
185	51	14	21	5	19	3	2	ST-205 complex
186	81	53	16	71	113	93	80	
187	64	10	22	15	57	23	11	
188	19	2	76	65	19	3	55	ST-205 complex
189	15	7	7	2	5	16	49	ST-23 complex
190	64	10	5	36	56	22	11	ST-196 complex
191	15	6	29	8	4	7	14	ST-97 complex
192	15	7	16	2	6	8	13	ST-23 complex
193	7	9	30	18	20	35	7	
194	15	8	16	2	2	22	13	
195	7	29	16	13	2	16	7	ST-8 complex
196	64	10	79	36	56	22	11	ST-196 complex
197	15	7	7	2	7	8	13	ST-23 complex
198	15	6	16	2	5	16	13	ST-23 complex
199	4	8	16	13	2	16	7	ST-8 complex
200	64	10	16	36	56	22	11	ST-196 complex
201	47	8	16	13	2	50	7	ST-8 complex
202	15	7	16	2	5	8	13	ST-23 complex
203	15	7	7	2	5	8	7	ST-23 complex
204	15	6	29	8	4	8	14	ST-97 complex
205	19	2	21	5	19	3	2	ST-205 complex
206	93	6	29	91	4	82	39	
207	107	64	56	22	96	20	26	
208	72	65	69	42	63	41	30	
209	88	42	69	85	63	41	30	
210	68	20	23	76	4	64	39	
211	92	66	101	77	43	83	73	
212	91	9	102	26	97	50	7	
213	68	54	103	2	98	84	13	
214	56	1	83	86	18	53	64	
215	84	10	79	78	57	22	11	ST-196 complex
216	85	56	75	64	64	85	26	
217	86	57	81	80	80	90	32	
218	87	26	35	42	39	41	63	ST-111 complex
219	74	22	85	62	66	66	75	
220	13	8	8	14	9	12	10	ST-142 complex
221	90	28	8	19	2	17	17	
222	64	10	22	15	83	23	11	
223	43	26	35	42	39	41	63	ST-111 complex
224	13	8	9	81	11	12	31	
225	11	9	14	95	12	14	7	ST-18 complex
226	96	8	40	30	87	76	67	
227	87	42	69	42	88	41	30	
228	83	42	78	67	39	41	65	
229	15	6	47	8	4	8	70	ST-97 complex
230	15	7	87	2	96	26	13	ST-23 complex
231	87	26	78	82	39	41	30	ST-111 complex
232	37	9	90	89	2	25	7	
233	87	26	91	90	91	75	30	
234	74	55	86	21	79	80	5	
235	64	60	92	15	56	81	11	
236	93	58	29	8	4	79	14	
237	100	1	93	93	55	37	71	
238	99	8	97	12	2	25	7	
239	90	28	13	19	2	17	7	
240	68	54	98	2	37	84	72	
241	37	9	14	87	12	14	7	ST-18 complex
242	41	6	12	9	95	7	15	
243	15	20	23	8	4	8	7	ST-97 complex
244	96	8	40	79	2	76	7	
245	86	57	99	80	90	90	32	
246	94	2	100	5	32	3	22	
247	105	61	95	92	92	77	68	
248	95	10	89	97	89	22	11	
