ST	16S	batR	ftsZ	gltA	groEL	nlpD	ribC	rpoB	clonal_complex
1	1	1	1	1	1	1	1	1	
2	1	1	1	1	2	1	1	1	
3	1	2	1	1	2	1	1	1	
4	2	2	1	1	2	1	1	1	
5	2	1	1	1	2	1	1	1	
6	2	3	2	2	2	1	1	2	
7	2	4	3	2	1	2	2	1	
8	1	2	1	1	1	1	1	1	
9	2	1	1	1	1	1	1	1	
10	2	3	1	2	2	1	1	2	
11	2	3	2	2	1	1	1	1	
12	2	1	1	1	2	1	1	4	
13	2	3	2	1	1	1	1	1	
14	1	2	2	1	2	1	1	1	
15	1	1	1	1	1	1	1	5	
16	1	1	2	1	2	1	1	1	
17	1	1	3	1	1	1	1	1	
18	1	2	3	1	1	1	1	1	
19	2	4	1	2	1	2	2	1	
20	2	1	2	1	2	1	1	1	
21	2	4	2	2	1	2	2	1	
22	2	3	2	2	2	1	1	1	
23	2	1	3	1	2	1	1	1	
24	2	1	1	2	2	1	1	1	
25	2	4	3	2	1	1	2	1	
26	2	3	3	2	2	1	1	2	
27	2	3	1	1	2	1	1	2	
28	2	2	2	1	2	1	1	1	
29	2	4	3	2	2	2	2	1	
30	1	1	1	1	1	1	1	6	
31	2	3	4	2	2	1	1	2	
32	1	5	1	1	1	1	1	1	
33	2	3	3	1	2	1	1	2	
34	1	6	1	1	1	1	1	1	
35	2	7	1	1	2	1	1	1	
36	1	7	1	1	1	1	1	1	
37	2	6	1	1	1	1	1	1	
