ST	adk	fumC	glyA	tyrB	icd	pepA	pgm	clonal_complex
1	1	1	1	1	1	1	1	ST-2 complex
2	1	1	1	3	1	1	1	ST-2 complex
3	3	2	1	2	4	6	7	
4	2	3	3	1	1	3	2	ST-6 complex
5	2	3	4	1	3	3	2	ST-6 complex
6	2	2	4	1	1	4	2	ST-6 complex
7	2	4	4	1	1	4	2	ST-6 complex
8	3	2	8	2	4	8	9	
9	3	5	1	5	7	8	6	
10	2	3	4	1	1	4	2	ST-6 complex
11	2	2	12	1	1	4	2	ST-6 complex
12	2	6	4	1	1	4	2	ST-6 complex
13	3	2	6	2	4	8	6	
14	2	2	4	1	3	4	2	ST-6 complex
15	4	2	1	2	8	8	6	
16	2	2	5	1	1	5	3	ST-6 complex
17	4	5	1	2	4	8	6	
18	3	2	6	2	4	6	4	
19	2	2	2	2	2	2	5	
20	5	3	11	6	9	3	10	
21	6	2	9	4	1	9	7	
22	3	5	6	2	1	6	6	
23	2	2	4	1	5	7	2	ST-6 complex
24	2	1	1	1	1	1	1	ST-2 complex
25	3	2	1	2	4	6	6	
26	2	2	1	1	6	7	2	ST-6 complex
27	5	3	3	1	1	3	2	
28	4	2	1	2	2	8	7	
29	4	2	6	4	1	8	8	
30	1	2	2	2	2	2	5	
31	5	3	3	1	1	7	2	
32	2	2	7	1	1	7	2	ST-6 complex
33	2	2	4	1	1	7	2	ST-6 complex
34	3	5	1	5	7	6	6	
35	3	5	10	2	4	8	6	
36	2	2	4	1	3	7	2	ST-6 complex
37	2	3	4	1	1	3	2	ST-6 complex
38	2	1	4	1	1	4	2	ST-6 complex
39	2	1	4	1	3	4	2	ST-6 complex
40	5	3	3	1	1	3	4	
41	5	3	11	2	10	3	10	
42	2	4	10	1	1	4	2	ST-6 complex
43	3	5	10	6	4	8	6	
44	2	4	4	1	1	8	2	ST-6 complex
45	2	2	1	2	1	4	2	ST-6 complex
46	2	2	1	4	1	4	3	ST-6 complex
47	3	2	1	2	2	8	6	
48	4	5	1	5	4	6	6	
49	3	2	6	5	4	8	4	
50	4	2	1	2	4	8	6	
51	4	2	1	2	4	8	2	
52	6	2	1	4	4	8	6	
53	4	5	8	5	4	8	9	
54	4	2	6	4	4	8	6	
55	2	2	4	1	3	4	6	ST-6 complex
56	4	2	6	2	4	8	6	
57	3	2	1	2	2	8	7	
58	6	2	6	2	4	8	6	
59	5	3	13	6	12	3	10	
60	5	3	11	6	10	3	10	
61	5	3	11	6	10	3	11	
62	2	2	4	1	1	4	12	ST-6 complex
63	2	2	4	1	3	8	2	ST-6 complex
64	3	2	1	5	4	8	6	
65	4	2	6	2	4	6	6	
66	3	2	1	2	4	8	6	
67	5	3	13	6	10	3	10	
68	7	7	13	7	13	11	13	
69	8	5	14	2	4	6	6	
70	3	2	1	2	2	6	7	
71	3	2	8	4	2	8	7	
72	4	2	1	2	14	8	7	
73	3	2	1	2	2	8	14	
74	3	2	6	5	2	8	6	
75	4	5	15	4	4	8	7	
76	9	8	16	8	15	12	15	
77	5	3	13	6	16	3	10	
78	10	3	13	6	10	3	10	
79	1	1	1	3	1	13	1	ST-2 complex
80	11	9	17	9	1	14	16	
81	12	10	18	10	17	15	17	
82	2	2	19	1	1	7	2	ST-6 complex
83	1	1	1	3	11	1	1	
84	2	1	4	1	1	7	2	
85	2	2	20	1	1	4	2	
86	1	1	1	3	1	1	18	
87	1	1	1	3	1	16	1	
88	2	2	4	1	5	4	2	
89	2	4	4	1	1	7	2	
90	10	2	4	1	3	4	2	
91	3	2	4	1	1	7	2	
92	3	2	4	1	1	10	2	
93	3	2	4	9	1	10	2	
94	2	2	4	1	3	10	2	
95	10	11	21	6	18	17	19	
96	4	2	1	4	2	8	7	
97	7	12	13	6	10	11	13	
98	10	13	21	6	10	17	20	
99	5	3	13	6	10	18	10	
100	2	2	1	2	8	8	6	
101	5	3	13	6	12	18	10	
102	10	14	21	11	10	11	21	
103	2	15	4	1	1	7	2	
104	1	1	1	12	1	1	1	
105	1	1	1	14	1	1	1	
106	1	1	1	13	1	1	1	
107	4	2	1	4	4	7	6	
108	2	2	4	1	1	10	2	
109	2	2	4	15	1	4	2	
110	2	2	7	1	1	4	2	
111	2	16	4	1	1	7	2	
112	3	2	6	4	4	8	7	
113	3	5	1	2	4	8	6	
114	3	5	1	5	1	8	7	
115	4	2	1	2	4	8	7	
116	4	2	1	4	1	8	7	
117	4	2	1	5	2	6	4	
