ST	clpA	clpX	nifS	pepX	pyrG	recG	rplB	uvrA	clonal_complex
1	1	1	1	1	1	1	1	1	
2	1	1	7	1	1	1	1	11	
3	4	1	1	1	1	6	1	7	
4	8	1	1	1	4	6	1	7	
5	11	1	1	9	7	6	4	14	
6	11	1	8	1	1	6	4	12	
7	6	1	5	1	1	7	1	8	
8	5	5	4	5	5	5	1	6	
9	10	5	4	6	1	6	1	6	
10	5	5	4	5	8	5	6	6	
11	5	7	5	1	6	1	4	9	
12	3	3	2	4	3	4	4	4	
13	3	3	2	4	3	6	4	4	
14	9	1	1	7	1	6	1	10	
15	2	2	4	2	2	2	2	2	
16	2	2	1	2	2	2	2	2	
17	12	2	9	8	5	8	2	13	
18	7	6	6	1	1	5	5	5	
19	4	4	3	3	3	3	3	3	
20	14	1	11	1	1	1	1	10	
21	14	1	11	1	1	10	1	10	
22	14	1	11	1	1	12	1	10	
23	16	1	11	1	1	1	1	10	
24	15	9	12	8	1	11	8	16	
25	13	10	13	10	9	9	7	15	
26	13	8	10	10	9	9	7	15	
27	17	10	14	10	10	13	9	17	
28	17	11	10	10	9	14	10	18	
29	18	12	1	11	2	15	1	2	
30	19	1	5	1	2	1	1	10	
31	20	4	3	3	3	3	3	3	
32	8	1	1	1	4	16	1	7	
33	15	13	12	8	1	17	8	16	
34	8	1	1	7	1	6	1	10	
35	2	2	1	2	2	7	2	2	
36	10	5	4	6	1	15	1	6	
37	7	6	12	1	1	5	5	5	
38	21	1	15	8	1	18	4	7	
39	12	2	1	2	1	16	76	4	
40	22	1	5	8	1	18	11	10	
41	1	1	1	4	8	6	1	7	
42	6	1	5	1	1	2	1	8	
43	4	4	3	3	3	21	6	3	
44	4	4	3	19	3	3	3	3	
45	6	1	5	1	1	7	12	8	
46	7	6	12	1	2	5	5	5	
47	7	6	12	1	6	5	5	5	
48	8	1	1	14	2	6	1	10	
49	8	1	1	15	2	6	1	10	
50	8	1	1	17	1	6	1	10	
51	8	1	15	8	12	20	1	7	
52	12	1	1	7	1	6	1	10	
53	12	1	1	13	1	6	1	10	
54	15	1	16	4	1	18	4	20	
55	23	1	17	20	2	1	1	10	
56	24	14	4	18	11	19	1	12	
57	25	4	3	16	3	21	1	2	
58	6	1	5	1	1	7	1	1	
59	6	1	5	1	1	7	1	19	
60	26	15	18	21	13	22	13	21	
61	27	16	18	22	13	23	14	22	
62	27	17	18	22	13	23	14	22	
63	28	18	18	21	14	22	13	23	
64	29	19	18	23	14	24	15	24	
65	30	15	18	21	13	23	16	21	
66	26	20	18	22	15	22	17	25	
67	28	15	18	24	16	22	18	22	
68	26	19	18	22	17	23	19	26	
69	31	19	19	25	18	25	20	27	
70	35	23	22	28	20	27	22	28	
71	36	24	23	29	20	28	23	29	
72	35	24	24	30	21	27	23	28	
73	37	24	24	31	22	29	23	29	
74	35	24	24	34	21	27	23	28	
75	36	24	23	31	23	30	23	30	
76	36	24	24	31	22	29	23	29	
77	36	24	24	32	21	31	23	28	
78	36	24	23	32	25	32	23	29	
79	36	24	23	32	21	27	23	28	
80	39	24	23	35	26	33	23	29	
81	38	24	25	33	24	29	24	28	
82	40	25	26	36	27	34	25	31	
83	40	25	26	42	33	34	25	31	
84	41	26	27	37	28	35	26	32	
85	41	26	28	37	28	35	26	32	
86	42	27	29	38	29	36	27	33	
87	42	27	29	38	29	39	27	33	
88	43	28	30	39	30	36	28	34	
89	44	29	31	40	31	37	29	35	
90	45	30	32	41	32	38	30	36	
91	46	31	29	43	34	40	31	37	
92	47	32	33	42	35	41	32	36	
93	45	33	34	36	36	38	30	38	
