ST	Bhy_adh	Bhy_alp	Bhy_est	Bhy_gdh	Bhy_glpK	Bhy_pgm	Bhy_thi	clonal_complex
1	2	6	3	1	18	4	3	
2	2	6	3	1	17	4	3	
3	2	6	3	1	17	10	20	
4	2	3	3	1	4	3	16	
5	2	10	3	10	8	1	3	
6	2	7	3	1	12	1	3	
7	2	2	3	12	14	1	3	
8	2	2	3	12	11	1	3	
9	2	11	3	6	9	1	3	
10	2	11	3	1	9	8	13	
11	2	11	10	14	3	2	3	
12	2	1	10	14	6	2	3	
13	2	11	6	5	6	2	11	
14	2	14	11	8	3	2	3	
15	2	8	3	11	6	2	3	
16	2	8	3	5	6	2	3	
17	2	8	3	10	6	2	3	
18	2	8	3	11	6	2	1	
19	2	11	3	11	6	2	3	
20	2	11	3	10	6	2	3	
21	2	12	3	11	6	2	3	
22	2	8	3	4	8	2	3	
23	2	8	3	4	6	2	3	
24	2	12	3	4	8	2	3	
25	2	11	3	9	6	2	17	
26	2	16	5	4	6	3	3	
27	2	11	3	4	6	3	3	
28	2	11	10	10	1	2	1	
29	2	11	10	16	1	2	4	
30	2	11	10	15	1	2	3	
31	2	11	10	7	1	2	3	
32	2	11	10	15	1	2	8	
33	2	11	10	15	1	9	12	
34	2	11	10	15	1	5	12	
35	2	11	10	15	13	2	15	
36	2	11	10	15	13	2	1	
37	2	11	10	18	13	2	1	
38	2	11	10	15	7	2	6	
39	2	11	9	4	1	2	14	
40	2	11	10	4	1	2	14	
41	2	11	9	5	1	2	14	
42	2	11	8	5	9	2	10	
43	2	6	10	10	8	2	5	
44	2	6	2	10	8	2	3	
45	2	11	2	10	8	2	6	
46	2	11	9	10	7	2	6	
47	2	11	9	10	7	4	6	
48	2	11	10	10	1	4	6	
49	2	13	14	17	16	2	6	
50	2	8	14	1	13	2	2	
51	2	13	4	6	8	2	17	
52	2	13	3	6	8	2	17	
53	2	6	7	2	4	2	7	
54	1	16	3	4	2	3	6	
55	2	11	1	10	6	1	9	
56	2	2	1	10	5	1	11	
57	2	9	5	3	4	4	3	
58	4	4	10	4	10	2	2	
59	1	16	3	4	2	3	7	
60	2	7	3	6	12	2	3	
61	8	17	16	8	18	3	14	
62	7	17	15	8	18	3	14	
63	6	17	11	8	18	3	14	
64	2	17	11	8	18	3	14	
65	9	17	11	8	18	3	14	
66	1	11	3	10	10	2	6	
67	2	18	3	5	20	11	3	
68	2	13	3	21	8	2	3	
69	2	2	3	12	11	3	3	
70	2	11	5	20	9	12	3	
71	2	19	5	19	19	3	3	
72	2	13	3	6	8	13	3	
73	2	11	3	10	10	11	17	
74	1	11	3	6	21	1	3	
75	2	20	5	6	8	2	6	
76	10	11	17	1	22	11	13	
77	10	11	17	22	22	11	13	
78	2	3	3	10	4	2	16	
79	2	13	3	23	8	2	17	
80	2	13	17	23	8	2	17	
81	2	20	5	6	8	2	22	
82	2	20	5	6	8	2	23	
83	2	11	3	5	12	2	6	
84	2	13	3	6	6	2	11	
85	2	3	3	5	4	2	16	
86	10	11	3	22	22	11	17	
87	2	13	3	6	23	2	21	
88	2	21	3	20	6	11	11	
89	2	21	3	20	6	1	11	
90	2	11	8	1	8	2	13	
91	2	22	5	4	24	2	6	
92	2	6	17	5	26	3	3	
93	2	16	14	24	26	3	13	
94	2	2	1	10	26	1	11	
95	2	2	19	4	27	3	3	
96	2	25	19	4	7	3	13	
97	2	23	5	6	8	2	6	
98	2	11	17	1	25	11	13	
99	2	11	3	6	21	1	3	
100	2	13	3	4	6	14	11	
101	2	24	18	6	10	15	3	
102	11	20	5	6	8	2	6	
103	10	11	17	22	22	11	17	
104	2	26	5	4	28	2	24	
105	2	16	20	24	26	3	13	
106	2	2	19	4	6	2	25	
107	2	11	8	10	6	2	11	
108	2	11	8	24	6	2	11	
109	2	27	3	25	29	3	13	
110	2	2	3	5	6	2	11	
111	2	6	3	10	11	2	3	
112	2	11	3	10	10	11	3	
113	2	7	3	6	10	1	3	
114	2	11	5	10	9	2	3	
115	2	11	5	6	10	2	7	
116	2	13	3	12	8	2	17	
117	2	22	14	6	4	2	26	
118	2	11	8	5	30	2	10	
119	2	13	3	6	31	17	17	
120	2	11	7	5	10	16	3	
121	2	20	3	1	9	2	27	
122	2	11	3	5	9	2	28	
123	2	7	8	4	8	2	11	
124	2	8	3	1	8	2	3	
125	14	11	3	6	13	2	29	
126	2	22	14	6	4	2	22	
127	2	11	8	5	6	2	11	
128	2	11	5	10	9	18	3	
129	2	11	8	1	6	2	11	
130	2	3	3	1	4	3	30	
131	17	13	3	6	8	2	17	
132	2	6	3	4	12	2	7	
133	2	13	26	4	10	2	21	
134	2	11	27	21	10	21	35	
135	2	11	28	1	6	2	21	
136	2	13	5	10	4	2	7	
137	2	13	3	1	24	3	3	
138	2	2	3	10	10	2	36	
139	2	2	3	12	11	22	3	
140	2	8	3	4	13	9	3	
141	2	6	3	4	33	9	3	
142	2	28	3	4	33	9	3	
143	2	6	10	4	13	9	3	
144	2	6	3	7	17	9	3	
145	3	8	3	4	33	3	3	
146	13	17	22	27	3	3	1	
147	2	8	14	1	13	9	2	
148	2	8	14	1	13	2	31	
149	2	28	11	21	32	9	1	
150	20	14	11	21	32	3	1	
151	15	30	14	17	16	3	6	
152	2	13	11	21	32	9	1	
153	20	14	11	21	3	3	34	
154	2	8	23	28	34	2	32	
155	2	6	11	21	3	9	34	
156	2	6	11	21	3	20	34	
157	2	6	14	1	13	3	4	
158	2	1	14	1	13	3	2	
159	2	1	3	7	17	9	3	
160	2	11	3	7	17	9	3	
161	16	30	24	29	35	19	33	
162	2	6	3	27	17	9	3	
163	2	30	3	7	6	2	3	
164	18	29	10	14	36	23	37	
165	2	6	3	4	17	9	3	
166	2	1	10	4	37	9	3	
167	2	11	3	1	10	2	21	
168	2	11	8	4	9	2	3	
169	2	13	3	6	10	2	3	
170	2	18	8	5	6	1	11	
171	2	11	8	5	10	2	6	
172	2	11	3	20	6	2	21	
173	2	13	3	6	10	2	21	
174	2	26	5	10	26	1	13	
175	2	26	5	10	5	1	13	
176	2	26	1	10	26	1	11	
177	2	26	5	10	4	1	13	
178	2	26	5	20	26	2	13	
179	2	26	3	10	26	1	27	
180	2	26	5	20	5	2	13	
181	2	11	3	10	31	1	11	
182	2	11	3	20	4	2	27	
183	2	11	3	20	38	2	27	
184	2	31	3	20	4	7	27	
185	2	11	3	25	4	24	27	
186	2	11	3	20	26	2	27	
187	2	26	3	10	2	1	27	
188	2	8	3	7	8	2	27	
189	2	8	3	7	8	2	3	
190	2	8	3	7	2	2	3	
191	2	11	3	9	10	2	21	
192	20	30	29	21	39	2	38	
193	17	13	3	6	8	2	14	
194	2	13	5	4	12	2	3	
195	2	32	5	4	12	2	3	
196	2	33	5	6	9	2	3	
197	2	12	3	1	12	2	3	
198	2	13	3	31	40	3	17	
199	2	11	3	23	12	2	6	
200	2	11	3	32	12	2	6	
201	2	11	3	10	12	2	6	
202	1	11	3	5	21	1	3	
203	2	13	3	23	8	11	17	
204	2	13	17	31	40	3	17	
205	1	11	3	6	41	1	3	
206	2	20	5	6	4	25	6	
207	2	34	5	6	8	2	6	
208	2	2	3	12	6	2	3	
209	2	3	30	10	4	25	16	
210	2	11	28	1	11	2	21	
211	2	11	28	1	10	2	21	
212	2	11	28	12	10	2	21	
213	2	35	3	12	42	1	22	
214	2	35	3	1	42	1	22	
215	2	11	7	5	10	2	3	
216	2	8	17	1	22	2	3	
217	2	7	3	10	9	2	6	
218	15	30	23	28	34	20	32	
219	2	11	3	21	40	2	39	
220	2	13	31	6	10	2	21	
221	2	13	17	6	23	2	40	
222	2	8	17	4	22	2	11	
223	2	31	3	25	4	2	41	
224	2	11	8	1	6	2	3	
225	2	18	8	5	7	1	11	
226	2	8	18	6	8	10	3	
227	2	11	28	1	10	1	21	
228	2	7	3	6	9	2	16	
229	2	6	3	6	9	1	7	
230	2	8	3	1	22	2	3	
231	1	26	5	4	28	2	24	
232	2	12	7	4	10	2	11	
233	2	11	8	5	7	2	42	
234	2	11	3	1	10	11	36	
235	2	2	3	12	7	1	3	
236	2	2	3	12	11	11	3	
237	2	9	3	33	8	2	3	
238	2	13	32	6	10	2	21	
239	2	11	33	10	7	3	3	
240	2	11	3	6	43	26	43	
241	2	11	3	7	44	2	44	
242	2	11	33	10	43	3	3	
243	2	11	3	1	9	2	13	
244	2	7	3	6	24	2	3	
245	2	31	3	20	4	2	45	
246	2	11	26	6	6	27	21	
247	2	8	3	4	45	2	3	
248	2	11	10	14	46	28	3	
249	20	14	11	8	47	3	1	
250	2	11	3	4	8	11	7	
251	2	6	3	6	6	2	6	
252	2	2	3	6	43	1	21	
253	2	18	3	34	48	3	3	
254	2	2	3	10	10	2	46	
255	2	2	3	1	10	29	36	
256	2	11	28	1	49	2	47	
257	2	7	7	5	10	2	3	
258	1	11	3	6	11	2	6	
259	2	11	3	10	10	2	7	
260	2	11	5	6	9	1	7	
261	19	6	3	6	6	2	6	
262	21	13	3	6	8	2	17	
263	2	36	3	20	6	11	3	
264	2	7	3	6	9	2	21	
265	2	11	3	7	6	2	3	
266	1	26	3	4	28	2	24	
267	2	26	3	10	26	1	45	
268	2	31	3	20	38	2	45	
269	2	26	3	10	2	1	45	
270	2	2	3	10	10	1	36	
271	2	13	3	6	8	2	21	
272	2	2	3	8	11	2	3	
273	2	26	5	10	26	1	48	
274	2	26	5	10	4	1	48	
275	2	26	5	20	26	2	48	
276	2	31	3	10	26	1	45	
277	2	11	3	1	10	30	49	
278	2	2	3	6	11	1	3	
279	2	13	5	19	19	3	3	
280	2	11	5	19	19	3	3	
281	2	29	5	22	19	3	3	
282	2	13	3	22	23	2	21	
283	2	22	5	4	24	2	31	
284	2	11	3	10	9	11	3	
285	2	6	3	4	8	2	7	
286	2	13	28	1	10	2	21	
287	2	11	5	6	19	2	3	
288	2	18	8	5	6	2	11	
289	2	12	3	4	6	2	13	
290	2	38	3	6	23	2	21	
291	2	38	3	6	23	2	7	
292	2	13	3	6	23	31	21	
293	2	13	28	1	10	2	50	
294	2	37	5	6	7	2	16	
295	2	39	3	6	23	2	21	
296	2	39	3	6	6	2	21	
