ST	Bpi_adh	Bpi_alp	Bpi_est	Bpi_gdh	Bpi_glpK	Bpi_pgm	Bpi_thi	clonal_complex
1	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	
3	56	33	117	73	92	134	127	
4	15	119	127	80	99	152	123	
5	5	124	19	52	38	135	116	
6	5	115	118	70	24	136	131	
7	5	114	119	62	93	137	110	
8	5	33	34	25	29	42	31	
9	5	34	35	26	30	43	32	
10	5	32	33	24	28	41	30	
11	5	114	119	62	94	137	110	
12	3	116	32	22	82	138	130	
13	5	127	121	36	13	149	134	
14	5	115	122	31	24	130	131	
15	5	34	120	60	95	139	132	
16	3	118	12	53	88	143	124	
17	3	112	123	71	96	140	128	
18	15	127	133	83	103	149	72	
19	43	113	125	75	96	36	129	
20	3	112	123	71	96	140	137	
21	5	117	124	74	100	141	133	
22	43	113	125	75	97	36	129	
23	3	116	32	15	82	55	130	
24	57	120	120	79	34	147	122	
25	5	45	44	31	38	55	16	
26	3	112	135	53	96	140	110	
27	3	116	130	62	101	146	119	
28	5	47	46	32	41	57	99	
29	3	128	29	82	106	150	139	
30	43	129	29	84	38	147	141	
31	56	112	117	73	92	134	127	
32	43	112	134	21	28	151	140	
33	3	126	128	81	104	133	125	
34	15	119	127	80	99	36	123	
35	15	127	133	36	103	149	72	
36	9	57	49	16	40	71	53	
37	43	113	125	75	97	36	16	
38	3	119	132	75	38	134	119	
39	5	45	44	31	38	55	72	
40	59	130	136	32	107	133	142	
41	5	123	39	31	38	144	116	
42	9	9	9	7	7	11	7	
43	9	3	9	7	7	12	8	
44	3	120	129	76	13	145	117	
45	17	50	49	35	44	60	44	
46	5	112	123	71	96	140	131	
47	3	118	12	77	88	143	136	
48	3	112	123	71	96	140	118	
49	3	45	130	62	101	146	119	
50	5	121	131	32	102	147	120	
51	27	58	64	12	56	80	60	
52	5	45	94	31	38	55	16	
53	15	122	132	78	24	148	101	
54	28	62	67	43	58	82	61	
55	28	62	68	43	58	82	61	
56	28	62	69	43	58	83	61	
57	29	62	70	43	58	82	62	
58	30	63	71	44	59	84	63	
59	4	3	72	44	59	85	63	
60	27	64	73	45	59	86	63	
61	5	124	19	52	108	135	116	
62	3	116	130	62	38	146	119	
63	5	66	94	31	38	55	16	
65	5	114	119	62	94	137	121	
66	43	20	128	25	105	146	138	
73	5	71	39	34	65	93	72	
75	35	72	39	51	65	97	74	
76	36	73	81	52	66	98	75	
78	38	75	82	53	68	100	77	
79	39	76	83	53	68	80	77	
80	34	77	84	53	68	101	77	
84	44	84	90	60	38	106	84	
92	3	17	111	12	13	21	15	
94	3	19	19	14	14	23	99	
97	3	21	21	15	16	25	18	
98	3	22	22	16	17	26	19	
107	14	27	28	21	23	35	25	
108	3	28	29	21	24	36	26	
112	5	31	32	21	27	40	29	
113	21	55	52	39	6	66	47	
116	43	83	89	22	74	105	83	
119	24	60	60	16	52	76	56	
124	46	87	93	62	76	109	87	
125	48	88	94	62	16	110	88	
126	49	89	95	63	77	111	89	
127	50	90	95	64	78	112	90	
128	3	3	4	3	3	37	3	
129	4	3	4	3	3	114	3	
130	3	11	12	66	8	46	4	
131	6	66	4	67	3	117	106	
132	6	103	106	6	85	18	107	
133	5	35	36	27	31	121	99	
134	5	37	105	27	18	49	35	
135	5	37	12	27	18	50	35	
136	5	37	39	37	18	46	35	
137	5	40	30	28	34	46	38	
138	5	71	39	34	64	93	72	
139	5	42	42	29	36	52	40	
140	3	101	104	62	15	126	105	
141	5	93	94	31	38	56	16	
142	4	99	102	65	83	102	103	
143	9	53	7	38	45	39	47	
144	15	100	32	38	38	124	48	
145	9	56	54	16	44	123	51	
146	9	56	54	16	44	69	51	
147	9	58	100	40	44	117	42	
148	9	58	98	40	44	117	42	
149	8	7	7	7	5	9	5	
150	3	92	97	58	80	115	93	
151	51	11	10	15	1	9	94	
152	10	10	11	8	82	114	42	
153	25	62	99	12	3	119	97	
154	54	97	54	8	81	84	98	
155	32	94	7	15	81	88	95	
156	4	70	79	49	3	92	68	
157	5	91	96	53	79	113	91	
158	5	71	39	34	64	114	72	
159	5	71	39	34	64	46	72	
160	34	71	39	50	54	96	109	
161	53	98	29	52	28	99	101	
162	24	96	4	16	52	26	96	
163	3	11	12	9	8	93	10	
164	3	16	101	11	12	114	100	
165	3	93	110	62	86	130	110	
166	3	20	18	15	15	45	102	
167	3	23	3	16	17	118	19	
168	4	8	3	16	17	93	19	
169	3	8	3	16	17	118	19	
170	3	105	108	52	19	64	108	
171	3	106	109	18	19	129	21	
172	3	91	103	62	84	113	104	
173	3	20	18	15	15	125	102	
174	5	104	107	21	14	128	100	
175	15	29	30	22	25	37	71	
176	15	30	12	23	19	39	92	
177	5	37	39	27	18	46	35	
178	2	11	10	15	1	114	13	
179	52	61	61	42	53	120	61	
180	6	95	4	41	50	116	61	
181	8	8	3	7	5	122	5	
