ST	glpF	ilvD	pta	purH	pycA	rpoD	tpiA
1	1	1	1	1	1	1	1
2	2	1	5	2	1	1	1
3	3	3	2	3	2	1	1
4	3	2	2	6	4	3	4
5	1	2	2	6	4	1	4
6	3	2	2	5	4	1	3
7	9	4	6	7	5	4	5
8	5	5	8	8	6	5	7
9	4	1	4	4	3	1	2
10	4	1	20	23	3	1	2
11	3	18	2	24	20	1	1
12	6	6	9	9	7	6	8
13	7	7	10	10	8	7	9
14	9	4	21	7	5	4	5
15	19	19	8	25	21	5	21
16	13	11	12	15	13	12	13
17	13	11	12	15	14	12	13
18	13	11	13	16	13	11	12
19	11	10	12	14	11	10	12
20	12	12	14	17	12	10	12
21	8	8	7	11	9	8	6
22	20	20	7	26	22	8	23
23	21	21	7	27	22	8	24
24	10	9	11	12	10	9	10
25	23	23	23	29	24	9	10
26	22	22	22	28	23	21	22
27	15	14	16	18	16	15	14
28	16	14	17	19	16	16	14
29	17	16	18	20	17	14	16
30	18	17	19	21	18	17	17
31	18	17	19	21	19	17	18
32	14	13	15	13	15	13	11
33	18	17	34	21	19	17	17
34	18	30	19	21	19	24	17
35	1	1	1	1	1	4	1
36	26	24	32	37	25	23	25
37	17	16	31	20	27	14	16
38	18	17	19	21	19	24	17
39	14	25	27	34	15	13	27
40	27	28	30	36	30	2	28
41	28	27	29	34	28	2	26
42	29	26	28	33	29	2	29
43	9	1	1	1	1	1	1
44	1	1	5	38	26	1	1
45	30	15	3	22	32	18	30
46	31	29	33	35	31	22	15
47	36	1	36	43	33	1	33
48	1	1	38	4	1	1	1
49	37	35	39	44	34	1	34
50	38	36	40	45	35	25	35
51	39	37	41	10	36	26	36
52	40	38	42	46	37	27	37
53	17	16	18	20	38	14	16
54	33	14	16	47	16	28	16
55	41	39	43	48	39	29	38
56	1	1	44	49	40	1	1
57	50	53	57	60	53	37	46
58	28	27	29	30	28	2	26
59	24	40	26	32	41	19	19
60	29	41	45	50	42	30	39
61	34	42	46	51	43	31	28
62	43	43	47	52	15	32	28
63	14	13	29	53	44	33	40
64	14	13	48	13	45	13	28
65	44	44	49	13	46	34	28
66	45	45	46	51	47	31	32
67	46	46	50	54	48	20	41
68	47	49	52	57	49	19	43
69	48	50	53	58	50	31	44
70	14	13	47	33	15	35	28
71	29	51	54	50	51	30	45
72	1	48	55	56	34	1	1
73	42	47	51	55	4	1	42
74	49	52	56	59	52	36	3
75	51	54	58	61	54	38	47
76	17	16	18	20	27	14	16
77	17	55	18	20	17	39	16
78	17	16	18	20	38	39	16
79	4	56	59	62	55	40	3
80	52	57	1	63	56	1	33
81	3	48	60	64	2	41	1
82	3	48	2	65	34	41	3
83	53	58	55	38	57	1	48
84	1	1	55	66	1	1	1
85	1	1	1	1	58	1	1
86	1	31	35	40	56	3	49
87	1	1	55	66	26	1	1
88	54	57	61	67	56	1	1
89	55	6	9	9	7	6	8
90	9	59	6	68	5	42	50
91	34	33	62	39	60	31	32
92	56	60	29	53	44	43	29
93	35	44	63	13	15	13	51
94	29	61	54	50	61	30	52
95	29	62	54	50	59	30	53
96	57	42	64	69	50	44	44
97	18	63	19	21	18	17	17
98	58	22	65	70	23	45	54
99	29	62	45	50	59	30	52
100	3	1	36	43	26	1	1
101	62	66	67	74	63	46	55
102	59	64	66	71	34	1	1
103	1	57	43	72	40	1	1
104	36	1	5	1	62	1	56
105	3	64	44	66	2	3	3
106	63	24	68	76	68	49	59
107	3	48	2	66	34	1	3
108	61	65	55	73	4	1	63
109	60	68	65	75	66	53	58
110	68	33	74	80	49	54	32
111	64	13	70	34	64	50	60
112	14	13	69	33	15	51	62
113	17	16	18	20	27	39	16
114	17	16	18	77	27	14	16
115	14	69	71	33	29	13	28
116	33	16	18	20	17	14	16
117	24	40	24	30	41	19	19
118	65	70	67	78	65	52	61
119	66	14	16	19	16	16	14
120	67	67	72	79	69	47	57
121	67	67	73	79	70	48	57
122	25	46	25	31	67	20	20
123	3	31	35	40	56	3	4
124	54	71	75	81	71	1	1
125	61	72	76	82	34	55	64
126	33	83	17	47	16	16	14
127	69	83	16	47	72	16	14
128	75	64	35	83	79	56	1
130	1	1	35	85	56	3	4
131	1	1	35	86	56	1	49
132	35	44	63	13	15	34	26
133	29	77	80	34	44	2	28
134	72	78	81	87	76	58	67
135	29	79	54	88	42	30	53
136	14	80	29	90	44	43	29
137	14	13	48	13	45	19	28
138	43	40	47	52	15	32	28
139	29	41	54	89	51	31	68
140	34	33	82	51	77	31	32
141	29	44	29	34	44	59	28
142	3	48	83	91	34	60	3
143	73	81	84	92	78	36	3
144	74	82	85	93	78	36	3
