ST	AAT1a	ACC1	ADP1	MPIb	SYA1	VPS13	ZWF1b	clonal_complex
1	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	
3	3	3	3	3	3	3	3	
4	4	4	4	4	4	4	4	
5	5	5	2	2	2	5	5	
6	5	3	5	2	2	6	2	
7	6	3	6	3	5	7	6	
8	7	3	7	1	6	8	7	
9	2	5	2	2	2	9	5	
10	8	6	8	4	7	10	8	
11	9	7	6	1	8	11	9	
12	10	7	9	5	9	12	10	
13	11	8	6	4	10	13	8	
14	12	9	10	3	11	14	3	
15	13	10	11	6	7	15	9	
16	7	3	3	4	3	16	11	
17	13	10	10	6	7	17	12	
18	13	6	12	4	12	18	13	
19	4	7	13	7	13	19	14	
20	2	2	5	2	2	20	5	
21	2	5	6	2	2	21	5	
22	13	7	14	6	7	22	15	
23	13	10	15	6	7	23	15	
24	2	5	5	2	2	24	5	
25	2	5	5	2	2	24	16	
26	14	3	6	8	7	3	8	
27	8	3	6	4	10	3	8	
28	8	3	6	4	7	3	17	
29	2	5	5	2	2	5	2	
30	2	2	5	9	2	5	5	
31	5	2	2	10	2	6	5	
32	8	5	5	2	2	6	2	
33	13	10	15	6	7	17	9	
34	15	7	13	7	13	19	14	
35	4	7	16	11	13	19	14	
36	13	3	4	6	10	20	18	
37	2	5	5	2	2	21	5	
38	2	5	5	2	2	21	19	
39	2	5	2	2	2	25	12	
40	2	5	5	2	14	20	5	
41	4	7	17	4	15	26	20	
42	2	3	2	2	2	25	21	
43	2	2	5	12	2	27	5	
44	8	2	5	12	2	28	5	
45	13	11	15	6	16	29	15	
46	16	12	18	13	17	30	22	
47	8	3	5	9	2	24	5	
48	17	3	19	14	18	30	23	
49	2	5	5	4	2	6	20	
50	5	5	5	9	2	31	2	
51	13	10	20	15	19	32	24	
52	2	3	5	9	2	24	5	
53	18	5	21	16	20	33	12	
54	8	2	2	16	2	34	5	
55	19	5	6	17	21	35	12	
56	13	13	14	6	7	32	15	
57	8	13	8	4	7	10	8	
58	20	14	6	2	22	36	20	
59	2	5	2	2	2	6	5	
60	2	2	5	2	2	24	5	
61	13	7	15	2	23	37	15	
62	4	5	5	2	2	20	5	
63	2	5	5	2	2	6	25	
64	20	3	22	9	24	30	26	
65	2	15	5	2	2	6	5	
66	2	3	5	2	2	6	5	
67	4	4	6	4	4	4	4	
68	21	2	6	18	4	38	27	
69	2	5	5	2	2	6	5	
70	3	5	6	2	2	27	28	
71	22	3	3	3	3	39	13	
72	23	3	22	3	3	40	13	
73	2	3	2	2	2	6	5	
