ST	aspA	glnA	gltA	glyA	pgm	tkt	uncA	clonal_complex
1	2	1	54	3	4	1	5	ST-21 complex
2	4	7	51	4	1	7	1	ST-45 complex
3	3	2	5	10	11	11	6	ST-49 complex
4	10	11	16	7	10	5	7	ST-403 complex
5	7	2	5	2	10	3	6	ST-353 complex
6	63	34	27	33	45	5	7	
7	8	10	2	2	14	12	6	ST-354 complex
8	2	1	1	3	2	1	6	ST-21 complex
9	1	6	22	24	12	7	1	ST-508 complex
10	2	59	4	38	17	12	5	ST-433 complex
11	48	7	10	4	1	7	1	ST-45 complex
12	7	1	5	2	11	3	6	ST-353 complex
13	2	1	1	9	2	1	5	ST-21 complex
14	9	2	55	62	4	5	6	ST-257 complex
15	6	4	13	2	2	1	5	ST-48 complex
16	1	3	6	4	3	3	6	ST-22 complex
17	9	2	4	6	4	5	6	ST-257 complex
18	2	1	13	3	2	1	5	ST-21 complex
19	2	1	5	3	2	1	5	ST-21 complex
20	2	1	5	3	2	4	5	ST-21 complex
21	2	1	1	3	2	1	5	ST-21 complex
22	1	3	6	4	3	3	3	ST-22 complex
23	1	5	9	5	8	8	2	
24	2	1	12	6	2	1	5	ST-21 complex
25	4	7	10	1	1	7	1	ST-45 complex
26	14	18	5	2	11	3	6	ST-353 complex
27	1	2	42	85	11	9	8	ST-362 complex
28	64	19	20	77	94	54	16	
29	8	1	17	3	16	1	1	
30	2	1	6	9	11	1	14	
31	2	20	12	3	2	1	5	ST-21 complex
32	2	1	2	3	2	1	10	ST-21 complex
33	2	1	12	3	17	1	5	ST-21 complex
34	2	15	11	6	17	12	5	
35	2	16	2	2	6	1	5	ST-48 complex
36	1	4	19	2	6	3	17	ST-61 complex
37	7	17	2	2	18	3	6	ST-353 complex
38	2	4	2	2	6	1	5	ST-48 complex
39	2	3	2	11	19	3	6	ST-658 complex
40	9	2	5	15	89	3	1	ST-607 complex
41	16	2	16	62	3	9	8	ST-41 complex
42	1	2	3	4	5	9	3	ST-42 complex
43	2	1	5	3	4	1	5	ST-21 complex
44	8	1	6	3	2	1	1	ST-21 complex
45	4	7	10	4	1	7	1	ST-45 complex
46	2	21	5	3	2	1	5	ST-206 complex
47	2	1	1	5	2	1	5	ST-21 complex
48	2	4	1	2	7	1	5	ST-48 complex
49	3	1	5	17	11	11	6	ST-49 complex
50	2	1	12	3	2	1	5	ST-21 complex
51	7	17	2	15	23	3	12	ST-443 complex
52	9	25	2	10	22	3	6	ST-52 complex
53	2	1	21	3	2	1	5	ST-21 complex
54	17	2	9	5	24	2	4	ST-177 complex
55	10	23	16	19	6	18	7	ST-403 complex
56	2	4	27	25	11	3	5	
57	33	39	30	2	6	47	17	ST-828 complex
