ST	Cin_aspA	Cin_atpA	Cin_glnA	Cin_glyA	Cin_pgi	Cin_pgm	Cin_tkt	clonal_complex
1	1	1	1	1	1	1	1	
2	2	1	2	2	2	2	2	
3	2	1	2	2	2	2	3	
4	3	2	2	3	3	3	3	
5	4	3	3	4	4	4	4	
6	5	4	2	5	4	5	5	
7	4	5	2	5	5	6	4	
8	6	5	4	5	5	7	4	
9	7	6	2	4	4	5	4	
10	7	4	3	5	6	4	4	
11	7	7	3	6	7	6	4	
12	7	8	5	6	4	8	6	
13	4	9	2	6	8	5	5	
14	6	10	6	7	9	4	4	
15	4	3	3	8	10	4	4	
16	8	2	2	6	9	5	4	
17	6	11	7	4	4	8	4	
18	4	9	2	6	9	5	4	
19	4	11	2	4	4	8	6	
20	9	12	8	6	11	4	5	
21	4	2	2	6	4	5	4	
22	4	7	2	5	4	5	4	
23	6	2	3	9	5	6	4	
24	6	8	2	6	4	4	4	
25	1	2	2	10	3	9	7	
26	4	7	4	8	5	4	5	
27	7	11	2	8	4	8	4	
28	5	7	2	5	4	5	8	
29	4	7	3	6	4	10	4	
30	1	2	2	1	12	11	9	
31	7	11	2	7	4	5	4	
32	4	7	7	7	7	8	10	
33	7	11	2	5	4	12	4	
34	6	14	2	8	13	13	4	
35	6	11	3	5	4	4	4	
36	4	2	10	11	4	5	4	
37	6	9	4	5	5	6	4	
38	7	9	7	2	4	14	5	
39	1	15	2	1	12	11	9	
40	4	5	2	5	11	5	4	
41	2	16	12	2	15	15	11	
42	4	10	11	12	14	15	12	
43	7	17	11	13	14	3	13	
