ST	Cla_adk	Cla_atpA	Cla_glnA	Cla_glyA	Cla_pgi	Cla_pgm	Cla_tkt	clonal_complex
1	1	1	1	1	1	1	1	
2	2	2	1	1	2	1	2	ST-2
3	2	2	1	2	1	2	3	
4	3	3	2	2	3	3	4	
5	4	4	2	1	2	4	5	
6	5	2	1	2	2	1	2	ST-2
7	6	5	3	1	3	5	6	
8	7	1	1	1	1	3	2	
9	8	6	1	1	4	1	2	
10	9	7	4	3	5	6	7	
11	10	8	5	4	6	7	8	
12	11	9	6	5	7	8	9	
13	12	10	7	6	8	9	10	
14	13	11	8	7	9	10	9	
15	14	12	9	8	10	11	11	
16	52	57	2	2	56	52	31	
17	52	57	2	50	56	51	31	
18	53	58	1	2	57	52	32	
19	52	60	53	10	63	53	34	
20	5	2	1	51	4	1	2	
21	5	2	1	1	4	1	2	
22	57	3	1	1	3	3	2	
23	2	2	1	2	3	3	33	
24	5	2	1	52	2	1	2	
25	8	6	1	2	4	1	36	
26	5	65	1	1	1	1	37	
27	4	4	1	1	1	55	33	
28	2	4	1	1	1	1	33	
29	58	69	55	55	65	56	39	
30	60	68	56	56	67	58	41	
31	59	66	19	16	64	59	40	
32	61	67	54	54	66	57	38	
33	8	57	1	1	1	1	36	
34	57	57	2	2	1	52	32	
35	4	4	1	1	1	55	6	
36	10	6	1	1	4	2	1	
37	6	70	1	1	69	1	6	
38	4	76	57	1	4	3	45	
39	4	76	57	1	4	3	44	
40	4	76	57	1	70	3	45	
41	5	77	2	2	3	32	33	
42	1	57	1	1	4	32	46	
43	5	77	2	2	3	63	33	
44	2	2	2	1	1	63	2	
45	57	77	60	2	56	32	43	
46	5	77	58	2	3	66	2	
47	5	76	59	1	4	60	47	
48	66	76	59	1	4	60	45	
49	65	57	60	1	76	63	32	
50	7	1	1	53	58	62	2	
51	66	76	59	1	4	60	44	
52	57	73	2	2	2	63	33	
53	65	57	1	2	68	52	52	
54	35	74	62	26	73	38	49	
55	5	77	2	1	58	63	2	
56	62	57	63	1	58	70	33	
57	4	76	2	1	4	3	33	
58	1	1	1	1	92	1	1	
59	62	71	60	2	57	52	42	
60	5	57	2	2	3	65	51	
61	1	2	2	2	4	52	44	
62	64	75	42	58	74	69	50	
63	57	57	1	2	75	61	32	
64	10	26	1	1	71	64	48	
65	2	6	1	1	1	1	44	
66	1	6	1	16	1	68	1	
67	1	1	1	53	1	109	36	
68	1	6	1	16	1	1	1	
69	2	1	1	2	76	3	33	
70	2	2	1	77	2	1	2	
71	2	2	1	78	2	1	2	
72	2	77	1	1	2	84	44	
73	6	5	1	1	69	1	6	
74	6	5	1	53	120	5	33	
75	6	6	1	1	1	1	36	
76	7	1	1	1	1	1	2	
77	7	1	1	53	1	3	2	
78	7	1	1	53	58	3	2	
79	7	4	1	1	1	3	6	
80	7	57	1	1	1	3	36	
81	7	57	1	53	4	3	1	
82	8	6	1	1	1	1	86	
83	8	6	1	1	1	115	36	
84	11	19	8	7	96	95	9	
85	12	10	7	6	8	104	10	
86	22	95	80	81	113	112	87	
87	23	23	17	31	21	38	14	
88	28	27	23	16	27	25	83	
89	29	30	79	76	111	108	71	
90	29	83	9	36	86	87	66	
91	29	83	73	36	97	87	75	
92	29	83	73	36	97	89	75	
93	29	83	73	36	97	106	66	
94	29	84	25	70	95	94	74	
95	29	84	25	70	104	94	79	
96	29	84	25	70	119	94	79	
97	31	30	27	36	83	85	11	
98	31	30	27	36	109	40	14	
99	31	30	27	65	30	40	73	
100	31	84	26	65	108	103	64	
101	31	84	27	36	83	85	11	
102	31	85	76	21	103	99	64	
103	33	19	70	23	94	29	65	
104	40	43	25	73	100	42	11	
105	40	43	25	75	52	105	82	
106	42	44	40	24	85	44	65	
107	44	91	27	71	98	9	10	
108	68	83	27	21	84	86	64	
109	69	84	69	21	89	89	64	
110	69	84	69	65	87	88	67	
111	70	84	25	65	52	103	11	
112	70	85	70	66	88	85	68	
113	71	86	25	67	52	90	69	
114	72	87	19	68	90	91	70	
115	72	90	19	68	90	91	70	
116	73	88	71	31	91	92	71	
117	74	89	72	69	93	93	72	
118	75	30	74	72	99	96	64	
119	76	85	70	66	101	97	66	
120	77	92	75	16	102	98	76	
121	78	93	77	35	118	100	77	
122	79	13	5	4	60	33	78	
123	80	94	78	74	105	85	80	
124	81	95	20	18	106	101	81	
125	82	84	25	65	107	102	64	
126	83	83	27	72	110	107	49	
127	84	6	1	1	4	1	36	
128	84	6	1	1	58	1	36	
129	85	96	80	79	64	110	84	
130	85	99	81	80	114	101	89	
131	85	100	19	11	115	114	14	
132	86	25	20	16	107	22	15	
133	86	97	19	18	112	111	85	
134	87	98	19	18	26	113	88	
135	88	101	82	18	116	116	90	
136	89	102	83	16	117	117	91	
137	90	5	1	77	3	5	6	
138	91	16	84	82	121	118	92	
139	92	78	64	59	77	71	53	
140	93	78	66	63	80	73	54	
141	92	78	67	63	122	75	55	
142	95	80	67	63	123	83	93	
143	56	62	52	63	62	54	56	
144	96	57	1	2	58	63	52	
145	67	58	85	61	78	76	57	
146	62	2	2	2	75	77	58	
147	2	77	2	62	58	63	33	
148	97	57	1	2	58	78	44	
149	98	57	1	1	56	79	59	
150	95	80	65	63	81	81	93	
151	99	81	86	63	79	83	60	
152	92	80	66	63	122	83	61	
153	62	78	1	2	1	1	32	
154	100	57	67	63	62	82	62	
155	101	82	68	64	82	83	63	
156	8	6	1	1	1	1	36	
157	8	4	1	1	1	3	6	
158	103	65	1	1	1	3	44	
159	7	57	1	1	4	1	6	
