ST	Cup_adk	Cup_aspA	Cup_atpA	Cup_glnA	Cup_glyA	Cup_pgi	Cup_tkt	clonal_complex
1	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	
3	1	3	3	3	3	3	3	
4	3	3	4	4	1	4	4	
5	4	4	5	5	4	5	5	
6	4	5	6	6	5	6	6	ST-42
7	4	6	7	7	5	6	6	ST-42
8	4	6	7	5	5	7	6	ST-42
9	4	7	5	5	6	6	6	ST-42
10	4	8	5	7	5	6	6	ST-42
11	4	9	5	6	5	8	6	ST-42
12	4	6	5	5	5	6	6	ST-42
13	4	10	8	7	7	9	7	
14	5	6	7	5	8	10	6	
15	6	3	1	8	3	11	8	
16	7	11	1	9	9	12	1	ST-16
17	6	12	1	10	1	13	9	
18	8	13	1	11	1	14	10	
19	9	14	1	12	10	12	4	
20	6	15	1	13	11	1	11	
21	10	16	9	14	1	12	12	
22	10	3	9	10	12	12	12	
23	10	17	10	3	13	15	4	
24	1	17	10	13	14	12	13	
25	6	18	11	15	1	16	1	
26	10	14	10	16	1	14	8	
27	1	17	1	17	13	4	14	
28	1	13	1	18	11	1	11	
29	4	19	5	5	5	6	15	ST-42
30	4	19	5	5	5	6	6	ST-42
31	4	20	5	5	7	6	16	
32	11	21	5	19	5	6	6	
33	12	22	12	19	15	7	17	
34	5	7	5	6	16	17	6	
35	13	17	1	12	1	12	1	ST-35
36	4	5	5	6	5	6	6	ST-42
37	4	6	5	5	6	6	6	ST-42
38	4	6	7	20	5	6	6	ST-42
39	5	8	13	5	5	6	18	
40	14	4	5	5	5	6	6	ST-42
41	4	23	7	21	17	6	19	
42	4	6	7	5	5	6	6	ST-42
43	15	24	12	22	18	9	20	
44	6	15	1	1	1	13	1	
45	16	25	14	23	19	10	21	ST-45
46	13	18	4	24	20	12	22	
47	17	15	11	1	1	14	9	
48	18	17	15	13	21	3	23	
49	16	4	14	21	22	18	24	
50	19	26	16	21	23	19	25	ST-50
51	16	25	17	7	17	18	21	
52	7	12	1	9	24	20	1	
53	19	27	16	21	23	19	25	ST-50
54	20	28	14	21	19	21	21	ST-45
55	1	29	18	25	25	22	26	
56	17	30	11	1	26	16	1	
57	16	25	14	21	19	21	21	ST-45
58	21	31	19	7	27	9	7	
59	16	32	20	7	17	23	27	
60	19	26	16	21	23	24	25	ST-50
61	19	27	16	21	23	19	28	ST-50
62	1	17	1	26	1	12	1	ST-35
63	1	17	1	1	28	12	14	
64	1	33	1	13	28	12	12	ST-64
65	17	11	1	9	9	12	1	ST-16
66	1	33	1	13	28	12	4	ST-64
