ST	Cco_aspA	Cco_atpA	Cco_glnA	Cco_gltA	Cco_glyA	Cco_ilvD	Cco_pgm	clonal_complex
1	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	
3	3	3	3	3	3	3	3	
4	4	4	4	4	4	4	4	
5	5	5	5	5	5	5	5	
6	6	6	6	6	6	6	6	
7	7	7	7	7	7	7	7	
8	9	9	9	8	9	9	9	
9	10	9	10	9	10	10	10	
10	11	10	11	10	11	11	11	
11	8	8	12	11	12	12	12	
12	3	3	3	3	13	3	3	
13	12	11	13	12	14	14	14	
14	13	12	14	13	15	15	15	
15	14	13	15	14	16	16	16	
16	12	11	13	12	14	17	14	
17	12	11	13	12	14	13	13	
18	12	6	6	12	6	19	6	
19	15	15	17	16	18	20	18	
20	16	16	18	17	19	6	6	
21	18	18	20	19	21	21	20	
22	21	8	22	22	24	24	23	
23	22	20	23	23	25	25	24	
24	20	22	21	21	23	23	22	
25	24	23	25	25	27	26	26	
26	25	24	26	26	28	27	27	
27	26	25	27	27	29	28	28	
28	28	27	29	28	31	29	29	
29	30	29	31	30	32	30	31	
30	31	30	32	31	33	31	32	
31	32	31	33	28	34	32	33	
32	34	13	35	33	16	34	35	
33	35	33	36	34	35	35	36	
34	36	34	37	35	36	36	37	
35	37	35	38	36	37	37	38	
36	38	36	39	37	38	38	39	
37	39	37	40	38	39	39	40	
38	24	38	41	39	40	40	41	
39	41	40	43	40	41	42	43	
40	42	11	13	12	14	17	14	
41	43	41	13	41	42	43	44	
42	44	42	44	42	43	44	45	
43	45	43	45	43	44	45	46	
44	46	44	46	44	31	46	47	
45	48	46	48	46	45	48	49	
46	49	47	49	47	46	49	50	
47	50	24	50	48	47	50	51	
48	28	48	29	49	48	51	52	
49	4	49	4	4	4	52	4	
50	51	24	51	50	49	53	2	
51	52	50	52	51	50	54	53	
52	53	8	53	52	51	55	12	
53	55	50	54	51	53	57	55	
54	56	52	55	54	54	58	56	
55	57	53	56	55	55	59	57	
56	58	54	57	56	56	60	58	
57	59	55	58	56	57	61	59	
58	60	56	59	57	58	62	26	
59	61	57	60	58	59	63	60	
60	62	58	61	59	60	64	61	
61	63	59	62	60	61	65	62	
62	64	60	63	61	62	66	63	
63	24	38	64	62	63	67	64	
64	66	62	66	64	65	68	66	
65	8	8	8	65	8	8	8	
66	67	14	16	15	17	18	17	
67	17	17	19	18	20	70	19	
68	19	19	67	20	22	22	21	
69	29	28	30	29	31	71	30	
70	33	32	34	32	67	33	34	
71	40	39	42	12	68	41	42	
72	47	45	47	45	66	47	48	
73	65	61	65	63	64	69	65	
74	27	26	28	24	30	72	25	
75	54	51	68	53	52	56	54	
76	23	21	24	24	26	73	25	
77	68	49	4	4	4	4	4	
78	4	49	4	4	4	4	4	
79	5	24	85	77	84	50	2	
80	8	85	94	97	106	100	110	
81	24	90	106	39	109	112	41	
82	29	22	21	21	23	23	22	
83	29	28	30	29	23	71	30	
84	47	45	47	71	66	47	48	
85	57	53	69	55	55	74	67	
86	61	68	81	76	81	85	81	
87	65	93	78	73	77	81	77	
88	66	70	82	94	105	28	105	
89	69	63	70	83	69	75	68	
90	70	64	73	66	70	34	69	
91	71	65	71	67	71	76	70	
92	72	66	72	68	72	77	71	
93	73	50	74	69	50	78	72	
94	74	67	75	70	73	79	73	
95	75	68	76	72	74	80	74	
96	77	27	38	32	76	20	76	
97	78	98	79	86	78	82	78	
98	79	69	80	74	79	83	79	
99	80	69	73	75	80	84	80	
100	80	89	9	89	96	44	100	
101	81	71	83	87	82	86	98	
102	82	17	19	18	20	88	82	
103	83	72	84	91	83	87	83	
104	84	71	83	96	106	86	111	
105	85	21	87	92	86	90	85	
106	86	74	29	78	87	16	86	
107	87	75	88	79	88	91	87	
108	88	75	89	79	82	91	88	
109	89	76	90	80	105	106	102	
110	90	77	91	81	2	97	2	
111	91	78	66	2	89	92	89	
112	92	79	92	84	90	93	90	
113	94	80	96	70	92	95	91	
114	95	81	22	4	93	96	92	
115	97	88	98	88	98	104	99	
116	98	6	6	12	6	19	6	
117	98	96	95	95	107	110	108	
118	100	92	101	40	97	107	103	
119	101	91	102	90	101	105	101	
120	103	83	97	84	103	98	93	
121	105	21	87	93	86	90	104	
122	106	95	63	81	99	109	107	
123	107	27	105	42	31	102	96	
124	109	87	107	45	95	103	97	
125	108	97	108	99	108	111	109	
126	76	86	77	98	75	101	75	
127	102	58	99	101	104	99	95	
128	104	94	103	100	100	108	106	
129	93	63	52	102	91	94	112	
130	84	73	86	103	85	89	84	
