ST	Chy_aspA	Chy_atpA	Chy_glnA	Chy_gltA	Chy_glyA	Chy_pgm	Chy_tkt	clonal_complex
1	1	1	1	1	1	1	1	
2	1	1	2	2	2	2	2	
3	1	2	3	3	3	3	3	
4	2	3	2	4	1	4	4	
5	1	2	4	3	4	1	5	
6	1	1	5	4	1	5	6	
7	1	2	4	3	4	1	7	
8	3	4	6	5	5	6	8	
9	4	5	7	6	6	7	9	
10	1	1	5	2	1	5	6	
11	5	6	2	4	7	4	10	
12	6	3	2	4	1	4	4	
13	1	1	5	4	8	5	6	
14	1	3	2	4	9	4	4	
15	7	6	2	4	7	4	11	
16	1	1	2	4	8	4	12	
17	8	7	1	7	1	4	6	
18	6	1	1	4	1	8	13	
19	6	1	8	4	10	9	14	
20	9	8	9	8	11	10	15	
21	9	9	9	8	11	10	16	
22	10	10	10	9	12	11	17	
23	11	11	11	10	13	12	16	
24	12	12	12	5	14	13	18	
25	1	13	4	3	4	1	7	
26	1	2	13	3	3	14	7	
27	1	13	4	3	4	15	7	
28	1	13	4	3	3	16	7	
29	13	1	1	1	1	1	1	
30	5	1	2	4	15	17	14	
31	14	6	2	4	7	4	10	
32	8	7	2	7	16	4	6	
33	13	1	1	1	1	4	1	
34	13	1	5	4	17	18	6	
35	1	7	5	4	1	18	6	
36	1	2	4	3	3	3	19	
37	15	14	14	11	18	19	20	
38	1	2	4	3	3	1	19	
39	1	7	2	2	19	4	14	
40	7	6	2	4	7	4	6	
41	6	1	8	4	10	9	11	
42	5	1	2	2	2	20	3	
43	5	1	2	4	8	4	12	
44	6	15	2	4	15	9	6	
45	1	1	5	4	8	5	10	
46	1	7	2	4	19	1	14	
47	16	1	2	4	8	4	10	
48	8	1	1	1	1	1	1	
49	5	1	2	4	8	4	10	
50	6	1	2	4	15	4	14	
51	6	1	1	4	1	21	13	
52	5	1	15	4	8	4	10	
53	17	6	2	7	8	4	10	
54	5	1	8	4	10	9	11	
55	1	1	5	4	1	22	6	
56	5	6	2	4	7	9	10	
57	18	6	2	4	7	4	11	
58	1	1	2	2	2	20	3	
59	5	15	16	4	15	4	6	
60	5	7	1	7	1	4	6	
61	5	1	1	4	1	21	13	
62	1	1	16	4	15	17	14	
63	19	7	2	4	1	23	21	
64	1	1	8	4	10	9	11	
65	7	6	2	4	7	4	10	
66	6	1	8	12	15	9	11	
67	1	3	2	4	1	4	4	
68	5	3	2	4	1	23	4	
69	1	2	4	13	4	1	7	
70	1	7	2	4	19	4	14	
71	1	1	5	4	1	18	6	
72	7	3	2	4	1	4	21	
73	8	1	1	4	1	21	13	
74	5	3	2	4	1	4	4	
75	1	7	2	4	19	4	10	
76	8	1	2	2	8	4	3	
77	6	1	1	14	1	21	13	
78	5	15	16	4	7	4	10	
79	8	1	8	4	10	9	11	
80	5	15	2	4	15	9	6	
81	6	1	2	4	10	9	11	
82	20	3	2	4	1	4	4	
83	7	3	17	4	1	4	4	
84	1	7	2	4	8	17	14	
85	6	1	2	4	8	4	12	
86	13	1	16	4	15	17	14	
87	8	15	16	4	15	4	6	
88	6	1	8	12	10	9	11	
89	6	1	8	4	10	9	12	
90	13	1	1	4	1	1	1	
91	7	6	16	4	7	4	10	
92	1	16	18	3	20	24	22	
93	20	1	1	1	1	4	1	
94	1	17	4	3	21	1	23	
95	6	1	2	4	1	21	13	
96	5	6	2	4	7	4	11	
97	21	10	19	15	22	25	24	
98	8	1	1	2	1	20	3	
99	8	1	1	1	1	4	1	
100	8	3	2	4	9	4	4	
101	1	1	1	4	1	1	1	
102	5	1	1	1	2	1	1	
103	5	7	2	4	8	17	14	
104	8	1	1	2	2	20	3	
105	1	7	2	7	1	20	6	
106	6	1	2	4	15	4	6	
107	8	7	2	7	1	4	14	
108	6	1	2	4	8	4	10	
109	7	6	2	4	7	4	4	
110	1	2	4	3	3	3	28	
111	1	2	4	3	3	3	29	
112	1	15	13	22	3	3	27	
113	1	16	13	22	3	3	3	
114	1	17	4	23	26	24	29	
115	1	17	4	24	26	24	29	
116	5	1	21	21	9	4	26	
117	5	1	22	4	10	2	11	
118	5	1	22	4	10	28	11	
119	6	6	2	4	7	4	10	
120	7	1	2	4	4	1	7	
121	13	1	23	25	1	21	30	
122	18	15	2	4	15	4	10	
123	18	15	8	4	15	4	6	
124	22	15	2	4	15	4	6	
125	1	17	4	3	28	3	3	
126	1	2	25	26	3	3	33	
127	1	18	4	3	20	24	23	
128	18	15	2	4	15	4	6	
129	1	1	5	4	1	18	14	
130	18	6	2	4	27	4	32	
131	5	1	8	4	10	2	11	
132	7	3	1	27	6	2	5	
133	6	1	8	4	1	9	11	
134	1	4	3	3	3	3	2	
135	1	20	2	7	1	29	10	
