ST	Cfe_aspA	Cfe_glnA	Cfe_gltA	Cfe_glyA	Cfe_pgm	Cfe_tkt	Cfe_uncA	clonal_complex
1	1	1	1	1	1	1	1	
2	1	2	2	2	1	1	2	
3	1	2	2	3	1	2	1	
4	1	2	2	2	1	2	1	
5	1	1	1	2	1	1	3	
6	1	2	2	2	1	2	4	
7	1	2	8	2	1	2	1	
8	1	2	2	2	2	1	2	
9	1	2	2	2	1	3	4	
10	1	2	4	1	3	4	3	
11	1	5	2	2	1	1	1	
12	1	2	9	2	1	2	1	
13	1	2	5	3	1	2	1	
14	2	2	2	3	1	2	1	
15	5	6	6	4	6	6	6	
16	3	3	6	6	4	5	5	
17	4	4	6	5	5	5	5	
18	6	3	6	5	5	5	5	
19	1	7	4	1	1	4	3	
20	1	5	4	2	1	7	9	
21	1	5	4	2	1	7	10	
22	1	1	4	1	1	1	1	
23	1	2	2	2	1	1	3	
24	1	2	2	2	1	2	9	
25	1	5	2	2	1	8	1	
26	10	3	6	8	7	9	5	
27	11	8	6	9	7	10	5	
28	1	2	2	2	1	2	11	
29	1	1	4	3	1	1	1	
30	5	6	6	10	6	6	5	
31	4	3	10	11	5	9	5	
32	1	5	4	2	8	7	9	
33	1	2	2	7	1	2	12	
34	1	1	4	2	1	1	3	
35	1	2	4	1	1	11	3	
36	4	3	6	11	5	5	5	
37	4	3	6	11	6	5	5	
38	4	4	10	6	5	5	5	
39	4	4	6	6	6	5	5	
40	5	4	6	5	6	5	5	
41	4	4	6	6	5	5	5	
42	4	4	10	11	5	5	5	
43	12	9	11	12	9	12	13	
44	13	10	6	6	10	5	5	
45	13	13	10	11	11	5	5	
46	11	8	10	10	10	5	5	
47	4	11	6	9	10	5	5	
48	13	12	10	5	10	5	5	
49	1	14	2	2	1	1	2	
50	1	1	2	2	1	1	3	
51	1	5	2	3	1	2	1	
52	1	5	2	2	1	2	1	
53	1	2	2	2	3	2	1	
54	1	5	2	2	3	2	1	
55	1	2	2	2	3	4	3	
56	1	2	2	2	1	1	1	
57	13	3	10	2	5	5	5	
58	4	3	6	5	5	9	5	
59	14	15	10	10	10	5	5	
60	15	3	6	11	12	5	5	
61	4	10	6	8	5	5	5	
62	16	4	6	11	10	5	5	
63	8	16	6	5	10	5	5	
64	3	3	6	5	5	9	5	
65	13	3	6	6	5	5	5	
66	15	17	10	11	10	5	5	
67	4	3	6	5	5	5	5	
68	1	2	2	13	1	2	4	
69	17	18	11	14	4	13	14	
70	1	2	2	2	1	2	15	
71	1	2	7	2	1	2	1	
72	1	2	12	2	1	14	1	
73	1	2	2	2	1	14	1	
74	11	3	6	5	10	5	5	
75	1	2	13	2	1	2	1	
