ST	adk	atpA	dxr	glyA	recA	sodA	tpi	mlst_clade
1	1	1	1	10	1	3	5	2
2	1	1	2	1	5	3	1	1
3	1	1	2	1	1	1	1	1
4	1	2	2	1	1	5	3	1
5	1	6	4	7	2	8	7	3
6	2	1	6	1	1	5	1	1
7	1	1	7	1	1	5	1	1
8	1	1	2	6	1	5	1	1
9	1	1	6	1	1	6	1	1
10	2	1	2	1	1	3	1	1
11	5	8	5	11	9	11	8	5
12	1	1	6	4	3	5	1	1
13	1	1	6	1	5	3	1	1
14	1	1	2	1	5	5	3	1
15	1	1	6	1	8	5	1	1
16	1	1	2	6	1	3	1	1
17	1	1	2	1	1	5	3	1
18	1	1	2	5	1	3	1	1
19	1	1	8	2	1	1	3	1
20	1	1	8	1	1	4	3	1
21	2	2	2	1	1	1	3	1
22	1	1	4	7	2	8	7	3
23	3	7	14	14	11	16	15	4
24	1	1	8	12	1	4	3	1
25	6	6	4	7	2	8	7	3
26	1	1	6	1	4	3	4	1
27	1	1	6	1	1	3	4	1
28	1	1	2	1	1	3	1	1
29	1	1	2	16	1	3	1	1
30	8	7	14	8	6	16	15	4
31	1	5	7	6	1	1	1	1
32	1	1	11	1	1	3	2	2
33	1	1	2	1	6	5	3	1
34	1	5	7	1	1	3	1	1
35	2	5	8	1	1	3	6	1
36	2	1	2	3	1	5	1	1
37	3	7	3	8	6	9	11	4
38	3	7	10	8	6	2	9	4
39	3	7	10	8	7	2	10	4
40	4	5	6	1	3	1	1	1
41	1	1	9	9	1	3	2	2
42	1	1	2	1	1	7	1	1
43	1	7	6	1	1	5	6	1
44	2	5	2	1	1	3	1	1
45	4	1	6	1	1	5	1	1
46	4	1	6	1	1	10	1	1
47	1	1	11	17	1	3	2	2
48	1	1	2	1	1	5	1	1
49	1	1	2	1	5	3	3	1
50	1	1	6	1	5	3	17	1
51	1	1	2	6	1	7	6	1
52	1	1	2	6	1	12	1	1
53	1	2	2	1	1	5	1	1
54	1	4	7	1	1	3	3	1
55	1	1	6	6	1	12	12	1
56	1	3	6	3	1	5	1	1
57	1	1	6	4	3	5	13	1
58	1	5	7	1	1	13	1	1
59	1	3	6	15	1	17	1	1
60	1	3	15	15	1	3	1	1
61	1	5	11	1	1	3	2	2
62	1	1	1	9	1	3	1	2
63	1	1	7	5	1	3	3	1
64	1	1	6	1	1	13	1	1
65	1	1	7	3	1	5	6	1
66	1	1	2	6	1	5	3	1
67	1	1	9	9	1	3	5	2
68	1	4	2	1	5	3	1	1
69	1	1	7	1	1	1	1	1
70	1	3	6	3	1	14	1	1
71	4	1	6	1	1	15	1	1
72	2	1	6	13	1	5	1	1
73	1	2	12	1	1	5	1	1
74	1	1	13	1	3	1	14	1
75	7	3	13	1	10	1	1	1
76	1	1	6	1	1	1	1	1
77	2	1	6	1	3	5	1	1
78	4	1	6	1	1	1	1	1
79	1	3	2	1	1	1	16	1
80	1	1	13	1	3	1	3	1
81	3	1	3	8	6	9	11	4
82	1	1	6	1	1	1	3	1
83	1	1	6	1	1	3	1	1
84	1	9	2	1	1	1	1	1
85	1	10	7	1	1	3	3	1
86	3	7	3	8	6	19	11	4
87	3	7	3	8	6	20	10	4
88	9	7	3	8	6	18	10	4
89	2	1	6	1	1	21	1	1
90	2	1	16	1	1	5	1	1
91	1	1	6	6	1	6	1	1
92	1	1	2	3	1	5	1	1
93	3	7	3	8	11	20	10	4
94	2	1	6	1	1	10	1	1
95	1	5	11	17	1	3	1	2
96	1	6	4	7	12	8	7	3
97	1	1	11	1	1	22	1	2
98	1	1	2	6	1	1	3	1
99	1	11	6	6	1	12	12	1
100	1	1	6	19	2	24	1	1
101	1	2	2	1	1	23	1	1
102	1	1	2	1	5	5	1	1
103	1	1	2	15	8	5	3	1
104	1	1	13	1	1	1	6	1
105	2	2	4	1	1	1	3	1
106	2	1	2	10	1	5	1	1
107	4	1	6	1	3	1	1	1
108	1	1	6	1	8	5	5	1
109	3	12	10	18	6	18	15	4
110	1	1	2	1	13	3	1	1
111	1	1	2	1	1	3	3	1
112	1	1	7	3	1	5	3	1
113	2	1	17	1	1	5	1	1
114	1	1	9	9	1	1	18	2
115	1	1	2	6	1	7	3	1
116	1	1	9	9	1	22	5	2
117	1	1	7	1	2	5	1	1
118	1	13	2	1	1	1	19	1
119	1	1	2	20	1	5	1	1
120	1	1	1	1	5	3	1	2
121	3	7	3	8	7	2	10	4
122	1	1	4	1	1	1	10	
123	1	14	9	1	1	3	2	2
124	11	7	14	14	6	20	9	4
125	4	1	6	1	4	26	1	1
126	1	3	6	1	1	3	3	1
127	11	7	10	8	6	20	15	4
128	1	1	9	21	1	27	2	2
129	1	3	6	1	1	1	3	1
130	1	1	18	9	1	22	2	2
131	2	1	6	8	1	5	1	1
132	5	1	6	1	5	3	1	1
133	1	1	7	1	1	3	3	1
134	1	3	2	15	1	3	3	1
135	1	1	2	8	1	7	1	1
136	2	1	6	16	1	5	13	1
137	1	1	2	3	1	3	1	1
138	2	1	2	16	1	5	1	1
139	2	1	2	1	1	1	3	1
140	1	1	9	9	1	1	2	2
141	1	3	7	1	3	1	6	1
142	8	7	14	8	6	25	15	4
143	1	11	6	16	1	1	1	1
