ST	FKS	LEU2	NMT1	TRP1	UGP1	URA3
1	7	1	1	6	4	4
2	1	2	2	1	1	1
3	5	7	8	7	3	6
4	7	3	9	8	1	5
6	2	5	7	5	1	2
7	3	4	4	3	3	4
8	1	2	2	1	2	1
10	8	4	3	5	1	2
11	4	2	2	1	2	1
12	1	2	2	1	1	4
13	6	6	5	2	3	1
14	11	5	7	5	1	2
15	8	5	3	5	1	1
16	7	7	11	10	5	9
17	8	5	13	9	3	1
18	7	4	3	4	1	3
19	6	6	5	2	3	4
20	10	5	12	11	3	7
21	9	8	10	4	3	2
22	7	5	6	12	1	8
23	14	9	14	14	6	10
24	9	9	10	4	3	2
25	12	4	16	5	1	8
26	7	4	3	4	1	8
27	8	5	15	9	3	1
28	13	9	17	13	1	11
29	8	4	3	5	1	12
30	3	4	4	3	3	13
31	15	9	19	2	3	4
32	16	9	18	16	7	16
33	5	7	20	7	3	6
34	14	6	9	15	8	14
35	7	7	11	10	5	15
36	10	5	12	11	3	2
37	5	7	21	7	3	6
38	17	7	11	10	5	9
39	18	5	13	9	3	1
40	8	4	23	5	1	2
41	3	4	24	3	3	4
42	5	7	25	7	3	6
43	10	5	19	19	1	17
44	9	9	19	2	3	4
45	7	9	26	17	9	2
46	20	13	22	9	3	2
47	21	9	14	18	6	1
48	9	8	31	4	3	2
49	6	6	29	2	3	4
50	6	10	27	2	3	4
51	23	11	28	20	3	9
52	22	7	11	10	5	9
53	19	2	30	5	10	11
54	2	9	2	8	3	18
55	3	6	22	2	3	9
56	3	12	22	2	3	4
57	25	4	3	5	1	2
58	24	2	33	5	13	2
59	7	13	17	9	3	19
60	7	18	11	10	5	9
61	5	14	12	11	3	2
62	1	15	2	1	8	1
63	5	17	8	7	3	6
64	6	16	34	23	7	5
65	6	6	32	2	3	4
66	3	4	4	22	3	4
67	8	5	13	21	3	1
68	5	7	8	7	11	6
69	1	2	2	1	12	1
70	5	7	8	7	3	20
71	7	13	17	4	3	19
72	5	7	17	7	3	6
73	7	13	8	9	3	19
74	51	7	50	50	50	9
75	50	16	9	4	13	50
76	19	50	1	51	51	51
77	52	7	50	4	50	9
78	50	7	9	4	13	50
79	52	7	50	50	50	9
