ST	HIS3	LEU2	NMT1	TRP1	ADE2	LYS2D	clonal_complex
1	1	1	1	1	1	1	
2	2	2	2	2	2	2	
3	1	3	1	1	1	1	
4	3	4	3	3	3	1	
5	4	5	1	4	4	3	
6	4	6	4	5	5	4	
7	4	2	4	5	5	5	
8	5	3	5	6	5	2	
9	1	7	4	3	6	6	
10	4	3	1	1	1	7	
11	2	2	3	5	2	1	
12	5	3	6	6	5	8	
13	1	8	7	5	5	4	
14	6	3	4	7	7	7	
15	4	9	8	8	8	9	
16	1	2	3	9	2	10	
17	5	3	5	6	5	11	
18	5	10	5	6	5	11	
19	1	2	3	5	5	10	
20	7	3	5	6	4	8	
21	1	10	1	10	1	1	
22	8	11	2	11	9	2	
23	4	9	8	8	2	8	
24	1	2	3	5	5	7	
25	4	2	6	5	5	4	
26	1	3	1	12	1	2	
27	2	1	9	13	4	2	
28	4	3	1	1	1	2	
29	1	1	10	14	10	10	
30	1	3	1	1	1	10	
31	4	1	4	5	5	4	
32	4	1	6	5	5	4	
33	1	3	1	1	1	7	
34	4	3	11	5	11	7	
35	1	5	1	4	4	3	
36	4	7	12	3	6	4	
37	4	1	13	4	4	2	
38	1	1	13	4	4	2	
39	4	3	11	15	12	2	
40	4	10	1	1	1	10	
41	1	10	1	1	1	10	
42	3	7	2	11	9	2	
43	9	4	1	9	13	2	
44	1	9	8	5	6	4	
45	1	3	1	1	1	12	
46	4	2	3	5	5	10	
47	1	3	1	12	1	7	
48	1	12	3	16	2	13	
49	10	5	14	17	14	7	
50	1	1	3	5	5	10	
51	11	1	1	11	15	2	
52	1	1	15	8	6	9	
53	1	13	11	16	6	4	
54	4	1	4	4	6	14	
55	1	3	1	1	1	2	
56	4	2	4	5	5	2	
57	4	1	8	8	2	15	
58	4	2	4	5	4	4	
59	4	1	1	12	16	2	
60	2	3	16	1	17	1	
61	4	3	16	1	16	10	
62	4	5	17	18	5	16	
63	4	2	4	5	5	4	
64	2	1	11	3	2	10	
65	12	14	4	5	12	17	
66	11	1	1	4	4	2	
67	4	9	8	8	2	9	
68	5	15	11	5	5	10	
69	1	1	3	5	5	7	
70	1	1	18	11	2	17	
71	4	1	8	8	2	9	
72	5	3	5	19	5	8	
73	13	1	1	20	5	2	
74	1	10	2	1	1	10	
75	1	10	19	1	1	10	
76	4	10	2	1	1	10	
77	14	1	1	4	5	4	
78	2	6	3	4	4	18	
79	4	4	1	9	2	19	
80	1	7	1	3	6	4	
81	1	16	20	4	6	2	
82	4	2	1	4	5	2	
83	2	10	1	1	1	10	
84	1	1	1	1	7	2	
85	4	2	17	5	5	2	
86	2	3	1	1	18	10	
87	10	5	8	17	19	10	
88	1	3	21	21	20	10	
89	4	1	2	11	4	2	
90	4	17	22	4	4	7	
91	4	9	8	22	2	7	
92	1	2	11	2	21	2	
93	4	1	17	5	5	4	
94	4	2	4	5	5	6	
95	1	1	23	3	5	7	
96	4	5	3	4	5	20	
97	1	2	3	23	2	10	
98	1	2	24	5	5	10	
99	1	1	11	24	5	10	
100	2	1	2	25	22	14	
101	4	5	2	25	22	10	
102	2	1	13	26	22	14	
103	1	5	2	25	22	4	
104	1	18	11	1	6	10	
105	1	12	3	10	2	13	
106	1	1	1	4	4	2	
107	1	1	1	4	9	2	
108	2	5	1	4	4	2	
109	4	1	1	4	15	2	
110	1	5	2	4	5	20	
111	2	1	22	9	4	2	
112	1	1	22	11	4	20	
113	1	7	1	10	17	10	
114	4	7	1	20	16	10	
115	1	7	1	10	1	10	
116	4	2	17	4	5	2	
117	1	17	11	20	9	2	
118	4	9	6	22	2	8	
119	4	2	17	5	2	4	
120	4	1	8	16	6	9	
121	15	1	25	27	4	10	
122	16	1	11	28	4	10	
123	4	1	26	5	5	4	
124	1	17	27	4	23	2	
125	1	5	27	4	23	2	
126	1	5	27	4	22	2	
127	2	17	28	4	4	8	
128	11	5	22	20	24	2	
129	17	1	29	29	22	10	
130	17	1	29	29	25	10	
131	18	19	2	4	26	2	
132	2	1	2	20	22	4	
133	2	1	2	20	23	4	
134	2	1	30	4	4	2	
135	2	17	2	20	23	2	
136	19	1	2	4	22	2	
137	20	1	28	4	22	21	
138	4	1	16	4	22	2	
139	4	20	31	2	2	2	
