ST	Cln_aspA	Cln_atpA	Cln_glnA	Cln_gltA	Cln_glyA	Cln_pgm	Cln_tkt	clonal_complex
1	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	
3	3	3	3	3	3	3	3	
4	4	4	4	4	4	4	4	
5	5	5	5	2	5	5	5	
6	5	5	6	5	6	5	5	
7	5	6	7	6	6	5	6	
8	6	6	5	2	7	6	5	
9	7	5	8	7	5	7	5	
10	7	7	6	7	5	6	5	
11	7	7	5	2	5	8	5	
12	7	7	5	7	5	8	5	
13	7	7	5	6	8	9	6	
14	8	7	9	6	8	9	6	
15	9	8	9	7	9	8	7	
16	10	6	10	7	10	5	8	
17	11	6	1	7	11	10	8	
18	5	6	1	7	11	11	8	
19	12	6	7	2	6	12	8	
20	13	7	11	7	11	13	9	
21	14	6	6	8	6	6	5	
22	9	7	5	9	6	13	5	
23	15	5	5	10	10	13	5	
24	13	7	12	2	12	14	10	
25	16	9	13	11	13	15	11	
26	15	5	12	2	10	16	12	
27	17	5	5	2	14	17	5	
28	5	5	7	6	14	11	5	
29	17	10	14	2	15	17	13	
30	17	10	14	2	15	17	14	
31	9	11	12	7	6	18	10	
32	5	10	6	12	5	19	15	
33	9	5	5	2	5	12	5	
34	5	12	7	13	11	20	8	
35	15	10	12	2	16	21	5	
36	15	13	15	8	17	13	16	
37	18	6	12	10	6	17	14	
38	5	7	1	13	6	13	8	
39	19	10	14	8	6	17	18	
40	14	12	6	15	6	17	19	
41	11	7	6	13	6	13	20	
42	5	10	1	8	19	13	20	
43	13	5	5	2	6	17	5	
44	17	15	5	12	12	8	13	
45	9	5	8	7	5	8	5	
46	20	16	1	13	20	10	21	
47	5	5	10	16	6	22	5	
48	5	5	5	8	6	23	6	
49	17	5	7	2	5	24	5	
50	21	7	17	2	21	25	22	
51	15	10	5	10	22	6	23	
52	11	17	12	2	12	13	8	
53	13	7	11	7	23	13	9	
54	11	16	12	7	11	13	8	
55	22	10	12	10	10	26	24	
56	11	16	12	7	11	27	8	
57	13	7	18	7	11	13	9	
58	13	10	12	15	6	13	5	
59	23	10	14	10	15	21	24	
60	21	6	6	8	5	6	5	
61	17	5	5	12	6	28	5	
62	9	10	19	6	24	29	5	
63	3	3	3	3	3	3	37	
64	25	7	11	10	11	13	9	
65	15	10	14	10	26	30	25	
66	26	18	5	10	14	31	5	
67	3	3	3	3	3	3	49	
68	3	34	38	34	41	42	45	
69	15	10	19	15	6	32	5	
70	15	6	6	2	12	13	28	
71	13	13	15	8	7	33	16	
72	4	3	31	4	74	4	58	
