ST	Cla_adk	Cla_atpA	Cla_glnA	Cla_glyA	Cla_pgi	Cla_pgm	Cla_tkt	clonal_complex
1	1	1	1	1	1	1	1	
2	2	2	1	1	2	1	2	ST-2
3	2	2	1	2	1	2	3	
4	3	3	2	2	3	3	4	
5	4	4	2	1	2	4	5	
6	5	2	1	2	2	1	2	ST-2
7	6	5	3	1	3	5	6	
8	7	1	1	1	1	3	2	
9	8	6	1	1	4	1	2	
10	9	7	4	3	5	6	7	
11	10	8	5	4	6	7	8	
12	11	9	6	5	7	8	9	
13	12	10	7	6	8	9	10	
14	13	11	8	7	9	10	9	
15	14	12	9	8	10	11	11	
16	52	57	2	2	56	52	31	
17	52	57	2	50	56	51	31	
18	53	58	1	2	57	52	32	
19	52	60	53	10	63	53	34	
20	5	2	1	51	4	1	2	
21	5	2	1	1	4	1	2	
22	57	3	1	1	3	3	2	
23	2	2	1	2	3	3	33	
24	5	2	1	52	2	1	2	
25	8	6	1	2	4	1	36	
26	5	65	1	1	1	1	37	
27	4	4	1	1	1	55	33	
28	2	4	1	1	1	1	33	
29	58	69	55	55	65	56	39	
30	60	68	56	56	67	58	41	
31	59	66	19	16	64	59	40	
32	61	67	54	54	66	57	38	
33	8	57	1	1	1	1	36	
34	57	57	2	2	1	52	32	
35	4	4	1	1	1	55	6	
36	10	6	1	1	4	2	1	
37	6	70	1	1	69	1	6	
38	4	76	57	1	4	3	45	
39	4	76	57	1	4	3	44	
40	4	76	57	1	70	3	45	
41	5	77	2	2	3	32	33	
42	1	57	1	1	4	32	46	
43	5	77	2	2	3	63	33	
44	2	2	2	1	1	63	2	
45	57	77	60	2	56	32	43	
46	5	77	58	2	3	66	2	
47	5	76	59	1	4	60	47	
48	66	76	59	1	4	60	45	
49	65	57	60	1	76	63	32	
50	7	1	1	53	58	62	2	
51	66	76	59	1	4	60	44	
52	57	73	2	2	2	63	33	
53	65	57	1	2	68	52	52	
54	35	74	62	26	73	38	49	
55	5	77	2	1	58	63	2	
56	62	57	63	1	58	70	33	
57	4	76	2	1	4	3	33	
58	5	57	2	2	3	63	32	
59	62	71	60	2	57	52	42	
60	5	57	2	2	3	65	51	
61	1	2	2	2	4	52	44	
62	64	75	42	58	74	69	50	
63	57	57	1	2	75	61	32	
64	10	26	1	1	71	64	48	
65	2	6	1	1	1	1	44	
66	1	6	1	16	52	68	1	
