ST	CAP59	GPD1	IGS1	LAC1	PLB1	SOD1	URA5
1	7	1	1	1	1	1	1
2	7	1	1	1	1	1	2
3	1	1	1	3	4	1	1
4	1	1	1	4	2	1	5
5	1	3	1	5	2	1	1
6	1	1	1	3	2	1	5
7	9	11	2	6	10	7	6
8	4	11	9	6	7	1	12
9	4	11	7	6	4	1	3
10	9	11	2	6	4	1	3
11	5	11	7	6	6	7	10
12	3	12	2	6	6	6	8
13	1	5	1	1	4	1	1
14	6	8	13	6	9	8	8
15	1	2	6	3	2	1	1
16	4	11	2	6	4	7	3
17	5	11	16	6	6	5	3
18	4	11	2	6	6	6	3
19	11	11	2	6	6	7	6
20	6	8	13	6	8	8	7
21	7	5	1	1	3	4	9
22	1	6	1	1	4	1	1
23	7	1	1	2	1	1	2
24	7	5	1	1	5	2	9
25	1	3	1	5	4	1	1
26	5	4	8	3	10	10	1
27	12	8	17	6	9	9	8
28	5	11	7	6	6	1	10
29	6	13	12	6	9	8	13
30	2	1	10	3	2	1	5
31	1	1	10	3	2	1	1
32	1	1	10	3	4	1	1
33	4	8	2	7	9	9	7
34	1	5	18	1	4	1	1
35	5	11	2	6	4	1	6
36	1	7	3	1	4	1	9
37	1	1	1	1	1	1	2
38	1	1	10	3	1	1	1
39	1	1	11	3	4	1	1
40	2	9	14	8	11	12	4
41	10	9	14	8	11	12	4
42	8	10	15	8	12	3	11
43	2	9	14	8	11	11	4
44	1	1	19	3	2	13	5
45	1	1	19	4	2	13	5
46	1	3	19	5	2	13	1
47	1	1	20	3	4	13	1
48	2	10	21	6	11	14	4
49	1	1	19	4	2	13	14
50	1	1	19	3	4	13	5
51	1	1	19	5	2	13	1
52	1	1	19	9	2	13	5
53	1	3	19	10	2	13	1
