ST	atpA	dnaE	dnaK	fusA	leuA	odhA	rpoB	clonal_complex
1	1	1	1	1	1	1	1	
2	2	2	2	1	2	2	2	
3	3	3	3	2	3	3	3	
4	3	2	4	3	4	4	4	
5	2	4	4	1	3	3	5	
6	4	2	5	2	3	3	5	
7	2	5	6	4	5	5	2	
8	3	5	6	5	3	3	6	
9	2	4	4	1	3	3	7	
10	5	2	7	1	3	5	8	
11	3	4	3	1	4	3	2	
12	1	5	6	5	3	3	6	
13	6	4	8	1	7	3	9	
14	3	2	9	7	8	3	2	
15	7	7	10	8	9	6	10	
16	5	8	11	9	3	3	5	
17	5	8	12	10	10	6	4	
18	8	6	7	6	6	3	8	
19	2	6	7	6	6	3	8	
20	8	3	3	2	7	3	3	
21	9	4	13	11	3	3	9	
22	2	2	14	4	11	3	4	
23	6	7	10	12	16	7	11	
24	2	4	15	6	7	8	9	
25	5	6	7	6	6	3	8	
26	8	2	16	1	3	3	12	
27	2	4	17	4	7	5	4	
28	2	9	3	13	3	3	3	
29	10	8	16	14	10	3	5	
30	10	8	16	14	10	3	9	
31	3	2	4	15	4	4	4	
32	3	1	18	4	13	3	5	
33	11	1	20	16	3	9	14	
34	12	7	10	17	9	7	10	
35	6	7	21	12	15	7	11	
36	3	7	18	4	13	3	5	
37	6	7	10	18	9	13	2	
38	2	10	29	1	12	10	13	
39	13	1	8	4	14	11	2	
40	8	3	19	2	7	3	3	
41	2	9	22	13	3	3	3	
42	6	7	10	8	9	12	10	
43	15	1	18	4	13	3	5	
44	14	2	23	4	2	14	2	
45	2	10	24	1	3	15	2	
46	16	4	8	1	7	16	9	
47	2	11	9	19	17	17	9	
48	4	4	25	6	3	5	9	
49	2	6	7	1	3	5	8	
50	2	2	4	1	3	3	2	
51	6	7	10	8	9	19	10	
52	3	5	6	5	3	10	6	
53	2	10	24	1	3	3	2	
54	6	7	10	22	9	12	10	
55	2	13	28	4	4	4	4	
56	19	12	11	9	18	18	2	
57	17	10	30	23	20	3	16	
58	3	1	26	4	13	3	5	
59	18	1	27	21	20	5	16	
60	2	5	3	1	3	3	9	
61	3	4	8	1	7	3	4	
62	4	1	18	4	3	16	2	
63	5	6	7	1	3	5	8	
64	2	10	17	13	3	2	4	
65	6	7	10	12	9	12	15	
66	3	5	6	5	11	3	6	
67	3	2	3	6	3	3	2	
68	3	4	3	4	4	3	4	
69	6	7	21	17	9	7	11	
70	3	1	18	4	20	3	5	
71	21	7	21	12	21	12	11	
72	2	8	4	1	3	4	2	
73	2	8	9	27	18	3	18	
74	20	14	31	26	22	21	17	
75	22	3	4	2	3	3	5	
76	2	9	1	1	13	3	2	
77	2	4	4	6	3	3	5	
78	2	1	5	1	3	3	5	
79	6	7	10	8	23	12	11	
80	2	1	32	19	13	3	6	
81	6	7	10	12	9	7	10	
82	2	1	33	28	11	2	2	
83	2	1	20	16	3	3	5	
84	23	1	18	4	13	3	5	
85	2	7	10	12	9	7	11	
86	3	2	35	1	18	3	2	
87	2	1	38	29	3	3	2	
88	3	1	5	2	3	23	2	
89	1	16	32	1	26	1	4	
90	25	1	35	19	13	3	6	
91	2	1	6	29	3	3	2	
92	6	7	10	8	9	13	10	
93	6	1	10	12	16	3	11	
94	26	7	10	8	9	12	10	
95	3	8	8	30	3	4	19	
96	2	1	39	19	13	24	13	
97	2	1	4	1	3	3	5	
98	4	1	40	4	3	3	4	
99	27	2	41	13	3	25	14	
100	2	2	42	31	11	3	4	
101	4	1	2	19	25	16	18	
102	28	1	20	19	3	16	20	
103	2	15	4	1	3	3	5	
104	6	7	21	32	9	12	11	
105	24	1	34	19	3	22	9	
106	6	7	10	12	9	12	10	
107	6	17	10	12	9	7	11	
108	6	7	21	18	9	12	10	
109	22	9	43	7	3	3	2	
110	4	3	3	2	27	3	3	
111	3	1	3	4	13	3	5	
112	2	4	6	1	3	3	5	
113	2	4	24	1	3	3	5	
114	2	2	4	19	3	3	9	
115	3	1	18	4	13	3	2	
116	22	18	6	1	3	1	4	
117	3	4	4	1	3	3	5	
118	29	19	25	1	28	6	2	
119	4	20	44	33	29	1	21	
120	4	21	29	1	3	3	3	
121	19	9	4	2	3	3	2	
122	4	1	8	1	11	3	6	
123	2	1	45	1	5	3	9	
124	30	4	35	25	11	3	6	
125	19	4	8	1	3	3	13	
126	19	9	46	19	3	26	22	
127	4	21	2	1	3	3	3	
128	2	1	47	19	13	3	6	
129	31	4	48	1	7	1	9	
130	2	10	9	1	3	27	2	
131	2	9	4	1	30	28	2	
132	2	3	3	19	13	3	6	
133	32	22	45	5	18	3	6	
134	4	11	4	19	3	29	9	
135	30	4	28	25	3	3	6	
136	3	2	4	1	3	3	13	
137	25	1	35	19	31	3	6	
138	2	9	1	1	13	5	8	
139	1	23	25	34	20	3	23	
140	33	15	4	1	3	3	2	
141	3	4	3	6	3	3	3	
142	34	10	29	1	12	2	13	
143	2	10	29	1	12	2	13	
144	6	7	10	12	9	13	11	
145	32	1	45	5	11	3	6	
146	3	1	16	4	13	3	5	
147	2	1	33	28	11	2	3	
148	4	1	49	5	11	3	6	
149	3	2	13	35	3	2	4	
150	3	2	5	1	27	5	9	
151	16	4	8	1	2	30	9	
152	3	2	1	1	13	3	2	
153	1	3	3	36	32	3	2	
154	3	2	3	1	33	16	18	
155	4	2	2	1	2	2	2	
156	2	5	6	19	5	3	20	
157	2	10	24	1	3	31	2	
158	16	4	8	1	3	30	9	
159	3	2	3	2	3	3	2	
160	6	7	10	8	9	7	10	
161	16	8	50	1	2	30	9	
162	6	7	51	12	9	12	15	
163	6	7	10	12	9	12	11	
164	6	7	52	12	9	12	15	
165	36	10	3	1	7	3	22	
166	6	24	21	37	9	12	11	
167	6	7	10	18	9	12	10	
168	6	7	21	8	9	12	10	
169	6	7	10	12	9	7	11	
170	6	7	10	18	9	13	10	
171	2	2	36	19	3	3	6	
172	3	2	2	4	3	32	6	
173	3	4	8	1	7	2	9	
174	3	2	13	38	14	33	4	
175	2	1	37	19	24	3	4	
176	2	4	17	4	7	5	2	
177	6	7	10	8	34	13	10	
178	6	7	21	8	9	7	10	
179	6	7	10	8	9	34	10	
180	6	7	10	8	35	12	11	
181	37	25	53	39	36	35	17	
182	2	12	54	1	3	3	24	
183	1	2	9	7	8	3	2	
184	2	26	55	29	3	3	2	
185	3	5	6	40	3	3	6	
186	2	1	6	19	5	16	9	
187	6	7	10	12	16	12	11	
188	22	1	6	4	3	16	9	
189	16	4	8	1	2	30	13	
190	2	4	38	1	3	3	2	
191	6	7	10	12	9	13	10	
192	35	10	33	19	13	3	6	
193	6	7	8	37	9	7	15	
194	13	1	21	37	14	11	2	
195	3	1	49	19	3	16	25	
196	2	27	4	1	5	3	20	
197	2	10	56	41	37	3	5	
198	4	2	38	1	2	2	2	
199	6	7	10	12	9	7	26	
200	16	4	57	1	2	30	9	
201	2	1	2	4	14	2	9	
202	2	4	58	1	3	3	5	
203	2	28	42	1	6	3	8	
204	2	1	59	19	14	3	16	
205	2	4	4	29	3	16	2	
206	19	10	61	4	5	5	2	
207	6	10	10	8	5	12	10	
208	6	7	62	37	9	12	10	
209	3	3	4	2	3	3	3	
210	6	7	10	8	3	12	10	
211	6	7	10	43	9	12	10	
212	3	1	13	16	38	2	9	
213	4	11	60	42	3	3	27	
214	6	7	10	37	35	7	10	
215	6	7	10	37	16	7	10	
216	6	7	21	37	9	12	10	
217	30	23	63	25	3	3	28	
218	19	20	64	2	3	16	6	
219	5	6	7	6	6	36	8	
220	6	7	65	12	9	12	10	
221	6	7	21	8	9	13	10	
222	2	1	28	4	39	4	9	
223	2	10	17	13	40	2	4	
224	3	2	13	1	3	3	4	
225	2	4	3	1	7	37	4	
226	6	7	10	37	9	12	10	
227	13	29	66	44	1	1	6	
228	2	10	56	45	11	3	3	
229	2	2	13	3	41	16	4	
230	6	7	10	8	9	38	10	
231	1	2	9	7	8	3	6	
232	19	1	20	1	18	3	13	
233	2	1	2	1	7	3	9	
234	6	30	10	8	9	12	10	
235	3	4	67	29	3	16	2	
236	2	1	56	19	3	17	2	
237	2	1	9	29	3	3	2	
238	2	9	6	29	3	3	2	
239	11	1	20	16	3	3	14	
240	32	1	45	45	11	3	3	
241	2	9	9	29	3	3	2	
242	6	7	68	37	9	12	10	
243	2	4	8	19	7	3	9	
244	2	1	20	19	42	16	13	
245	2	1	35	1	13	3	9	
246	2	1	45	46	5	16	9	
247	3	10	69	19	13	3	2	
248	19	3	8	1	3	3	13	
249	2	3	3	2	18	3	3	
250	32	1	70	19	3	3	18	
251	3	2	4	30	3	3	2	
252	3	4	11	29	3	3	2	
253	8	3	3	2	1	39	29	
254	2	1	71	46	5	16	9	
255	3	3	4	47	3	3	3	
256	1	1	72	4	13	3	30	
257	2	1	35	19	13	24	13	
258	2	4	8	1	7	3	9	
259	3	1	12	1	42	16	31	
260	3	10	6	4	13	3	2	
261	13	4	8	44	3	23	13	
262	3	8	28	16	3	23	2	
263	4	10	3	1	3	23	27	
264	2	4	8	19	3	23	9	
265	30	23	63	25	3	23	28	
266	2	12	4	1	41	23	2	
267	3	2	3	6	41	8	2	
268	22	2	4	29	3	40	2	
269	28	2	38	19	13	3	6	
270	6	7	10	18	16	18	10	
271	37	8	69	30	9	23	19	
272	37	8	69	4	5	23	2	
273	37	8	69	7	9	23	32	
274	3	2	73	4	43	22	2	
275	2	1	72	16	43	23	5	
276	3	1	72	4	43	23	5	
277	2	4	72	1	43	23	5	
278	11	1	53	4	43	23	24	
279	3	1	72	4	43	37	32	
280	3	1	72	4	43	40	32	
281	3	1	72	4	43	23	32	
282	3	1	72	4	43	40	5	
283	2	10	72	4	43	23	2	
284	2	4	72	1	19	40	5	
285	20	30	72	42	29	35	17	
286	20	19	11	42	41	35	17	
287	20	19	11	47	43	37	7	
288	20	6	11	47	43	37	17	
289	20	25	11	11	43	37	17	
290	6	7	10	12	35	13	10	
291	6	7	10	17	9	7	10	
292	2	12	4	1	3	3	2	
293	19	1	64	2	3	16	6	
294	6	7	10	8	9	12	11	
295	2	1	20	19	3	3	14	
296	3	1	6	1	5	3	9	
297	2	12	54	13	3	3	4	
298	2	1	20	6	3	3	6	
299	19	4	4	2	3	3	4	
300	2	2	60	7	8	3	2	
301	2	10	3	1	7	3	2	
302	2	2	9	25	3	3	2	
303	4	1	4	19	3	16	2	
304	2	3	38	1	30	3	13	
305	4	12	4	1	14	3	2	
306	3	11	9	1	3	4	19	
307	11	1	4	19	3	16	13	
308	4	12	4	1	18	3	13	
309	4	12	22	4	14	3	2	
310	3	8	9	1	3	40	2	
311	2	31	4	1	3	3	2	
312	2	1	74	28	13	2	22	
313	40	9	75	1	44	28	2	
314	6	7	21	17	35	7	33	
315	2	12	4	1	3	3	34	
316	3	2	17	48	13	4	35	
317	2	1	76	19	13	24	13	
318	8	2	7	1	3	41	2	
319	38	1	77	4	5	3	9	
320	3	1	9	5	3	4	36	
321	39	2	54	30	3	3	3	
322	30	23	63	25	3	3	37	
323	19	32	9	1	44	2	2	
324	2	2	60	19	3	42	38	
325	41	34	79	49	45	43	39	
326	41	33	78	49	45	43	40	
327	41	34	79	49	46	43	39	
328	41	34	80	49	45	43	40	
329	41	35	80	49	47	44	39	
330	42	34	78	49	48	43	40	
331	42	33	78	49	45	43	40	
332	42	33	78	49	48	43	40	
333	42	36	79	49	49	45	39	
334	43	37	81	50	50	46	41	
335	44	38	82	51	51	43	42	
336	22	1	83	2	3	3	2	
337	41	34	79	49	45	47	39	
338	42	39	79	49	48	43	39	
339	41	35	79	49	52	48	39	
340	3	1	13	16	3	2	9	
341	44	38	82	52	51	49	42	
342	41	34	79	49	45	43	42	
343	44	38	79	49	45	49	39	
344	43	38	82	51	53	43	42	
345	41	40	84	49	54	50	39	
346	41	38	82	51	51	43	42	
347	42	34	80	49	45	43	40	
348	44	33	78	49	48	43	40	
349	42	41	79	49	49	45	39	
350	37	8	69	2	3	23	2	
351	2	12	4	1	3	3	5	
352	28	12	6	19	3	51	6	
353	6	7	10	37	9	12	11	
354	6	7	10	18	16	12	11	
355	2	1	61	19	3	16	2	
356	11	1	85	2	3	3	2	
357	45	33	82	49	48	43	40	
358	45	33	82	49	48	43	39	
359	6	7	10	37	35	13	10	
360	6	7	10	12	16	7	10	
361	4	1	20	19	13	16	9	
362	2	23	32	1	55	5	43	
363	3	1	20	48	3	16	44	
364	41	34	80	49	48	43	39	
365	6	7	10	18	56	12	11	
366	13	2	44	41	29	1	21	
367	28	2	60	30	3	3	3	
368	2	12	54	1	3	3	18	
369	2	2	9	7	8	3	2	
370	6	7	10	8	16	12	11	
371	6	7	10	8	9	7	11	
372	6	7	10	12	16	12	10	
373	3	2	35	1	48	3	2	
374	24	15	86	19	11	3	18	
375	46	10	60	7	3	3	2	
376	47	42	80	49	57	47	19	
377	2	43	87	4	59	3	6	
378	3	8	4	7	3	4	3	
379	1	1	88	1	29	52	4	
380	48	44	88	1	60	1	6	
381	49	4	9	53	3	5	13	
382	50	2	89	6	3	3	2	
383	2	2	90	4	18	53	45	
384	3	1	20	2	13	54	2	
385	45	33	78	55	58	48	39	
386	2	26	4	4	45	3	2	
387	3	3	92	2	3	3	3	
388	2	2	4	1	3	3	46	
389	3	2	4	1	3	3	2	
390	4	10	20	1	3	16	6	
391	3	1	20	4	14	16	9	
392	3	46	3	3	20	3	2	
393	8	3	5	2	1	4	4	
394	6	7	21	37	9	7	10	
395	4	1	20	4	3	16	2	
396	3	2	13	6	3	3	2	
397	13	1	9	1	18	3	47	
398	30	1	93	25	3	3	6	
399	22	9	94	7	3	3	2	
400	38	47	4	19	13	3	48	
401	2	4	3	1	7	55	4	
402	5	4	4	2	3	3	2	
403	19	1	9	56	3	3	13	
404	26	7	10	8	9	12	11	
405	4	12	4	1	18	3	2	
406	2	3	3	2	7	3	3	
407	3	5	3	6	30	3	2	
408	8	2	3	1	18	3	13	
409	6	7	21	12	9	12	11	
410	3	1	38	4	3	3	2	
411	2	2	92	13	8	3	5	
412	2	1	20	19	42	16	31	
413	3	8	9	30	3	4	19	
414	2	26	55	29	30	3	2	
415	22	2	4	16	3	40	2	
416	25	16	35	44	3	3	28	
417	3	9	4	1	3	3	5	
418	30	2	32	19	24	16	9	
