ST	dcd	dtdA	folK	recR	rlmH	rplI	tsaE	clonal_complex
1	2	2	2	1	2	1	1	
2	2	2	2	1	2	2	1	
3	3	3	3	2	3	3	2	
4	1	2	4	1	4	1	1	
5	3	4	5	3	5	4	3	
6	3	5	3	2	3	3	2	
7	4	6	6	4	6	3	3	
8	5	6	7	4	6	3	4	
9	3	7	8	4	7	5	5	
10	6	2	9	5	8	3	3	
11	6	1	10	6	9	6	6	
12	7	2	8	7	3	7	3	
13	8	1	8	6	5	6	3	
14	9	7	11	2	8	5	4	
15	3	7	9	2	5	5	2	
16	10	8	3	2	10	8	4	
17	11	1	9	8	5	9	2	
18	12	2	1	1	2	1	1	
19	1	1	1	1	1	1	1	
20	10	2	11	1	11	1	7	
21	10	2	11	1	11	10	7	
22	9	2	12	2	12	11	4	
23	5	7	9	2	9	12	3	
24	9	9	11	2	10	3	4	
25	13	7	9	2	10	5	8	
26	14	2	13	1	1	1	9	
27	8	10	5	2	3	13	3	
28	3	11	3	1	5	5	4	
29	4	7	5	2	6	14	5	
30	5	12	5	4	6	14	7	
31	4	13	14	4	6	3	7	
32	6	14	9	9	6	3	3	
33	8	1	8	6	5	3	3	
34	3	11	3	10	13	15	7	
35	6	12	15	11	14	5	7	
36	6	12	16	11	6	5	7	
37	5	12	9	12	3	3	10	
38	6	1	8	6	5	3	3	
39	6	1	8	13	6	14	6	
40	8	10	5	14	14	13	7	
41	3	12	16	13	15	4	3	
42	4	3	9	13	5	3	3	
43	12	15	2	1	1	1	9	
44	6	16	14	15	16	5	3	
45	1	7	1	1	17	16	1	
46	1	7	1	16	17	16	11	
47	1	7	1	2	1	17	12	
48	1	2	17	2	17	16	12	
49	1	7	9	2	1	16	12	
50	1	7	17	2	1	17	12	
51	1	7	1	16	17	16	1	
52	12	17	18	1	18	13	3	
53	12	2	2	1	18	13	3	
54	12	12	2	1	18	13	3	
55	1	8	3	14	19	5	13	
56	3	8	2	2	1	18	4	
57	3	9	3	1	5	1	4	
58	12	2	11	1	1	1	1	
59	12	1	4	1	4	1	1	
60	1	2	11	1	4	1	1	
61	15	2	11	1	1	1	1	
62	5	18	16	11	14	5	7	
63	12	2	4	1	1	1	1	
64	16	2	1	1	2	1	1	
65	3	1	9	8	3	9	10	
66	4	7	19	4	6	3	3	
67	3	11	2	14	5	5	4	
68	9	7	11	2	1	5	1	
69	3	2	11	1	9	7	4	
70	3	2	2	1	9	19	4	
71	3	11	2	1	9	5	4	
72	16	12	20	6	2	1	1	
73	9	19	21	17	5	1	7	
74	9	11	22	18	1	1	7	
75	17	7	4	1	2	5	4	
76	3	8	4	2	5	5	4	
77	6	7	4	1	1	1	1	
78	6	19	22	1	1	1	1	
79	18	19	11	2	5	17	13	
80	3	12	23	19	5	20	12	
81	19	2	11	1	20	17	13	
82	20	12	3	1	3	12	13	
83	3	11	23	19	19	20	12	
84	3	2	23	19	19	20	12	
85	3	7	9	1	5	5	4	
86	16	2	11	17	21	1	10	
87	3	8	2	1	1	1	1	
88	3	12	23	19	19	20	4	
89	16	2	11	1	18	15	3	
90	3	8	14	1	1	5	4	
91	16	2	11	1	22	15	3	
92	16	2	2	1	2	16	1	
93	3	2	3	1	5	1	4	
94	3	12	24	2	5	16	3	
95	16	2	2	1	22	15	3	
96	3	2	3	1	5	5	4	
97	3	2	24	1	21	5	8	
98	3	7	14	1	1	5	4	
99	3	4	22	16	21	5	3	
100	3	2	23	19	5	12	4	
101	3	7	11	2	1	1	1	
102	16	2	22	1	22	1	3	
103	16	11	23	18	18	16	3	
104	16	15	4	18	18	1	3	
105	16	15	23	18	5	20	3	
106	3	1	23	6	22	10	12	
107	9	19	1	4	18	15	13	
108	19	8	12	20	5	15	12	
109	19	11	23	18	22	1	13	
110	17	2	4	4	22	15	3	
111	16	7	11	21	20	17	6	
112	6	2	4	20	21	1	14	
113	5	19	10	12	3	3	3	
114	3	14	3	10	13	15	7	
115	1	2	4	1	2	1	1	
116	8	1	8	13	15	14	6	
117	3	2	2	1	2	1	1	
118	2	2	2	1	23	1	1	
119	20	22	25	22	9	23	12	
120	21	23	26	23	24	24	16	
