ST	adk	atpD	dnaJ	gapA	glnA	hsp60	phoR	pyrG	rpoA	tuf	clonal_complex
1	1	1	1	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	2	2	2	
3	2	3	3	3	3	3	3	3	3	3	
4	3	4	4	3	4	4	4	4	3	4	1
5	3	4	4	3	4	4	5	5	3	4	
6	1	1	1	4	1	5	6	6	1	2	
7	3	4	3	5	5	6	4	7	3	3	2
8	3	5	3	5	5	6	4	7	3	3	2
9	2	1	3	6	1	5	7	8	1	1	
10	4	4	3	3	5	7	8	9	3	3	
11	3	3	4	3	4	4	4	4	3	4	1
12	5	6	5	7	6	8	9	10	3	5	
13	2	6	5	7	6	8	10	10	3	5	
14	2	5	4	3	4	9	4	4	3	3	
15	6	7	6	8	7	10	11	11	4	6	
16	7	8	7	9	8	11	12	12	5	7	
17	3	9	8	3	5	12	8	13	3	3	
18	8	6	9	7	6	8	13	14	3	8	
19	7	10	10	10	9	11	12	15	6	7	
23	7	10	10	10	9	11	12	15	6	9	
24	7	10	10	11	9	11	12	15	6	7	
26	9	10	10	10	9	11	12	12	6	7	
