ST	gdh	gyd	pstS	gki	aroE	xpt	yqiL	clonal_complex
1	3	1	16	1	1	1	1	
2	15	7	3	2	6	1	5	
3	63	6	67	11	23	1	68	
4	8	7	7	5	4	4	1	
5	1	7	9	1	1	3	1	
6	12	7	3	7	6	1	5	
7	58	1	101	32	6	1	5	
8	10	1	11	6	5	5	4	
9	4	6	16	4	1	1	4	
10	2	3	13	4	3	2	2	
11	4	4	8	3	2	1	3	
12	5	6	27	8	6	2	72	
16	5	1	1	3	7	7	6	
17	4	6	2	4	1	1	4	
18	4	6	11	4	1	1	4	
19	1	2	12	8	1	6	1	
20	1	2	12	8	12	6	1	
21	1	7	9	1	1	1	1	
22	1	7	10	1	1	10	1	
23	2	3	13	11	3	2	2	
24	2	3	13	17	3	2	2	
25	2	7	11	11	3	4	2	
26	3	1	11	12	9	14	7	
27	3	2	7	10	10	2	7	
28	4	4	8	3	8	1	3	
29	6	5	4	16	11	13	10	
30	7	1	11	1	10	2	1	
31	8	2	15	9	4	8	1	
32	8	7	9	5	4	4	1	
33	9	2	18	10	16	2	12	
34	9	6	6	13	13	11	8	
35	11	5	7	16	1	12	11	
36	16	2	19	16	17	15	11	
37	1	6	17	15	15	2	5	
38	15	1	11	19	18	15	11	
39	4	2	22	1	14	14	1	
40	3	6	23	12	9	10	7	
41	1	7	11	21	1	4	1	
42	3	6	16	4	1	1	4	
43	9	6	6	13	13	7	8	
44	13	6	5	14	10	9	5	
45	17	2	22	23	14	14	1	
46	17	7	9	1	1	1	1	
47	19	1	24	22	19	17	14	
48	20	1	14	15	14	14	9	
49	20	2	14	20	6	1	5	
50	4	7	20	1	1	1	1	
51	1	7	3	2	6	1	5	
52	15	6	2	4	1	1	4	
53	18	1	24	24	20	17	15	
54	1	7	11	21	21	4	2	
55	3	7	23	1	9	16	7	
56	7	1	11	1	10	2	16	
57	11	5	7	16	1	12	1	
58	21	9	1	3	7	1	6	
59	14	2	18	10	16	2	12	
60	3	1	11	18	9	14	7	
61	14	8	21	8	21	6	13	
62	2	7	11	3	3	4	2	
63	21	2	1	3	7	1	6	
64	10	1	11	6	5	1	4	
65	12	7	17	17	3	2	5	
66	3	3	9	1	9	19	7	
67	14	1	30	5	21	20	21	
68	6	2	11	5	10	1	22	
69	27	12	1	32	6	2	23	
70	26	7	9	1	1	1	1	
71	17	7	29	30	27	1	9	
72	20	3	7	25	23	2	2	
73	4	7	11	1	23	12	2	
74	4	7	11	1	23	16	2	
75	25	2	15	9	23	18	6	
76	22	6	7	26	22	4	4	
77	14	7	11	1	9	9	18	
78	13	1	5	14	10	9	5	
79	23	6	7	25	24	2	17	
80	24	11	24	24	20	17	15	
81	27	2	16	28	26	2	1	
82	12	6	28	29	7	10	20	
83	28	4	8	3	9	1	3	
84	14	1	25	27	25	19	19	
85	2	7	11	1	23	20	2	
86	6	10	11	17	4	2	1	
87	28	4	8	3	8	1	3	
88	3	6	16	4	9	1	7	
89	3	6	26	4	9	1	7	
90	10	1	11	17	5	5	4	
91	29	6	18	31	28	1	3	
92	3	1	16	1	1	21	1	
93	25	2	15	9	23	18	26	
94	30	6	31	33	11	22	24	
95	31	1	32	34	6	1	25	
96	27	12	35	32	6	2	23	
97	2	7	11	21	3	4	2	
98	25	2	15	12	23	18	26	
99	21	9	1	3	7	1	29	
100	34	2	17	37	29	23	6	
101	20	1	36	38	30	25	30	
102	9	1	27	31	31	24	14	
103	35	7	3	32	32	26	31	
104	15	1	11	2	6	1	5	
105	4	1	11	21	21	2	2	
106	4	6	16	4	36	1	4	
107	2	2	12	25	23	29	2	
108	1	2	30	13	37	22	32	
109	12	1	3	5	6	17	5	
110	36	13	30	5	27	20	3	
111	37	1	37	41	38	15	33	
112	10	1	38	6	5	5	4	
113	11	6	5	14	13	9	34	
114	11	6	23	12	9	10	7	
115	1	1	11	1	21	1	2	
116	17	2	22	1	14	14	1	
117	1	1	9	6	1	1	1	
118	15	2	33	16	17	15	35	
119	27	1	32	6	4	14	28	
120	1	2	12	8	1	30	1	
121	14	6	6	13	11	11	27	
122	4	2	30	39	6	1	15	
123	38	7	34	36	11	27	11	
124	14	2	17	40	29	14	1	
125	15	2	33	2	3	15	4	
126	33	7	27	31	31	24	9	
127	32	1	3	22	6	17	4	
128	9	6	6	13	11	11	27	
129	1	7	9	1	1	31	1	
130	4	2	11	5	35	2	4	
131	17	5	27	5	6	2	2	
132	17	2	11	3	34	3	4	
133	2	7	11	1	3	16	2	
134	29	2	30	1	6	1	1	
135	2	1	13	21	3	4	2	
