ST	atpA	ddl	gdh	purK	gyd	pstS	adk	clonal_complex
1	8	4	5	7	1	1	5	
2	8	4	5	7	9	1	5	
3	8	4	5	7	1	12	5	
4	8	4	1	3	1	1	5	
5	5	2	1	9	1	1	5	
6	4	2	1	9	1	1	5	
7	4	2	1	2	1	1	5	
8	5	2	1	6	1	7	1	
9	5	2	6	6	1	7	1	
10	5	2	1	6	1	1	1	CC17
11	5	2	7	6	1	1	1	
12	5	2	6	6	1	1	1	
13	9	2	1	6	7	7	1	
14	9	2	7	6	1	7	1	
15	9	2	7	9	1	7	4	
16	1	2	1	1	1	1	1	CC17
17	1	1	1	1	1	1	1	CC17
18	7	1	1	1	5	1	1	CC17
19	7	1	1	1	1	11	1	CC17
20	5	1	1	1	8	6	1	CC17
21	9	3	1	2	1	1	1	CC17
22	2	3	1	2	1	1	1	CC17
23	2	3	1	2	1	1	7	
24	2	3	1	7	1	1	1	CC17
25	9	3	1	6	1	1	1	CC17
26	9	2	1	6	1	1	1	CC17
27	2	7	5	7	1	1	1	
28	2	7	5	6	1	1	1	
29	4	5	1	3	1	1	1	CC17
30	5	3	1	6	2	2	1	
31	1	3	1	1	1	1	3	CC17
32	3	3	1	2	1	1	1	CC17
33	2	3	1	2	1	5	1	
34	3	3	1	2	2	1	1	
35	3	3	1	6	1	1	1	CC17
36	2	3	2	2	3	1	1	
37	9	7	5	7	1	8	1	
38	2	5	3	5	4	4	1	
39	6	6	4	4	3	3	2	
40	10	8	8	8	6	10	6	CC94
41	8	4	5	3	1	1	5	
42	17	4	1	13	1	1	5	
43	3	4	5	7	1	1	5	
44	3	2	12	9	1	1	5	
45	5	5	1	6	1	1	5	
46	5	2	1	11	1	14	6	
47	9	2	1	11	1	14	5	
48	9	2	1	6	1	16	1	
49	15	2	12	6	1	1	1	
50	15	1	6	6	1	1	1	CC17
51	16	2	7	6	2	1	1	
52	12	9	6	3	1	13	1	
53	3	2	6	3	1	7	1	
54	2	9	6	6	1	11	1	
55	2	1	1	2	1	1	1	CC17
56	5	3	1	6	1	1	1	CC17
57	4	3	1	3	1	1	1	CC17
58	5	3	11	6	2	16	1	
59	14	4	10	6	1	15	5	
60	13	8	8	8	11	10	6	CC94
61	13	8	8	8	6	17	6	CC94
62	11	8	9	10	10	9	6	
63	1	1	1	21	1	1	1	CC17
64	7	1	1	1	1	1	1	CC17
65	1	2	1	20	1	1	9	CC17
66	9	5	1	3	1	1	1	CC17
67	5	3	13	6	2	1	1	
68	9	12	12	24	1	1	5	
69	9	2	1	11	1	14	6	
70	9	4	12	9	1	7	10	
71	15	3	1	2	1	1	1	CC17
72	3	1	1	2	13	1	1	CC17
73	20	9	16	3	1	25	1	
74	22	13	14	22	6	27	6	
75	13	8	8	23	6	28	11	CC94
76	13	8	10	23	6	28	11	
77	13	8	10	23	6	29	11	
78	15	1	1	1	1	1	1	CC17
79	9	3	1	6	1	7	1	
80	9	1	1	1	12	1	1	CC17
81	7	1	1	5	5	1	1	CC17
82	9	2	6	3	1	7	1	
83	9	12	1	3	7	23	5	
84	12	3	1	19	1	24	1	
85	13	8	15	8	11	10	6	CC94
86	12	15	1	3	1	30	12	
87	3	5	1	6	1	1	1	CC17
88	18	3	1	9	1	1	5	
89	18	3	1	12	15	1	5	
90	3	2	13	6	1	1	1	
91	5	3	1	1	8	6	1	
92	5	3	1	2	1	1	1	CC17
93	5	3	1	2	1	31	1	
94	13	8	8	8	6	10	6	CC94
