ST	atpA	dnaK	fumC	gyrB	murG	trpB	tuf	clonal_complex
1	1	1	1	1	1	1	1	CC-ST01
2	2	2	2	2	2	2	2	CC-ST10
3	2	2	2	2	2	3	2	CC-ST10
4	3	3	3	3	3	4	3	
5	4	4	4	4	2	5	4	
6	2	2	2	1	2	1	2	
7	5	4	3	5	4	4	5	
8	6	5	3	6	5	4	6	
9	4	6	5	7	6	4	5	
10	2	2	2	8	2	2	2	CC-ST10
11	7	7	3	9	7	6	5	
12	2	2	2	8	2	2	7	CC-ST10
13	4	6	5	7	6	4	8	
14	8	8	6	10	8	5	1	
15	9	8	7	11	9	7	9	
16	2	2	2	8	2	2	3	CC-ST10
17	2	2	2	8	2	2	10	CC-ST10
18	6	9	3	6	5	4	6	
20	2	2	2	8	2	8	2	CC-ST10
21	10	2	2	2	2	2	7	
22	11	10	3	12	3	1	12	
23	12	11	7	13	9	9	13	
25	14	12	8	14	10	10	14	
26	2	2	2	15	2	2	2	CC-ST10
27	2	2	2	8	11	2	15	
28	15	13	9	16	12	3	16	
29	16	14	9	17	13	8	17	
30	17	7	5	18	14	11	18	
31	15	13	9	19	12	3	16	
32	1	15	2	13	1	1	7	
34	18	15	3	20	16	1	6	
35	19	8	7	21	17	12	19	
36	20	8	10	22	6	13	20	
37	21	16	7	21	17	13	21	
38	2	2	2	8	13	2	7	CC-ST10
39	2	4	10	23	6	14	22	
40	11	10	3	24	2	15	12	
41	22	17	5	4	10	16	12	
42	23	4	5	25	18	4	23	
43	24	18	9	26	19	17	24	
44	25	10	7	27	20	18	25	
45	8	19	5	24	8	19	1	
46	4	8	11	28	1	4	26	
47	26	15	12	29	17	2	27	
48	8	19	6	24	8	19	1	
49	27	2	6	24	8	5	1	
50	21	4	5	28	21	7	28	
51	8	8	6	24	8	5	1	
52	4	4	4	24	2	5	4	
53	28	19	2	19	13	19	29	
54	23	20	2	30	22	2	22	
55	23	20	2	30	23	2	22	
56	8	2	6	24	8	5	1	
57	28	19	2	31	23	20	30	
58	29	10	7	32	24	21	31	
59	30	4	10	31	19	22	32	
60	10	11	13	29	13	23	5	
61	31	8	1	33	25	8	33	
62	32	8	1	34	26	5	26	
63	33	15	1	21	8	24	34	
64	4	10	2	35	16	25	1	
65	8	2	6	24	10	5	1	
66	34	16	5	15	19	1	35	
67	35	2	5	24	8	5	1	
68	2	1	1	1	1	1	1	CC-ST01
69	26	8	5	36	27	2	36	
70	1	15	14	13	1	1	7	
71	36	15	5	37	28	26	37	
72	10	2	2	2	27	2	7	
73	1	15	14	13	1	8	7	
74	37	8	2	38	25	8	38	
75	38	15	7	22	12	27	39	
76	39	7	1	19	29	8	40	
77	4	4	2	39	30	28	12	
78	2	2	2	8	2	2	41	CC-ST10
79	2	8	2	8	2	2	2	CC-ST10
81	2	2	2	8	2	2	43	CC-ST10
82	2	2	2	8	2	2	44	CC-ST10
83	2	16	2	40	31	1	45	
84	2	2	2	41	2	2	41	CC-ST10
85	2	2	2	8	2	2	46	CC-ST10
86	2	2	3	8	2	2	2	CC-ST10
87	2	2	3	1	32	2	7	
88	11	2	2	8	2	2	7	CC-ST10
89	2	2	2	2	2	2	47	CC-ST10
90	1	1	1	1	1	1	2	CC-ST01
91	2	2	2	2	2	2	41	CC-ST10
92	2	2	2	2	2	3	41	CC-ST10
93	2	2	2	2	2	4	2	CC-ST10
95	2	2	2	2	2	4	41	CC-ST10
97	2	2	2	2	2	29	2	CC-ST10
98	2	2	2	2	2	2	48	CC-ST10
99	40	21	5	42	2	4	39	
102	3	16	3	43	3	2	3	CC-ST102
104	25	10	7	44	20	1	25	
105	2	22	3	3	3	21	2	
108	1	1	2	1	1	1	41	CC-ST01
113	40	23	5	29	6	4	49	
114	2	2	2	2	2	2	49	CC-ST10
115	3	8	15	28	20	30	5	
116	41	24	10	45	16	27	48	
117	14	25	10	46	33	31	50	
118	41	24	10	8	16	27	48	
119	11	8	3	47	34	18	3	
120	14	9	10	46	35	31	50	
121	42	8	10	23	10	32	22	
122	14	12	10	48	10	10	47	
123	3	22	11	49	6	4	3	
124	1	15	14	13	1	2	7	
125	2	15	2	13	2	1	7	
126	1	15	16	13	1	2	7	
127	18	8	2	37	36	8	47	
128	2	2	2	8	2	2	48	CC-ST10
129	1	2	14	13	1	2	7	
130	2	8	2	8	2	8	2	CC-ST10
131	2	15	2	1	2	1	7	
132	3	2	11	49	3	11	3	
133	2	8	5	37	2	33	26	
134	20	8	5	19	37	34	24	
135	2	15	2	13	2	1	3	
137	20	26	5	21	14	4	49	
138	31	8	3	29	32	11	41	
139	3	22	3	50	3	8	3	
140	3	22	3	3	3	4	7	
141	42	8	7	23	38	21	51	
168	3	8	11	49	6	4	3	
169	1	15	1	3	1	8	1	
170	42	8	10	23	10	32	52	
171	43	8	17	51	33	7	17	
172	3	8	11	49	6	9	3	
