ST	adk	atpD	fumC	gyrB	infB	mdh	recN	thdF	clonal_complex
1	1	1	9	16	24	15	10	2	
2	1	1	23	9	11	21	19	18	
3	1	5	23	29	10	1	13	19	
4	1	6	1	10	22	20	2	23	
5	1	6	30	25	7	20	33	2	
6	1	6	40	40	13	7	4	12	
7	1	8	26	16	18	15	10	10	
8	1	11	14	13	18	17	22	19	
9	1	21	35	30	12	12	2	2	
10	1	22	24	41	14	12	28	9	
11	1	25	32	17	2	19	2	23	
12	2	6	42	40	13	7	4	12	
13	3	1	10	16	24	15	10	2	
14	3	10	37	24	5	25	4	15	
15	4	25	31	19	7	23	33	2	
16	5	22	15	36	1	19	30	13	
17	5	24	20	17	7	22	33	2	
18	5	25	5	22	8	22	33	2	
19	7	8	13	38	23	16	37	17	
20	8	7	25	2	15	10	29	7	
21	8	9	44	47	6	10	23	5	
22	8	21	29	2	3	10	16	23	
23	9	3	5	12	31	16	4	16	
24	9	4	7	12	31	14	4	16	
25	9	19	32	14	19	25	8	3	
26	10	4	30	15	2	25	9	14	
27	10	6	2	44	23	1	10	10	
28	10	6	13	4	21	1	3	23	
29	10	6	19	10	7	25	1	23	
30	10	6	30	17	26	26	25	22	
31	11	1	27	21	7	18	14	23	
32	11	20	28	11	33	18	15	23	
33	12	21	17	18	15	8	32	24	
34	12	21	18	8	30	10	27	25	
35	13	23	6	13	9	21	7	27	
36	14	1	20	17	25	21	12	20	
37	14	1	37	33	1	24	6	19	
38	14	1	38	34	1	19	6	1	
39	14	6	23	6	16	10	26	7	
40	14	6	43	41	13	11	4	23	
41	14	17	39	32	5	24	6	1	
42	14	18	39	34	1	19	6	1	
43	14	18	42	32	1	25	6	1	
44	14	20	22	7	32	9	21	6	
45	15	22	12	41	13	12	30	23	
46	16	12	46	46	35	27	31	29	
47	16	26	45	46	34	27	35	28	
48	17	27	34	48	36	28	36	28	
49	18	14	3	43	12	14	9	26	
50	19	6	13	26	17	3	33	4	
51	20	1	21	27	28	1	19	27	
52	20	4	11	17	12	2	9	23	
53	20	6	2	42	7	19	33	2	
54	20	6	8	31	10	21	10	1	
55	20	6	19	17	23	1	10	10	
56	20	21	30	20	20	14	24	23	
57	21	6	3	42	7	19	33	2	
58	22	1	23	28	28	4	12	21	
59	23	6	4	1	23	6	33	23	
60	24	4	20	1	27	5	33	23	
61	24	6	2	3	27	6	33	2	
62	24	6	13	10	27	5	34	21	
63	24	16	20	3	2	6	33	21	
64	25	13	7	23	37	18	31	30	
65	26	15	33	5	4	18	20	11	
66	1	21	36	30	12	13	2	2	
67	5	22	16	35	1	20	30	13	
68	5	22	41	35	18	20	30	15	
69	5	25	20	17	7	22	33	2	
70	5	25	20	22	7	22	11	3	
71	6	21	46	45	29	29	15	8	
72	7	8	13	39	23	16	37	17	
73	7	8	23	37	23	16	37	17	
75	14	1	39	34	1	19	5	1	
76	14	1	39	34	1	20	6	1	
77	20	1	23	9	28	1	18	1	
78	20	1	23	9	28	1	19	1	
79	20	1	23	9	28	4	19	1	
80	20	1	23	27	28	1	17	1	
81	20	1	23	27	28	1	19	27	
82	20	2	21	27	28	1	19	27	
