ST	NUP116	URA1	URA3	SAPT4	PLB3	clonal_complex
1	6	5	4	2	2	
2	2	1	1	4	2	
3	2	2	1	2	2	
4	2	2	3	5	2	
5	1	2	1	1	2	
6	2	1	1	2	2	
7	2	2	1	1	2	
8	4	3	1	3	3	
9	3	2	1	2	7	
10	2	1	1	2	1	
11	2	4	3	2	1	
12	5	2	1	2	4	
13	2	2	1	2	4	
14	1	2	1	2	4	
15	1	2	5	2	4	
16	2	2	1	1	5	
17	3	2	3	1	4	
18	2	2	3	1	1	
19	2	2	1	1	1	
20	3	2	1	3	1	
21	1	2	1	1	1	
22	1	1	1	1	1	
23	1	1	3	1	1	
24	1	1	3	1	6	
25	2	4	1	1	1	
26	3	1	1	5	6	
27	2	1	3	1	1	
28	2	1	2	1	1	
29	2	1	1	1	1	
30	5	1	1	1	1	
31	2	2	6	1	2	
32	2	2	6	2	4	
33	7	6	7	2	7	
34	8	6	8	2	7	
35	7	9	8	2	8	
36	9	7	1	2	4	
37	3	1	1	2	9	
38	2	7	1	2	6	
39	2	8	9	5	3	
40	2	2	2	1	2	
