ST	atpB	EF-2	radA	rpoB'	secY
1	46	44	46	39	47
2	47	45	47	46	48
3	48	46	48	47	49
4	49	47	49	48	50
5	50	48	50	38	39
6	38	36	38	38	39
9	51	49	51	49	51
10	52	49	52	50	52
12	16	16	16	15	6
13	16	50	53	50	53
14	27	27	27	26	11
15	53	51	54	51	54
16	54	52	55	52	55
17	55	53	56	1	1
18	56	54	57	53	56
19	57	55	58	54	57
21	58	56	59	55	58
22	59	53	60	56	59
23	60	57	61	57	60
25	61	58	62	58	61
26	62	59	63	59	62
28	16	16	64	50	63
29	63	60	65	60	64
31	64	61	66	61	65
32	47	16	52	62	66
33	58	56	67	63	58
34	58	62	67	64	58
35	65	56	67	65	67
36	58	63	68	66	68
37	66	16	52	50	69
38	67	64	69	67	70
40	47	16	70	50	51
41	56	53	71	1	71
42	68	65	72	68	72
44	69	66	73	69	73
45	70	67	74	70	74
46	66	69	1	72	10
47	72	1	1	73	75
48	73	70	76	74	64
49	74	71	77	75	76
50	75	72	78	76	77
51	76	73	79	77	78
52	77	74	80	78	79
53	78	75	81	79	80
54	79	76	82	80	81
55	47	77	70	81	82
56	69	66	83	69	73
57	80	78	84	82	83
