ST	adk	atpG	frdB	fucK	mdh	pgi	recA	clonal_complex
1	1	1	1	14	15	1	5	
2	14	7	1	15	16	4	1	
3	1	1	1	1	1	1	5	
4	4	17	4	1	2	9	6	
5	12	5	5	2	3	11	7	
6	10	14	4	5	4	7	8	
7	7	11	6	6	6	16	9	
8	7	11	6	7	6	10	10	
9	7	11	6	8	6	16	9	
10	5	15	10	9	8	5	11	
11	1	8	1	14	9	14	13	
12	1	1	1	13	13	25	16	
13	3	9	8	4	14	8	4	
14	5	1	1	1	1	2	5	
15	22	6	11	11	12	18	15	
16	22	6	11	12	1	18	15	
17	18	6	3	10	11	28	14	
18	18	6	3	7	10	28	12	
19	7	11	6	6	18	16	9	
20	21	13	9	7	19	24	19	
21	20	12	1	7	20	23	19	
22	9	14	12	3	4	3	8	
23	13	16	5	2	3	11	7	
24	10	14	4	5	4	7	20	
25	20	12	2	1	21	23	19	
26	22	18	11	11	22	19	15	
27	18	6	3	8	23	28	19	
28	18	6	3	7	24	28	19	
29	22	19	11	9	22	19	15	
30	20	12	25	7	20	23	19	
31	10	14	5	7	26	22	8	
32	19	6	3	10	10	28	14	
33	1	10	1	1	1	6	5	
34	11	2	15	8	28	26	3	
35	8	27	27	7	37	15	24	
36	16	21	14	16	29	14	3	
37	14	7	13	4	1	21	1	
38	10	2	15	17	26	26	3	
39	15	23	16	16	30	1	3	
40	1	3	1	1	31	1	5	
41	17	4	17	1	7	12	11	
42	2	24	18	18	27	1	5	
43	1	22	19	19	32	17	2	
44	10	14	4	3	4	3	8	
45	6	20	20	1	33	29	7	
46	1	25	1	14	15	1	5	
47	5	15	7	9	7	5	11	
48	5	15	10	15	8	5	11	
49	5	15	10	8	8	5	11	
50	6	20	23	1	33	29	23	
51	7	2	6	6	6	16	9	
52	7	6	3	7	10	27	10	
53	10	14	5	7	4	7	8	
54	10	14	22	5	4	7	22	
55	10	14	4	5	4	31	8	
56	13	16	5	18	3	11	7	
57	14	7	13	7	17	13	17	
58	14	20	6	8	6	16	21	
59	20	12	1	8	20	23	19	
60	20	12	21	20	34	30	19	
61	21	12	9	4	5	20	18	
62	21	12	9	7	19	24	19	
63	22	19	11	11	35	32	15	
64	23	20	21	5	4	7	8	
65	24	26	24	21	36	33	21	
66	18	6	3	11	10	28	12	
67	18	6	3	7	25	28	12	
68	18	6	26	7	10	28	12	
69	18	6	3	22	10	28	12	
70	25	20	24	24	38	34	25	
71	25	20	28	23	39	34	25	
72	25	20	28	14	40	34	25	
73	25	20	28	24	39	35	25	
74	25	20	24	18	38	34	25	
75	25	20	29	24	39	35	25	
76	26	20	30	24	36	36	25	
77	28	29	32	18	42	34	27	
78	10	14	4	5	22	7	8	
79	10	14	5	25	4	7	8	
80	10	14	5	7	43	7	8	
81	10	14	4	5	44	7	8	
82	5	15	10	1	8	5	11	
83	10	14	4	14	4	7	8	
84	29	7	13	1	45	13	1	
85	30	2	15	7	22	38	3	
86	5	15	10	9	8	39	11	
87	21	19	9	7	12	20	18	
88	1	8	1	14	22	14	5	
89	10	1	5	7	4	7	8	
90	4	20	8	5	4	7	8	
91	30	2	15	7	22	13	3	
92	10	14	4	5	4	7	28	
93	6	30	23	1	33	29	7	
94	10	14	21	5	4	7	8	
95	31	14	4	5	4	7	8	
96	16	14	4	5	4	7	8	
97	1	1	4	5	4	7	8	
98	14	7	13	15	17	13	1	
99	5	33	7	1	22	41	29	
100	10	14	4	27	4	7	8	
101	33	14	4	5	4	7	8	
102	1	1	1	1	50	42	5	
103	1	1	1	14	9	14	13	
104	18	14	29	9	4	28	8	
105	3	9	8	2	14	8	4	
106	22	19	11	11	22	40	15	
