ST	abcZ	adk	aroE	cpn60	gdh	recA
1	1	1	1	1	1	1
2	1	1	1	1	1	3
3	14	9	14	1	7	4
4	3	3	9	3	7	3
5	4	2	9	3	7	3
6	5	2	4	5	5	1
7	5	2	13	5	5	1
8	11	2	3	7	7	2
9	11	2	4	3	4	3
10	1	8	3	6	1	3
11	13	2	4	2	8	6
12	15	2	4	2	8	6
13	3	3	3	3	10	4
14	3	3	3	3	3	3
15	3	3	3	3	12	3
16	3	3	12	3	3	3
17	3	2	3	3	3	3
18	8	3	3	3	3	3
19	4	4	4	4	1	3
20	4	2	3	4	1	3
21	10	2	2	2	2	2
22	4	2	2	2	2	2
23	2	2	2	2	2	2
24	2	2	8	2	2	2
25	7	2	6	2	2	2
26	7	2	6	2	13	2
27	12	6	10	3	9	2
28	9	2	7	3	4	3
29	9	2	4	3	4	3
30	16	10	7	3	4	3
31	6	1	4	3	1	5
32	6	5	5	3	6	5
33	6	7	11	3	11	5
34	6	7	11	3	2	5
35	1	8	15	8	1	3
36	1	11	15	8	1	3
37	3	3	3	3	2	3
38	6	7	11	3	2	2
39	14	9	14	1	7	10
40	9	2	7	10	4	3
41	3	3	9	3	3	3
42	3	3	3	3	14	3
43	3	2	3	3	15	11
44	4	2	2	2	2	7
45	5	2	4	5	5	9
46	5	2	6	5	5	1
47	6	7	11	3	17	12
48	1	1	17	2	16	2
49	1	1	17	9	16	2
50	17	1	1	11	1	8
51	4	6	9	4	1	3
52	1	8	3	8	1	3
53	18	2	4	2	9	3
54	3	2	3	3	1	11
55	19	2	2	2	2	2
56	20	2	6	2	2	2
57	3	3	3	3	18	3
58	1	8	15	8	19	3
59	5	2	18	5	5	1
60	8	3	3	3	3	13
61	5	2	4	5	20	1
62	2	2	6	2	2	2
63	14	2	19	1	7	10
64	3	2	16	3	3	3
65	21	7	11	3	17	5
66	6	5	10	3	6	5
67	5	2	3	2	2	2
68	5	2	6	11	9	1
69	1	2	6	2	1	14
70	2	2	20	2	2	2
71	3	3	3	3	3	4
72	3	3	3	3	3	2
73	11	3	3	3	3	3
74	4	2	3	3	7	3
75	10	2	21	2	2	2
76	3	3	22	3	3	4
