ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB
1	4	4	1	1	7	4	10
2	3	4	1	1	9	4	17
3	5	5	1	1	9	6	11
4	3	1	1	1	3	3	1
5	2	2	1	1	3	3	3
6	2	10	1	1	14	3	20
7	3	1	1	4	3	1	34
8	4	1	1	1	1	5	6
9	4	1	3	1	1	2	8
10	4	1	7	1	9	1	12
11	3	3	1	1	1	1	4
12	6	3	1	1	12	1	4
13	2	3	1	1	10	1	19
14	1	6	1	1	1	1	1
15	1	1	1	1	1	1	1
16	2	1	2	1	4	4	4
17	2	1	1	1	4	4	4
18	2	1	1	1	4	1	4
19	2	3	8	1	4	4	4
20	2	3	1	1	4	4	4
21	2	8	1	1	1	4	4
22	2	3	1	1	1	4	4
23	2	1	1	1	9	4	12
24	2	1	1	1	3	4	2
25	2	1	1	1	10	4	13
26	2	1	1	1	9	1	18
27	2	1	11	1	9	10	23
28	2	14	3	1	10	4	18
29	2	3	2	2	6	4	4
30	5	3	1	1	9	4	26
31	2	3	9	1	6	4	4
32	2	3	2	1	5	4	5
33	2	3	5	1	12	4	9
34	2	3	6	1	9	7	4
35	2	1	2	1	10	1	19
36	2	1	2	1	7	1	7
37	2	9	2	1	13	1	16
38	2	1	2	1	2	2	2
39	2	1	2	4	9	1	14
40	2	1	10	1	4	1	21
41	2	7	1	1	12	8	4
42	2	6	1	3	8	1	15
43	2	6	1	5	11	1	15
44	2	1	4	3	8	1	9
45	2	1	1	6	7	1	12
46	4	5	1	1	9	1	31
47	4	5	1	12	22	1	10
48	2	5	2	2	7	1	10
49	8	1	1	2	12	1	23
50	12	1	1	2	23	1	36
51	2	1	13	10	17	1	19
52	2	1	1	14	24	1	19
53	2	1	2	8	7	1	12
54	2	1	1	13	16	15	4
55	2	1	1	17	7	16	4
56	4	1	1	7	14	7	4
57	2	1	1	1	19	4	12
58	10	1	1	1	4	4	4
59	2	12	1	1	16	4	25
60	2	1	2	1	4	4	8
61	2	3	2	1	4	4	8
62	2	1	15	1	18	4	30
63	2	1	2	1	1	1	25
64	2	1	19	1	10	1	37
65	2	1	2	1	10	4	13
66	2	3	2	1	10	1	13
67	2	1	9	1	15	5	28
68	2	1	9	1	15	5	32
69	2	1	1	9	15	5	28
70	2	6	17	1	20	10	25
71	2	3	10	1	10	10	25
72	2	3	4	1	12	14	19
73	2	3	4	1	12	6	19
74	2	10	12	1	12	1	4
75	6	3	1	7	12	1	4
76	4	1	1	1	21	1	35
77	4	1	1	1	1	1	35
78	1	6	1	1	1	9	1
79	1	6	1	1	1	5	1
80	1	6	1	1	4	1	1
81	2	6	16	1	4	1	33
82	2	6	1	1	4	1	33
83	11	6	1	1	4	1	33
84	2	13	16	1	4	1	33
85	2	3	1	8	1	1	22
86	9	4	2	1	1	1	27
87	5	1	5	1	7	1	24
88	7	3	2	2	6	4	4
89	10	3	14	2	6	4	4
90	10	6	1	9	12	4	29
91	10	6	1	9	12	4	9
92	10	6	1	9	12	12	9
93	10	11	1	9	12	4	9
94	13	15	18	16	25	13	9
95	10	6	1	11	12	4	9
96	10	6	1	1	12	4	9
97	10	1	1	9	1	4	9
98	1	6	20	1	1	4	1
99	2	1	2	1	17	4	1
100	2	6	5	5	4	4	6
101	2	6	1	5	4	1	6
102	14	1	1	1	21	7	23
103	4	1	1	1	7	1	6
104	2	3	1	1	2	1	43
105	2	3	2	1	1	4	18
106	4	1	1	1	1	1	9
107	2	1	2	17	27	1	39
108	2	1	2	1	3	4	18
109	2	1	2	1	3	4	4
110	2	6	1	3	8	1	44
111	2	1	5	1	17	4	42
112	2	17	6	1	9	1	4
113	14	1	2	1	21	1	23
114	14	1	2	5	21	1	23
115	2	1	2	2	21	1	23
116	15	1	1	18	1	1	4
117	10	1	11	1	9	10	9
118	17	19	22	20	30	18	18
119	2	17	6	1	9	7	38
120	4	4	1	1	7	4	38
121	4	4	1	1	7	4	39
122	2	17	6	1	9	7	4
123	16	18	21	19	29	17	45
124	2	1	5	1	17	7	42
125	2	6	2	2	3	1	39
126	2	5	2	1	10	4	46
127	2	1	4	1	1	1	47
128	2	1	5	18	21	4	48
129	2	20	23	1	1	1	19
130	4	1	24	21	1	1	4
131	2	1	13	10	23	1	19
132	2	1	1	1	1	1	36
133	12	1	1	2	5	1	36
134	3	1	2	1	1	1	4
135	2	6	1	15	11	1	15
136	5	3	20	1	7	1	11
137	2	21	1	1	9	4	12
138	18	22	26	23	31	13	49
139	18	22	25	22	11	19	50
140	14	1	2	1	1	1	4
141	19	23	26	22	32	13	51
142	20	22	27	24	33	20	51
143	17	19	29	25	35	21	53
144	17	19	28	20	34	18	52
145	4	1	1	26	4	5	54
146	16	24	30	27	36	22	55
147	3	4	6	1	7	4	38
148	4	1	31	1	16	23	6
149	2	25	2	1	4	4	8
150	2	5	2	28	4	1	43
151	4	1	32	1	7	4	10
152	2	3	2	1	1	4	56
153	21	3	33	26	1	1	8
154	2	26	1	1	37	24	31
155	22	1	1	1	3	4	1
156	2	1	1	26	4	1	57
157	2	3	34	1	7	4	9
158	1	4	35	1	10	25	14
159	2	27	1	1	16	26	58
160	10	7	1	1	1	1	35
161	2	1	2	1	1	4	12
162	2	1	5	1	12	4	9
163	2	1	1	1	9	1	12
164	2	1	5	1	1	1	9
165	2	1	13	2	23	1	19
166	2	1	13	1	23	1	19
167	12	1	1	1	5	1	36
168	2	5	1	6	9	1	4
169	23	9	2	1	13	1	38
170	2	3	2	2	1	4	4
171	4	1	5	1	7	5	23
172	10	1	2	1	12	4	59
173	24	3	1	1	3	4	59
174	24	3	1	2	3	4	59
175	2	1	6	1	9	1	60
176	2	3	1	26	7	27	9
177	2	9	2	30	13	1	16
178	2	1	1	1	40	1	61
179	5	1	1	1	12	1	62
180	2	1	1	34	4	1	64
181	2	1	37	1	1	1	42
182	4	3	1	35	9	4	12
183	26	1	1	1	7	4	65
184	3	1	1	4	7	4	66
185	2	30	2	1	10	4	12
186	2	1	1	37	45	4	9
187	23	31	2	1	9	4	23
188	3	1	1	3	4	28	39
189	2	3	41	1	17	4	46
190	2	3	1	39	7	1	42
191	4	3	1	1	43	1	13
192	4	1	1	2	46	4	4
193	2	3	2	2	48	4	4
194	27	1	1	1	10	1	17
195	4	3	1	29	1	4	23
196	17	19	39	39	51	18	72
197	16	28	21	27	47	22	67
198	25	33	1	26	7	1	56
199	4	34	1	1	21	1	35
200	2	1	2	1	12	1	68
201	2	9	2	1	13	1	69
202	2	1	15	1	18	4	70
203	16	18	43	41	47	30	71
204	16	32	21	31	38	22	67
205	16	24	21	32	39	17	73
206	16	18	36	33	41	22	67
207	16	18	21	33	42	22	63
208	16	24	21	27	52	22	67
209	16	18	21	27	44	22	67
210	16	29	21	40	49	17	74
211	2	1	2	42	26	4	18
212	2	1	1	36	7	1	38
213	2	1	1	43	10	5	13
214	16	24	42	33	50	29	75
215	2	1	38	37	10	4	18
216	16	24	40	38	47	22	67
217	2	35	1	1	9	4	12
218	2	3	1	1	9	4	12
219	2	1	2	3	27	1	39
220	2	1	2	1	45	4	9
221	2	5	1	6	9	1	10
222	2	1	2	2	7	4	4
223	2	3	2	1	10	1	46
224	2	1	2	6	9	1	10
225	10	1	1	1	12	1	38
226	2	6	1	1	9	1	36
227	5	3	1	1	17	4	26
228	2	3	6	1	27	5	4
229	4	6	1	1	8	1	56
230	2	1	2	1	13	1	38
231	2	6	1	3	26	1	77
232	4	3	17	1	20	10	25
233	5	1	1	18	1	1	4
234	2	1	2	1	7	1	24
235	2	6	1	3	1	1	15
236	2	1	1	1	16	1	4
237	4	1	2	2	10	10	43
238	2	1	1	6	9	1	10
239	4	1	5	1	9	11	24
