ST	glmU_1	pntA_1	sucA_1	tpiA_1	pfkB_1	mreA_1	caiB_1	clonal_complex
1	1	1	1	1	1	1	1	
2	1	1	1	1	7	3	32	
3	1	1	1	1	14	15	7	
4	1	1	1	2	7	2	9	
5	1	1	1	2	16	2	18	
6	1	1	1	4	29	4	1	
7	1	1	1	13	8	10	6	
8	1	1	1	16	28	2	6	
9	1	1	1	2	3	6	6	
10	1	1	1	2	9	3	13	
11	1	1	1	1	6	2	9	
12	1	1	1	2	6	2	7	
13	1	1	1	5	12	2	9	
14	1	1	1	11	16	2	6	
15	1	1	1	9	23	5	3	
16	1	1	2	1	6	3	1	
17	1	1	2	2	10	4	8	
18	1	1	2	3	6	6	6	
19	1	1	2	1	12	1	6	
20	1	1	2	1	7	4	3	
21	1	1	2	2	6	13	9	
22	1	1	3	1	2	6	7	
23	1	1	9	6	6	11	7	
24	1	4	2	1	5	3	4	
25	1	4	2	1	25	3	4	
26	1	18	2	2	4	6	6	
27	1	12	3	3	10	6	19	
28	1	13	1	1	14	6	13	
29	1	13	1	1	14	2	7	
30	1	13	2	2	22	2	6	
31	1	15	2	15	11	5	5	
32	1	16	9	4	19	3	7	
33	1	18	1	4	4	5	3	
34	2	1	1	2	2	1	2	
35	3	2	3	3	4	6	8	
36	3	2	3	3	4	5	5	
37	3	3	3	3	4	5	5	
38	3	3	3	3	4	6	8	
39	3	3	8	3	4	5	5	
40	3	6	1	13	21	6	8	
41	3	9	3	12	20	5	8	
42	3	11	3	2	4	5	8	
43	3	17	1	5	6	2	6	
44	3	17	5	5	10	3	6	
45	3	18	2	2	3	5	5	
46	4	1	1	4	4	6	6	
47	4	18	2	2	3	3	5	
48	5	1	1	1	6	5	2	
49	5	1	1	1	3	2	7	
50	6	8	2	2	9	7	5	
51	6	13	2	2	13	2	6	
52	7	1	4	7	22	14	9	
53	7	5	6	19	24	12	17	
54	8	1	1	2	18	3	9	
55	8	1	9	2	16	1	6	
56	8	1	10	2	16	4	9	
57	8	14	2	17	26	16	6	
58	9	1	2	4	13	9	3	
59	10	3	1	5	4	6	13	
60	10	15	2	10	17	2	5	
61	11	7	2	18	27	8	3	
62	12	19	11	21	30	17	24	
63	13	20	15	22	31	18	10	
64	13	20	15	23	31	20	23	
65	14	20	12	22	31	18	23	
66	16	20	15	22	31	18	20	
67	15	21	14	20	32	19	25	
68	15	24	1	24	32	21	26	
69	16	20	13	22	31	18	23	
70	17	22	15	22	33	18	10	
71	18	23	1	24	32	21	25	
