ST	adk_3	icdA_3	lipL32_3	lipL41_3	rrs2_3	secY_3	clonal_complex
1	1	1	1	1	1	1	
2	1	1	2	2	1	1	
3	1	1	2	2	1	17	
4	1	1	2	2	1	43	
5	1	1	2	2	7	1	
6	1	1	2	2	14	1	
7	1	1	2	3	1	1	
8	1	1	2	3	6	4	
9	1	1	2	5	1	8	
10	1	1	2	7	1	1	
11	1	2	1	1	1	4	
12	1	2	1	1	1	27	
13	1	2	1	1	2	4	
14	1	2	1	1	7	4	
15	1	2	1	1	10	4	
16	1	2	1	1	13	4	
17	1	2	1	2	1	4	
18	1	2	1	2	11	4	
19	1	2	2	2	1	1	
20	1	2	2	8	1	11	
21	1	2	2	8	2	1	
22	1	2	2	49	2	3	
23	1	3	2	3	1	17	
24	1	4	2	2	1	8	
25	1	6	5	5	1	8	
26	1	16	1	1	1	4	
27	1	18	1	1	1	4	
28	1	19	1	1	1	4	
29	1	69	19	45	22	54	
30	2	1	1	1	1	1	
31	2	1	1	1	1	6	
32	2	1	1	1	1	17	
33	2	1	1	1	2	4	
34	2	1	1	1	2	6	
35	2	1	1	1	7	6	
36	2	1	1	1	8	1	
37	2	1	1	1	9	6	
38	2	1	1	1	15	6	
39	2	1	1	3	1	1	
40	2	1	1	3	7	6	
41	2	1	2	1	7	6	
42	2	1	2	3	1	14	
43	2	1	2	4	2	6	
44	2	1	2	8	1	5	
45	2	2	1	1	1	4	
46	2	2	2	2	1	1	
47	2	2	2	2	1	2	
48	2	2	2	2	1	4	
49	2	2	2	2	1	5	
50	2	2	2	2	1	6	
51	2	2	2	2	1	17	
52	2	2	2	3	1	1	
53	2	2	2	3	2	5	
54	2	2	2	8	1	1	
55	2	2	2	8	2	13	
56	2	2	2	10	1	1	
57	2	2	2	10	1	2	
58	2	2	3	4	2	6	
59	2	2	13	4	2	4	
60	2	3	1	1	2	7	
61	2	3	8	13	7	49	
62	2	7	2	8	2	10	
63	2	15	1	1	2	7	
64	2	22	2	2	7	17	
65	2	64	7	43	24	50	
66	3	2	1	1	1	4	
67	4	2	2	3	2	1	
68	4	2	2	8	1	1	
69	5	1	2	2	2	1	
70	5	1	2	3	2	6	
71	5	1	2	17	7	1	
72	5	2	2	2	1	5	
73	5	2	2	3	1	1	
74	5	2	2	3	1	3	
75	5	2	2	3	1	4	
76	5	2	2	8	1	1	
77	5	2	2	10	1	1	
78	5	2	2	10	4	5	
79	5	2	2	14	1	1	
80	5	3	1	1	7	6	
81	5	3	2	1	1	4	
82	5	9	1	11	1	12	
83	5	12	2	3	2	4	
84	6	5	4	41	2	9	
85	7	8	6	48	3	1	
86	9	2	2	3	1	15	
87	10	13	1	1	10	1	
88	11	14	9	6	7	43	
89	11	30	14	23	10	30	
90	12	17	10	15	1	49	
91	13	23	12	18	16	16	
92	13	23	12	19	17	18	
93	13	24	11	16	1	22	
94	13	24	11	16	12	22	
95	13	24	11	22	12	24	
96	14	23	12	19	12	19	
97	14	23	12	19	12	20	
98	15	25	11	16	12	21	
99	16	26	12	20	18	23	
100	17	24	11	16	7	5	
101	18	25	11	21	12	25	
102	19	24	11	16	12	28	
103	19	25	11	16	12	26	
104	20	24	11	21	12	29	
105	23	51	10	24	20	49	
106	23	51	30	15	20	44	
107	23	61	8	13	20	49	
108	23	61	8	13	23	49	
109	24	31	14	25	10	31	
110	25	30	15	25	10	32	
111	27	33	17	26	10	34	
112	28	34	1	8	10	35	
113	29	31	18	27	10	36	
114	30	35	19	23	10	37	
115	33	38	6	42	21	51	
116	33	62	2	42	21	51	
117	33	65	6	44	21	51	
118	33	67	6	42	21	51	
119	33	71	7	46	24	50	
