ST	als	atpA	tuf	gapC	gyrB	rpoC	galP
1	1	1	1	1	1	1	1
2	2	2	2	2	2	2	2
3	3	3	3	2	3	3	3
4	3	3	4	2	3	3	3
5	4	4	5	3	4	4	4
6	5	5	6	2	5	5	5
7	6	6	7	2	6	6	6
8	7	6	8	2	7	7	7
9	8	7	9	2	8	8	8
10	9	7	3	4	7	9	9
11	9	7	3	4	7	9	10
12	9	7	3	2	7	10	9
13	10	3	4	2	3	3	3
14	11	6	10	2	9	11	8
15	11	6	11	5	7	12	11
16	12	8	6	6	10	13	12
17	12	8	6	7	10	13	12
18	13	9	12	8	11	14	13
19	14	6	13	2	12	14	14
20	15	10	14	9	13	15	15
21	9	11	3	10	7	10	9
22	16	6	8	11	14	14	7
23	9	7	3	4	15	9	9
24	17	12	3	2	7	9	16
25	9	7	3	4	16	9	17
26	18	6	15	2	17	11	18
27	19	6	10	2	7	11	8
28	20	6	16	11	14	14	6
29	9	7	3	4	18	9	9
30	21	13	17	2	19	16	19
31	22	14	18	3	20	4	20
32	9	13	3	4	7	17	9
33	2	2	2	2	5	2	2
34	9	15	3	11	12	9	21
35	9	7	3	2	7	9	9
36	23	16	19	12	21	18	22
37	24	6	20	11	22	8	8
38	3	3	4	2	3	3	23
39	5	17	6	2	23	19	24
40	1	1	6	2	1	30	36
41	25	10	21	9	25	21	25
42	26	18	22	13	20	22	25
43	27	19	23	9	26	23	26
44	28	20	9	2	7	7	6
45	2	17	6	2	5	2	2
46	12	8	6	7	27	13	12
47	29	21	7	2	7	11	6
48	30	22	24	2	5	20	27
49	1	23	6	2	1	1	28
50	5	17	25	2	23	19	24
51	9	11	3	14	7	10	9
52	16	6	8	11	14	24	7
53	28	20	26	2	24	25	6
54	31	6	8	2	7	7	7
55	32	6	7	2	7	11	8
56	38	10	14	16	30	28	26
57	11	6	10	2	9	26	8
58	14	6	13	2	12	24	14
59	25	10	28	9	25	21	25
60	28	6	20	2	32	8	34
61	33	6	10	2	7	11	8
62	34	24	27	15	28	27	29
63	35	13	1	2	19	16	30
64	36	6	31	2	12	29	6
65	37	4	5	3	4	4	4
66	39	26	18	3	31	4	32
67	40	25	29	3	29	4	31
68	41	7	3	4	7	9	33
69	42	13	3	4	7	17	9
70	43	27	30	3	33	4	35
71	30	22	1	2	7	20	27
72	34	24	32	15	34	27	29
73	3	3	33	17	3	3	3
74	45	29	32	2	35	8	6
75	12	30	6	7	36	31	12
76	46	31	34	18	38	32	37
77	47	32	8	2	12	29	38
78	9	7	3	4	12	9	9
79	48	7	9	19	39	34	6
