ST	abcZ	bglA	cat	dapE	dat	ldh	lhkA	CC	Lineage
1	3	1	1	1	3	1	3	CC1	I
2	1	1	11	11	2	1	5	CC2	I
3	4	4	4	3	2	1	5	CC3	I
4	1	2	12	3	2	5	3	CC4	I
5	2	1	11	3	3	1	7	CC5	I
6	3	9	9	3	3	1	5	CC6	I
7	5	8	5	7	6	2	1	CC7	II
8	5	6	2	9	5	3	1	CC8	II
9	6	5	6	4	1	4	1	CC9	II
10	3	1	20	1	3	1	3	CC1	I
11	7	6	10	6	1	2	1	CC11	II
12	5	8	5	7	6	22	1	CC7	II
13	7	6	17	6	10	8	1	ST13	II
14	8	6	13	6	5	2	1	CC14	II
15	8	13	13	6	5	2	1	CC14	II
16	5	6	2	7	5	2	1	CC8	II
17	14	6	2	7	5	2	1	CC8	II
18	7	6	15	18	12	6	1	CC18	II
19	7	6	19	6	1	24	1	CC19	II
20	17	13	3	6	5	7	1	CC20	II
21	7	7	3	10	5	6	1	CC21	II
22	7	7	3	10	5	13	1	CC21	II
23	5	8	5	7	6	25	1	CC7	II
24	5	8	5	22	6	2	1	CC7	II
25	7	6	8	8	6	278	1	CC121	II
26	5	10	8	21	6	2	1	CC26	II
27	5	10	8	21	6	16	1	CC26	II
28	104	6	8	8	6	37	1	CC121	II
29	15	10	18	18	1	3	1	CC29	II
30	5	6	2	9	81	3	1	CC8	II
31	7	14	10	19	9	8	1	CC31	II
32	1	18	27	2	4	1	5	ST32	I
33	7	88	106	102	1	249	1	CC33	II
34	6	5	6	4	1	15	1	CC9	II
35	6	5	6	20	1	4	1	CC9	II
36	16	5	8	7	13	4	1	ST36	II
37	5	7	3	5	1	8	6	CC37	II
38	7	15	15	8	11	14	9	CC101	II
39	4	4	4	3	2	10	5	CC3	I
40	5	8	5	165	6	2	1	CC7	II
41	4	4	4	3	2	12	5	CC3	I
42	4	4	4	3	2	17	5	CC3	I
43	143	21	40	167	55	307	16	CC43	L. innocua
44	4	4	4	3	2	11	5	CC3	I
45	13	4	4	3	2	1	5	CC3	I
46	4	4	4	3	2	1	10	CC3	I
47	4	4	12	15	2	1	5	ST47	I
48	1	1	11	11	2	28	5	CC2	I
49	1	2	12	3	2	320	3	CC4	I
50	1	1	11	11	2	1	8	CC2	I
51	1	1	11	3	2	1	5	CC2	I
52	2	1	11	169	3	1	7	CC5	I
53	1	16	12	23	2	1	11	CC53	I
54	1	1	12	17	2	1	3	CC54	I
55	1	2	12	3	2	18	3	CC4	I
56	7	6	15	18	12	6	117	CC18	II
57	1	2	12	3	3	5	5	CC4	I
58	1	3	7	176	4	1	2	CC220	I
59	11	1	12	16	3	1	7	CC59	I
60	11	1	12	16	5	1	7	CC59	I
61	3	1	1	1	3	321	3	CC1	I
62	3	1	1	1	14	1	3	CC1	I
63	3	1	1	1	3	9	3	CC1	I
64	3	1	1	1	3	23	3	CC1	I
65	3	1	1	1	3	29	3	CC1	I
66	4	4	4	3	2	28	5	CC3	I
67	1	1	11	11	2	9	5	CC2	I
68	4	4	4	3	2	9	5	CC3	I
69	19	17	22	25	15	33	12	CC69	III
70	20	11	23	27	16	34	13	CC70	III
71	18	11	21	24	17	35	13	CC131	III
72	19	17	22	25	15	36	12	CC69	III
73	3	1	1	1	3	11	3	CC1	I
74	18	11	23	27	16	34	13	CC70	III
75	4	12	4	15	3	1	2	CC195	I
76	5	6	8	8	6	37	1	CC121	II
77	11	9	11	15	3	1	2	CC77	I
78	147	5	6	4	1	4	1	CC9	II
79	3	1	1	1	3	12	3	CC1	I
80	3	9	9	3	3	30	5	CC6	I
81	3	9	9	3	3	21	5	CC6	I
82	3	6	9	3	5	1	5	ST82	I
83	3	9	9	3	3	1	119	CC6	I
84	148	10	16	7	5	2	1	CC155	II
85	5	8	5	7	6	38	1	CC7	II
86	7	6	24	6	1	2	1	CC11	II
87	12	1	4	14	3	39	4	CC87	I
88	12	12	12	1	3	1	4	CC88	I
89	7	6	25	28	5	2	1	CC89	II
90	21	6	26	8	6	2	14	CC90	II
91	7	6	15	6	5	2	1	CC14	II
92	5	8	5	7	6	40	1	CC7	II
93	5	10	8	21	6	41	1	CC26	II
94	149	0	152	0	114	322	118	ST94	L. aquatica
95	3	18	27	3	4	9	5	CC315	I
96	3	18	27	3	4	43	5	CC315	I
97	7	6	15	18	12	44	1	CC18	II
98	5	8	5	7	6	45	1	CC7	II
99	5	8	5	182	6	2	1	CC7	II
100	1	1	11	11	2	46	5	CC2	I
101	7	15	15	8	6	14	9	CC101	II
102	3	18	27	3	4	11	5	CC315	I
103	7	15	15	8	6	47	9	CC101	II
104	3	1	1	1	18	48	3	CC1	I
105	5	8	5	7	6	49	1	CC7	II
106	5	8	5	7	6	50	1	CC7	II
107	5	8	5	7	6	41	1	CC7	II
108	7	6	8	8	6	51	1	CC121	II
109	7	15	15	8	6	52	9	CC101	II
110	6	5	28	4	1	4	1	CC9	II
111	5	8	5	7	6	53	1	CC7	II
112	7	15	15	8	6	54	9	CC101	II
113	7	15	15	8	6	55	9	CC101	II
114	7	15	15	8	6	56	9	CC101	II
115	6	5	6	4	1	57	1	CC9	II
116	5	8	5	7	6	58	1	CC7	II
117	4	4	4	3	2	59	5	CC3	I
118	1	2	12	3	2	60	3	CC4	I
119	3	1	1	1	18	61	3	CC1	I
120	5	6	2	29	5	3	1	CC8	II
121	7	6	8	8	6	37	1	CC121	II
122	6	5	6	4	1	62	1	CC9	II
123	6	5	6	4	1	63	1	CC9	II
124	23	5	10	30	6	6	1	CC124	II
125	1	2	12	3	2	64	3	CC4	I
126	5	8	5	7	6	65	15	CC7	II
127	133	120	137	164	95	323	101	CC127	L. ivanovii londoniensis
128	1	2	12	3	2	67	3	CC4	I
129	90	24	155	189	117	244	66	ST129	L. welshimeri
130	19	17	22	25	15	68	12	CC69	III
131	18	11	21	24	17	31	13	CC131	III
132	25	20	30	32	20	20	16	CC132	L. innocua
133	26	21	30	33	21	69	17	CC133	L. innocua
134	3	1	1	34	3	11	3	CC1	I
135	27	22	31	24	22	70	13	ST135	III
136	19	17	22	25	15	71	12	CC69	III
137	1	9	11	11	3	1	5	ST137	I
138	6	5	6	4	1	72	1	CC9	II
139	152	21	33	190	45	19	16	ST139	L. innocua
140	28	23	33	35	23	74	16	CC140	L. innocua
141	7	10	16	7	5	75	1	CC155	II
142	7	6	19	6	1	76	1	CC19	II
143	7	15	15	8	6	77	9	CC101	II
144	22	11	21	24	17	31	13	CC131	III
145	1	1	11	11	2	12	5	CC2	I
146	1	2	12	3	2	78	3	CC4	I
147	1	24	12	23	2	1	11	CC53	I
148	19	17	34	25	15	79	12	CC69	III
149	7	15	15	8	6	80	9	CC101	II
150	3	1	1	1	18	81	3	CC1	I
151	3	1	1	1	18	9	3	CC1	I
152	25	20	30	32	20	82	16	CC132	L. innocua
153	5	8	5	36	6	22	1	CC7	II
154	17	1	3	6	5	7	1	CC20	II
155	7	10	16	7	5	2	1	CC155	II
156	12	12	12	1	3	10	4	CC88	I
157	29	25	35	37	24	83	1	CC157	III
