ST	terL	mcp	mtp	tmp	lys	clonal_complex
1	1	1	1	1	1	
2	2	2	2	2	2	
3	3	3	3	3	3	
4	4	3	4	4	1	
5	5	4	5	5	4	
6	6	5	6	6	5	
7	7	6	7	7	6	
8	8	7	8	8	6	
9	8	8	9	9	6	
10	7	8	9	9	6	
11	9	9	10	10	7	
12	4	3	11	11	1	
13	10	10	12	12	8	
14	11	11	13	13	9	
15	12	12	14	14	10	
16	12	13	15	15	11	
17	54	54	50	18	61	
18	14	14	16	16	12	
19	14	15	17	40	41	
20	15	16	18	17	13	
21	13	56	54	53	62	
22	16	17	20	19	15	
23	12	18	21	20	16	
24	17	19	22	21	17	
25	18	13	23	22	18	
26	19	22	22	23	19	
27	19	22	24	23	20	
28	52	21	46	50	37	
29	20	23	25	24	21	
30	21	24	26	25	22	
31	22	24	26	25	23	
32	23	1	27	26	24	
33	24	25	28	27	25	
34	25	26	29	28	26	
35	26	27	30	29	27	
36	27	28	31	30	28	
37	28	29	32	31	29	
38	19	22	22	21	43	
39	29	25	33	33	31	
40	30	31	15	19	11	
41	31	32	34	34	32	
42	31	32	35	34	32	
43	31	32	34	35	32	
44	31	32	35	35	32	
45	24	25	17	27	25	
46	27	28	31	30	33	
47	10	20	36	12	34	
48	32	33	37	36	35	
49	34	35	39	38	14	
50	10	10	12	12	36	
51	14	14	40	27	30	
52	11	3	15	39	10	
53	57	55	51	62	58	
54	55	57	52	6	63	
55	14	15	17	27	38	
56	56	30	53	51	64	
57	35	36	41	41	39	
58	36	14	16	32	30	
59	14	38	17	45	41	
60	33	34	38	37	42	
61	37	37	42	43	40	
62	14	38	16	44	41	
63	32	33	37	42	35	
64	14	38	17	44	41	
65	58	52	48	63	59	
66	38	23	43	49	65	
67	39	39	29	48	44	
68	39	39	29	28	44	
69	53	53	49	64	60	
70	44	45	46	59	52	
71	10	20	9	9	34	
72	42	42	37	42	47	
73	41	41	19	52	46	
74	35	43	41	41	39	
75	12	19	22	21	17	
76	43	44	44	57	50	
77	16	17	45	58	51	
78	14	14	16	32	30	
79	34	35	39	38	55	
80	14	49	16	16	30	
81	40	40	26	47	45	
82	14	14	16	54	30	
83	49	37	42	55	48	
84	22	24	26	46	23	
85	15	16	18	17	78	
86	49	37	42	43	48	
87	45	46	21	20	16	
88	46	17	45	60	53	
89	47	47	47	61	54	
90	48	48	22	56	49	
91	50	15	17	32	56	
92	14	50	16	54	30	
93	51	51	15	39	57	
94	14	15	17	68	12	
95	59	19	55	65	66	
96	14	15	17	16	12	
97	48	72	22	56	49	
98	14	14	16	70	67	
99	15	16	18	67	14	
100	72	73	66	82	79	
101	15	16	18	17	14	
102	14	60	17	16	12	
103	14	58	16	32	30	
104	10	59	12	12	8	
105	14	15	17	69	12	
106	10	20	56	71	14	
107	75	79	69	88	84	
108	60	10	12	12	8	
109	37	37	42	55	40	
110	61	18	21	20	16	
111	63	61	58	72	68	
112	62	62	57	73	69	
113	14	14	16	32	12	
