ST	Mab_argH	Mab_cya	Mab_gnd	Mab_murC	Mab_pta	Mab_purH	Mab_rpoB	clonal_complex
1	2	1	1	2	2	3	1	3
2	4	1	1	2	7	4	4	8
3	5	1	1	4	5	6	1	4
4	2	1	7	2	9	2	4	12
5	3	1	4	3	1	2	1	1
6	3	1	4	8	1	2	1	1
7	3	1	4	3	1	2	3	1
8	3	1	4	5	1	2	1	1
9	1	2	1	2	4	4	1	11
10	4	2	1	7	10	2	1	13
11	1	2	3	1	3	1	2	2
12	1	2	1	2	2	5	1	7
13	3	2	4	3	1	2	1	1
14	1	2	5	1	2	1	2	9
15	1	2	6	6	2	1	2	9
16	1	3	1	2	6	5	1	7
17	1	3	2	1	3	1	2	2
18	1	3	2	1	2	1	2	2
19	1	3	3	1	3	1	2	2
20	1	3	3	1	2	1	2	2
21	1	4	3	2	8	2	1	10
22	4	4	3	2	11	7	1	6
23	1	4	3	2	11	7	1	6
24	1	4	3	2	2	4	1	5
25	6	4	3	2	2	4	1	5
26	1	4	3	2	2	7	1	5
27	4	4	4	2	11	7	1	
28	1	1	3	2	12	2	1	
29	1	1	3	2	2	7	1	
30	9	4	3	2	1	7	5	
31	10	1	8	2	15	5	1	
32	1	2	1	2	10	5	1	
34	4	5	1	2	10	2	1	
35	1	2	3	2	2	7	1	
36	1	4	3	2	13	4	1	
38	1	1	4	2	4	4	1	
40	3	4	3	2	4	4	1	
43	4	2	1	2	10	2	1	
44	10	2	1	7	18	8	6	
45	2	1	3	2	19	9	2	
47	4	5	1	2	10	5	1	
48	4	1	1	2	10	2	1	
49	10	1	1	2	20	7	1	
50	1	2	3	2	2	2	4	
51	1	4	1	2	22	4	1	
62	1	4	3	2	4	4	1	
88	1	4	3	2	13	2	1	
90	1	2	3	2	6	4	1	
91	11	4	3	2	2	7	1	
92	1	2	10	2	2	1	4	
94	12	1	3	9	2	2	2	
95	1	1	4	2	2	4	1	
96	1	4	3	2	1	4	1	
97	7	2	11	2	7	2	1	
98	7	2	3	2	7	2	1	
99	1	12	3	2	11	7	1	
100	1	3	1	2	10	2	1	
101	7	2	11	2	9	2	1	
105	3	2	1	2	30	2	1	
106	13	5	1	2	10	2	1	
107	1	14	3	2	4	4	1	
108	1	2	3	2	15	2	4	
111	1	2	3	2	31	7	1	
125	1	1	12	2	15	2	5	
126	10	16	1	10	2	8	5	
136	14	1	3	2	7	2	1	
139	1	4	1	2	12	5	1	
143	1	4	3	2	2	2	1	
145	10	2	1	2	7	10	4	
147	1	17	3	2	16	2	1	
149	2	2	7	1	9	3	1	
152	1	1	3	2	2	4	1	
158	1	4	1	2	33	4	1	
162	1	2	7	1	7	2	1	
163	2	3	7	2	9	3	1	
167	1	1	3	11	2	7	1	
171	1	2	1	2	4	11	1	
174	15	2	13	7	34	2	1	
177	15	1	13	2	2	2	1	
180	1	14	3	2	4	12	1	
184	12	1	3	2	1	4	5	
186	1	2	1	2	35	2	4	
187	12	2	14	2	9	4	5	
191	1	2	1	2	7	5	5	
193	10	2	1	2	2	7	1	
194	10	2	3	2	36	9	2	
202	10	12	1	2	9	13	2	
206	1	14	3	2	4	14	1	
217	10	4	1	2	2	1	1	
227	1	2	1	2	7	4	5	
228	2	12	1	2	2	8	4	
237	10	2	1	2	9	2	1	
245	1	4	3	2	22	4	1	
262	12	1	1	2	9	2	1	
265	1	2	10	2	3	2	1	
267	10	1	1	2	2	7	1	
270	15	1	3	1	1	9	1	
273	1	2	10	1	2	1	2	
274	10	2	3	2	2	7	1	
275	1	15	3	2	2	2	1	
276	10	2	1	9	25	9	1	
280	1	2	10	2	3	1	4	
281	1	2	10	2	2	1	2	
284	15	2	10	2	2	1	1	
289	4	5	1	2	10	7	5	
298	10	2	1	2	2	3	5	
303	2	2	10	2	9	2	1	
307	2	1	1	2	7	9	1	
