ST	dnaA	gltX	gyrB	metS	tufA	clonal_complex
1	1	1	1	1	1	
2	1	1	1	2	1	
3	1	1	1	2	2	
4	1	1	2	2	1	
5	1	1	2	2	2	
6	1	1	2	4	1	
7	3	1	2	2	2	
8	1	2	2	3	1	
9	1	3	1	2	1	
10	2	1	2	2	1	
11	2	1	2	2	3	
12	4	4	3	5	4	
13	5	1	2	2	1	
14	5	1	2	2	3	
15	6	5	4	6	5	
16	7	1	2	2	2	
17	8	1	2	2	2	
18	1	6	2	2	2	
19	19	1	17	15	15	
20	17	15	12	16	12	
21	20	16	13	17	5	
22	4	17	14	18	16	
23	6	1	15	21	5	
24	18	1	16	14	13	
25	18	18	16	14	13	
26	6	19	3	19	14	
27	20	20	18	20	5	
28	1	12	2	2	2	
29	14	11	8	11	10	
30	15	13	10	12	11	
31	16	14	11	13	6	
32	1	1	9	2	2	
33	1	21	19	2	1	
34	1	21	2	2	1	
35	21	1	1	2	1	
