ST	atpG	fusA	pgiB	plsY	uvrA
1	1	1	1	1	1
2	2	2	2	2	2
3	2	2	2	8	2
4	2	2	5	8	6
5	2	5	9	13	9
6	2	12	15	19	16
7	3	2	2	7	2
8	3	2	5	8	2
9	3	2	12	8	2
10	3	3	3	3	3
11	3	5	12	24	10
12	3	10	21	8	2
13	3	10	21	8	25
14	3	16	5	28	2
15	4	2	2	23	2
16	4	4	4	4	4
17	5	5	5	5	3
18	6	6	6	6	5
19	7	2	5	9	2
20	7	2	12	8	10
21	7	2	12	8	19
22	7	2	12	9	10
23	7	2	12	25	2
24	7	2	12	28	6
25	7	10	5	8	2
26	7	10	5	8	18
27	7	10	11	9	10
28	7	18	5	28	6
29	8	5	6	10	4
30	9	7	7	11	7
31	10	8	8	12	8
32	11	9	10	9	3
33	12	10	5	9	10
34	13	5	2	2	11
35	14	6	6	14	12
36	15	11	9	15	3
37	16	6	17	15	3
38	16	12	11	16	13
39	17	2	13	17	14
40	18	13	14	18	15
41	19	5	2	2	2
42	20	14	16	4	17
43	21	3	18	20	3
44	22	5	2	2	2
45	23	10	2	21	6
46	24	2	2	2	19
47	25	10	11	22	20
48	26	10	2	8	2
49	27	2	2	23	2
50	28	15	2	26	21
51	29	10	19	8	22
52	30	2	2	27	23
53	30	10	12	8	2
54	31	10	11	28	2
55	32	10	5	28	6
56	33	12	13	29	24
57	34	10	11	28	25
58	35	6	20	29	26
59	36	10	11	28	6
60	37	5	22	30	27
61	38	12	13	31	24
62	38	17	13	31	3
63	39	8	2	17	2
64	40	19	23	32	28
65	41	20	24	33	29
66	41	20	29	33	34
67	42	21	25	34	30
68	43	22	26	35	31
69	44	19	27	36	32
70	45	23	28	37	33
71	46	24	30	38	35
72	46	24	30	38	36
73	47	8	31	39	37
74	48	25	32	40	38
75	49	20	29	33	34
76	50	26	2	41	4
