ST	adh1	gltX	gpsA	gyrB	pta2	tdk	tkt	clonal_complex
1	4	3	2	3	5	2	4	
2	4	3	3	3	4	3	4	
3	5	3	3	3	3	3	4	
4	4	3	3	3	5	2	4	
5	4	3	3	3	2	3	6	
6	4	3	3	3	2	3	4	
7	4	3	3	5	2	2	6	
8	4	4	3	3	2	3	7	
9	4	3	3	3	2	2	6	
10	4	3	2	3	5	3	4	
11	4	3	1	5	5	2	4	
12	4	3	3	3	5	3	6	
13	5	3	1	5	5	2	4	
14	1	2	1	3	5	1	3	
15	3	1	3	1	2	3	4	
16	1	3	1	3	5	3	4	
17	3	2	4	2	1	3	2	
18	1	2	1	4	5	1	3	
19	4	3	3	3	2	3	3	
20	4	2	1	2	5	1	2	
21	2	1	3	1	2	3	1	
22	4	2	1	2	5	1	3	
23	5	2	1	5	5	2	3	
24	5	2	1	5	5	2	4	
25	5	3	1	3	6	2	5	
26	4	3	2	3	5	4	4	
27	4	3	3	3	5	3	3	
28	4	3	2	2	5	3	4	
29	3	1	3	1	2	3	1	
30	4	3	3	3	5	3	4	
31	3	2	4	2	5	3	2	
32	4	5	2	3	5	3	4	
33	4	3	3	6	2	3	6	
34	4	3	3	3	2	3	8	
35	3	2	4	7	2	3	2	
36	4	3	3	8	2	3	6	
37	4	3	3	9	2	3	6	
38	3	3	3	3	2	3	6	
39	5	3	3	3	2	3	6	
40	3	3	3	3	2	3	3	
41	4	3	5	3	5	3	4	
42	1	2	1	2	5	1	2	
43	4	3	2	12	5	3	4	
44	4	7	3	11	5	3	4	
45	4	6	6	10	7	5	9	
46	6	3	4	13	8	3	10	
47	5	3	3	3	5	2	4	
48	4	3	2	5	5	3	11	
49	1	1	4	13	5	3	10	
50	4	3	1	3	2	2	4	
51	4	3	1	3	2	2	3	
52	4	3	1	3	5	3	4	
53	4	3	3	3	2	2	4	
54	4	3	4	3	2	3	4	
55	4	3	1	3	5	2	4	
56	8	3	1	3	2	2	3	
57	4	8	2	1	2	3	4	
58	4	3	3	14	2	3	4	
59	4	3	1	3	9	2	3	
60	1	3	2	3	2	3	6	
61	1	3	3	3	2	3	3	
62	1	3	3	3	2	3	6	
63	3	1	1	3	2	3	3	
64	3	1	1	3	5	3	3	
65	3	3	3	3	2	3	1	
66	3	3	3	3	5	3	3	
67	4	1	3	3	2	3	1	
68	4	2	1	3	5	1	3	
69	4	3	1	3	2	1	6	
70	4	3	1	3	2	3	6	
71	4	3	3	1	2	3	6	
72	4	3	3	3	1	3	6	
73	4	3	3	3	2	3	1	
74	8	3	3	1	2	3	6	
75	8	3	3	3	2	3	1	
76	8	3	3	3	2	3	6	
77	8	3	3	3	2	3	13	
78	4	3	3	3	10	3	6	
79	3	1	2	3	11	3	3	
80	9	3	3	3	2	3	1	
81	9	3	3	1	2	3	1	
82	7	3	2	3	5	3	4	
83	3	1	3	1	2	3	6	
84	10	3	3	3	2	3	3	
85	4	3	3	15	2	3	1	
86	4	3	3	3	12	3	6	
87	11	1	3	1	2	3	1	
88	4	9	2	3	2	3	4	
89	3	2	4	2	1	7	2	
90	4	3	8	1	2	3	1	
91	3	1	3	1	13	3	1	
92	3	1	3	1	2	8	1	
93	3	10	1	1	5	3	3	
94	4	3	3	5	2	2	3	
95	12	3	3	3	2	3	3	
96	1	1	3	1	2	3	3	
97	3	2	1	16	2	1	3	
98	1	2	2	3	5	3	12	
99	8	3	3	3	1	3	6	
100	8	3	3	3	2	3	12	
101	8	3	2	3	2	3	6	
102	7	1	7	2	14	6	10	
103	3	11	4	2	1	3	14	
104	4	3	3	3	2	3	15	
105	7	2	7	2	14	2	10	
106	8	3	2	3	5	3	4	
107	4	3	2	3	15	3	16	
108	4	3	9	13	5	3	4	
109	1	3	10	3	5	2	4	
110	4	3	3	17	5	3	18	
111	5	2	3	3	8	9	10	
112	4	13	2	3	5	3	4	
113	4	3	3	3	2	3	19	
114	4	3	2	18	5	3	4	
115	4	3	11	3	5	3	6	
116	4	12	2	3	5	3	17	
117	4	3	3	17	16	3	4	
118	4	8	2	1	2	3	20	
119	4	3	12	3	5	3	4	
120	3	3	3	3	4	3	4	
121	4	3	2	3	15	3	6	
122	4	2	3	3	5	3	4	
123	4	3	3	13	5	3	4	
124	3	1	4	13	2	3	10	
125	3	1	3	3	2	3	1	
126	4	2	2	3	5	3	4	
127	3	3	3	3	2	3	4	
128	4	3	2	3	5	3	6	
129	3	2	3	3	8	9	10	
130	4	3	2	13	5	3	4	
131	1	1	1	3	2	3	6	
132	4	1	2	1	2	3	4	
133	4	3	3	5	2	2	4	
134	4	3	2	3	17	3	4	
135	4	3	2	3	2	3	6	
136	4	3	3	19	2	2	4	
137	13	14	6	20	18	10	21	
