ST	ack	cpn60	fdh	pta	purA	sar	tuf	clonal_complex
1	1	1	1	1	1	1	1	
2	11	12	11	9	2	2	3	
3	9	8	3	7	7	1	5	
4	9	9	9	5	8	1	1	
5	4	3	4	3	4	2	3	
6	5	4	5	4	2	3	3	
7	13	1	1	8	1	1	2	
8	9	1	9	1	1	1	1	
9	14	14	3	2	2	4	2	
10	8	7	8	5	6	3	2	
11	9	1	9	8	1	1	1	
12	6	5	6	5	5	2	4	
13	10	10	10	2	8	7	5	
14	12	11	3	5	8	2	2	
15	13	13	12	1	8	6	1	
16	2	2	2	12	2	2	2	
17	3	7	3	2	3	2	2	
18	4	15	13	11	9	5	3	
19	15	15	14	10	2	2	2	
20	7	6	7	6	2	2	3	
21	16	13	15	5	2	3	5	
22	13	13	12	1	10	6	1	
23	17	9	1	5	8	1	5	
24	13	14	5	13	1	1	2	
25	4	16	2	5	2	8	3	
26	20	17	16	8	12	9	5	
27	9	1	1	1	8	1	1	
28	9	18	1	10	8	1	7	
29	8	7	17	13	2	3	8	
30	22	9	9	5	8	1	9	
31	8	6	18	13	8	11	10	
32	8	6	18	13	8	11	11	
33	18	1	3	1	1	1	1	
34	13	10	1	13	1	1	1	
35	13	17	1	1	11	1	5	
36	19	1	1	1	5	1	1	
37	2	5	3	5	8	2	2	
38	13	1	1	8	1	1	3	
39	20	9	1	8	8	1	5	
40	9	9	1	7	8	12	5	
41	3	7	21	16	8	2	2	
42	21	17	20	5	11	9	1	
43	13	17	24	1	1	6	1	
44	13	19	24	1	1	6	1	
45	8	7	3	14	2	14	2	
46	23	10	8	15	8	7	12	
47	25	16	5	10	8	2	3	
48	28	7	10	10	8	13	5	
49	18	1	9	13	1	1	1	
50	2	5	19	13	8	2	3	
51	3	5	3	5	8	2	2	
52	24	7	3	2	3	2	2	
53	18	1	25	1	1	1	1	
54	13	13	1	13	7	15	2	
55	20	17	20	8	11	9	5	
56	7	20	19	11	2	2	3	
57	17	9	9	5	8	1	7	
58	20	17	20	8	11	9	6	
59	3	2	23	17	8	14	5	
60	13	15	1	8	1	1	2	
61	13	13	1	13	7	6	2	
62	20	15	16	8	11	9	5	
63	9	17	1	8	11	1	1	
64	3	10	10	2	8	2	2	
65	8	16	5	10	8	2	3	
66	4	15	5	5	9	2	3	
67	26	17	16	8	14	9	5	
68	27	16	22	10	8	2	3	
69	13	1	1	1	7	1	1	
70	6	15	26	11	2	7	3	
71	29	7	8	5	8	2	2	
72	9	8	1	2	7	1	5	
73	2	12	3	13	2	4	2	
74	10	7	10	10	15	16	5	
75	28	7	10	13	16	4	5	
76	18	15	9	5	13	1	1	
77	30	21	27	18	17	17	13	
78	33	10	29	20	8	2	2	
79	8	7	21	2	2	2	2	
80	31	5	8	13	8	2	3	
81	31	22	28	19	18	15	14	
82	4	15	19	21	2	2	3	
83	34	1	9	1	1	1	1	
