ST	abcZ	adk	efp	fumC	glyBeta	mutY	ppa	trpE
1	1	1	1	1	1	1	1	1
2	2	2	2	2	2	2	2	2
3	2	2	2	3	2	2	2	2
4	3	3	3	4	3	3	3	2
5	4	4	4	5	4	4	4	1
6	5	5	1	6	5	5	5	3
7	5	6	1	6	5	5	5	3
8	2	6	2	2	3	6	6	2
9	6	3	3	7	6	3	3	2
10	7	7	5	8	7	7	7	4
11	3	8	2	9	8	8	8	5
12	8	8	6	10	9	9	9	2
13	9	9	6	7	10	9	3	2
14	4	10	7	11	11	10	3	1
15	9	6	2	3	10	9	9	2
16	10	6	1	12	11	11	10	6
17	11	10	8	12	11	12	11	1
18	12	11	9	13	12	13	12	7
19	13	12	10	14	13	10	13	8
20	8	13	2	2	14	14	14	2
21	14	14	6	2	15	15	8	2
22	15	4	11	5	16	16	15	3
23	16	15	1	15	12	17	16	9
24	8	3	6	2	17	9	3	2
25	3	3	3	4	18	3	3	2
26	3	8	2	3	6	18	3	2
27	17	16	2	3	19	3	3	2
28	9	6	6	9	10	9	3	2
29	18	17	12	2	20	3	3	2
30	8	3	2	7	21	8	3	2
31	3	18	2	3	6	18	17	2
32	3	3	3	4	6	15	17	2
33	3	3	2	2	17	9	17	2
34	3	18	2	3	6	18	3	2
35	8	6	2	7	10	9	9	2
36	8	6	3	16	22	19	3	2
37	19	15	13	17	23	20	18	3
38	3	18	2	3	6	18	2	2
39	17	19	12	2	24	21	3	2
40	9	20	2	7	10	9	3	2
41	2	8	2	18	20	22	2	2
42	3	3	6	2	15	15	8	2
43	2	6	12	2	20	6	3	2
44	8	3	2	4	21	9	3	2
45	20	21	14	19	12	23	19	10
46	21	4	7	12	25	24	20	11
47	22	22	12	3	6	3	21	2
48	23	4	15	5	26	25	4	12
49	24	23	12	4	20	18	3	2
50	25	18	3	4	3	9	3	2
51	17	3	6	3	27	26	3	2
52	15	4	11	5	28	16	22	1
53	22	22	12	7	29	3	3	2
54	8	24	3	7	30	3	23	2
55	24	25	2	7	20	9	3	2
56	3	18	6	3	31	15	17	2
57	9	6	2	20	32	3	3	2
58	2	6	12	2	20	6	24	2
59	17	3	12	3	24	26	3	2
60	3	3	2	3	2	27	17	2
61	2	18	2	3	14	28	3	2
62	8	26	2	3	2	22	25	2
63	17	8	2	7	33	9	9	2
64	2	17	12	2	3	3	3	2
65	2	2	2	3	10	2	2	2
66	26	6	16	7	10	29	9	2
67	2	17	2	3	3	3	3	2
68	2	3	2	3	14	28	3	2
69	27	6	2	4	2	30	3	2
70	28	3	2	3	31	31	21	2
71	8	8	2	4	24	9	17	2
72	24	6	3	2	20	3	3	2
73	2	3	2	3	2	19	17	2
74	29	2	2	3	34	29	21	2
75	3	6	2	4	35	3	3	2
76	8	8	2	9	36	3	2	2
77	26	8	2	7	34	32	3	2
78	28	3	2	2	31	31	2	2
79	2	17	12	3	20	3	3	2
80	9	20	2	7	10	3	3	2
81	2	2	2	3	37	2	2	2
82	3	18	3	4	3	9	3	2
83	25	18	6	4	3	9	3	2
84	2	9	2	2	20	3	3	2
85	2	2	12	3	2	2	2	2
86	9	6	6	7	10	6	8	2
87	9	6	2	4	10	9	9	2
88	30	18	17	12	38	23	26	8
89	3	19	3	9	39	33	3	2
90	5	27	18	21	40	34	27	13
91	2	28	3	3	6	3	3	2
92	8	3	3	4	14	9	28	2
93	8	25	3	2	3	35	3	2
94	9	6	3	7	10	9	9	2
95	31	25	12	7	29	3	3	2
96	9	6	3	7	41	3	3	2
97	8	3	2	2	21	9	3	2
98	24	25	12	7	20	6	3	2
99	2	6	2	20	32	3	3	2
100	9	18	3	4	3	9	8	2
101	8	8	2	4	20	3	3	2
102	31	22	3	7	29	3	3	2
103	9	2	2	7	10	3	3	2
104	31	3	3	3	14	36	3	2
105	8	25	12	2	37	9	3	2
106	2	18	3	7	6	3	3	2
107	9	3	3	4	29	9	3	2
108	2	2	2	7	42	3	3	2
109	3	20	6	7	43	37	29	2
110	8	2	2	3	2	2	2	2
111	17	8	3	7	33	9	2	2
112	8	6	3	2	22	19	3	2
113	2	17	11	2	36	31	3	2
114	8	18	3	4	44	3	3	2
115	32	3	12	3	24	26	3	2
116	33	29	19	22	45	38	30	14
117	24	28	2	4	20	39	3	2
118	2	25	2	3	46	9	3	2
119	8	3	20	23	6	26	3	2
120	34	25	6	24	21	3	3	2
121	2	23	12	9	47	3	3	2
122	34	18	6	24	48	9	3	2
123	2	2	2	3	2	2	24	2
124	35	1	1	25	49	12	31	3
125	27	8	2	9	6	40	3	2
126	36	6	12	2	50	41	3	2
127	37	29	21	26	51	42	32	15
128	8	30	2	7	32	3	3	2
129	23	31	1	5	52	43	33	3
130	8	3	6	9	2	22	3	2
131	34	25	3	7	6	3	3	2
132	2	2	2	3	53	3	3	2
133	2	2	2	7	54	3	3	2
134	8	3	2	2	20	9	8	2
135	3	25	12	2	37	9	3	2
136	2	17	22	3	36	31	34	2
137	2	3	23	7	42	3	35	2
138	9	18	3	4	3	9	3	2
139	11	10	8	12	55	12	11	1
140	38	15	24	15	12	44	16	3
141	2	6	2	2	20	3	3	2
142	39	6	2	2	20	3	3	2
143	40	3	3	7	6	3	36	2
144	8	24	25	7	30	3	23	2
145	41	32	14	27	56	45	37	1
146	2	6	2	4	57	22	8	2
147	2	8	6	3	14	28	3	2
148	22	22	2	18	29	9	3	2
149	2	6	2	3	14	28	3	2
150	8	33	6	3	27	3	3	2
151	9	8	12	7	2	9	2	2
152	22	22	12	18	29	3	3	2
153	42	34	3	4	58	32	38	2
154	34	2	6	3	6	3	8	2
155	43	35	1	28	49	46	39	3
156	22	22	2	18	29	47	3	2
157	2	23	2	3	20	2	2	2
158	44	18	26	4	20	2	3	2
159	8	36	2	29	34	3	3	2
160	3	18	3	3	6	18	17	2
161	8	8	2	3	2	3	3	2
162	2	2	12	7	20	6	3	2
163	31	22	6	7	29	48	3	16
164	8	17	6	3	27	3	3	2
165	48	18	2	30	6	18	17	2
166	28	34	3	20	31	31	21	2
167	8	3	2	3	32	3	3	2
168	49	2	2	9	43	3	3	2
169	38	4	27	5	59	25	40	1
170	45	37	15	5	60	49	4	12
171	46	21	14	19	12	23	19	10
172	34	3	6	3	6	3	8	2
173	3	18	3	4	3	3	3	2
174	27	6	2	4	6	30	3	2
175	47	10	8	12	11	50	11	1
176	9	8	3	7	14	3	3	2
177	22	3	2	18	29	31	3	2
178	9	3	6	7	27	6	3	2
179	3	22	6	2	17	9	25	2
180	2	6	3	2	20	3	3	2
181	3	3	6	7	15	15	9	2
182	8	6	12	2	50	26	2	2
183	9	3	2	3	37	19	9	2
184	8	25	6	4	57	22	2	2
185	50	25	12	3	37	52	3	2
187	8	26	2	3	2	22	41	2
188	3	3	6	9	3	22	8	2
189	2	2	2	3	2	19	9	2
190	22	22	3	18	29	3	3	2
191	52	8	2	2	46	15	42	2
192	3	34	2	3	14	18	3	2
193	34	3	2	4	6	3	8	2
194	2	6	12	2	50	19	3	2
195	28	3	2	3	31	31	3	2
196	9	6	2	7	10	6	3	2
197	8	3	6	2	17	9	17	2
198	28	26	2	3	2	22	25	2
199	8	8	2	3	2	3	9	2
200	22	22	2	18	29	31	8	2
201	22	22	2	19	29	31	3	2
202	9	6	2	7	10	9	9	2
203	9	6	12	20	32	3	3	2
205	22	9	2	18	29	31	3	2
206	50	3	2	2	20	3	3	2
207	2	26	2	9	2	18	17	2
208	51	10	28	12	11	51	10	6
209	9	6	3	7	20	9	9	2
210	2	8	6	3	14	22	3	2
211	8	28	2	3	21	3	43	2
212	2	3	29	9	57	22	3	2
214	38	15	24	15	12	11	16	1
215	2	2	2	9	2	18	17	2
216	25	18	3	4	6	9	3	2
217	8	18	12	3	29	3	3	2
218	8	26	2	3	2	3	25	2
219	10	10	1	12	11	11	10	6
220	2	3	2	2	15	3	3	2
221	3	2	6	2	15	15	8	2
222	29	2	2	7	31	29	3	2
224	53	3	2	3	57	3	3	2
226	8	18	2	4	57	22	2	2
227	3	3	2	9	57	3	3	2
293	9	17	2	3	76	2	3	2
294	8	6	12	2	50	3	49	2
295	8	48	2	7	32	3	3	2
296	8	49	12	2	77	26	17	2
297	8	6	2	2	50	64	3	2
298	2	2	2	3	17	3	3	2
299	8	49	12	2	50	66	2	2
300	8	3	33	2	17	9	17	2
301	8	3	2	3	37	31	3	2
302	27	25	3	7	57	3	51	2
303	59	33	3	9	43	3	52	2
304	58	12	8	33	78	65	50	19
305	8	20	6	3	6	3	3	2
306	8	6	12	2	50	66	10	2
307	8	6	12	2	50	66	49	2
308	34	3	6	3	6	3	6	2
309	9	8	2	7	14	3	3	2
310	24	8	3	2	79	31	3	2
311	8	6	12	2	50	3	2	2
312	3	22	34	9	8	3	8	2
313	38	12	8	33	78	65	50	19
314	2	2	12	4	20	6	3	2
315	8	25	2	9	57	67	3	2
316	2	3	2	3	80	19	9	2
317	3	17	6	3	81	3	3	2
318	2	19	2	3	82	3	34	2
319	8	3	2	9	57	67	3	2
320	60	3	3	2	57	31	3	2
321	53	22	2	3	6	3	3	2
322	60	50	3	2	57	31	3	2
323	53	3	2	3	57	3	53	2
324	8	3	2	2	20	31	3	2
325	2	8	2	18	20	22	2	20
326	28	38	2	3	20	3	21	2
327	61	28	3	3	14	36	17	2
328	53	3	2	2	57	3	3	2
329	2	51	2	3	2	2	2	2
330	2	2	2	3	2	3	25	2
331	2	2	2	3	2	9	25	2
332	2	3	2	2	17	15	8	2
333	2	3	2	3	37	19	9	2
334	2	3	2	3	57	3	3	2
335	2	3	2	9	2	18	17	2
336	2	6	3	2	17	3	3	2
337	2	8	12	3	36	3	2	2
338	2	17	12	3	3	3	3	2
339	2	19	2	3	17	28	34	2
340	2	19	2	3	43	28	34	2
341	2	19	12	2	3	3	3	2
342	2	25	2	3	2	2	2	2
343	2	25	2	7	24	3	3	2
344	2	36	3	3	43	3	17	2
345	3	2	3	4	3	28	3	2
346	3	3	2	7	57	3	3	2
347	3	19	2	2	17	15	8	2
348	3	38	2	2	17	15	8	2
349	8	3	3	3	43	3	3	2
350	8	6	2	9	21	9	3	2
351	9	3	3	7	39	9	17	2
352	9	6	16	3	37	19	9	2
353	9	8	3	3	39	3	3	2
354	28	3	12	3	31	31	21	2
355	28	8	3	3	43	3	3	2
356	36	3	2	4	3	9	3	2
357	39	19	2	3	17	41	8	2
358	53	3	2	3	3	3	3	2
359	53	3	2	9	57	3	3	2
360	28	3	2	3	20	68	2	2
361	2	3	2	2	82	28	34	2
362	2	3	2	3	82	28	34	2
363	2	19	2	3	82	28	34	2
364	3	3	20	3	6	28	8	2
365	3	19	2	2	82	28	8	2
366	8	3	20	7	29	3	8	2
367	28	3	2	3	83	68	2	2
368	58	52	8	33	78	65	50	19
370	22	9	2	18	29	69	3	2
371	8	6	3	2	77	26	3	2
372	3	8	6	3	14	28	3	2
373	62	54	35	36	84	70	55	21
374	22	22	2	18	29	31	3	2
375	63	53	38	35	86	73	54	24
376	64	56	37	38	87	72	57	23
377	65	55	36	37	85	71	56	22
378	66	41	15	5	26	25	4	12
379	38	10	24	15	12	44	16	3
380	38	4	27	5	59	25	40	3
381	8	6	3	2	50	19	3	2
382	4	4	11	5	88	1	58	1
383	38	15	39	15	12	44	16	3
384	5	11	8	6	28	74	59	7
385	67	57	40	12	89	51	60	12
386	8	18	12	3	90	22	2	2
387	68	41	15	39	26	25	4	12
388	8	6	3	2	20	26	3	2
389	24	9	2	3	2	15	3	2
390	8	25	6	2	37	9	3	2
391	31	22	6	7	29	3	3	16
392	3	8	34	9	8	8	8	5
393	11	10	8	12	11	75	11	1
394	8	3	2	2	17	15	8	2
395	3	3	2	2	17	15	3	2
396	5	11	8	6	91	74	59	7
397	69	12	8	40	92	76	61	10
398	4	58	8	41	93	77	62	1
399	8	3	2	2	17	9	17	2
400	9	19	3	7	20	9	17	2
401	8	6	12	2	50	66	2	2
402	58	59	41	42	94	78	63	25
403	3	3	2	3	57	22	3	2
404	2	20	6	4	9	3	9	26
405	70	39	3	3	95	3	17	2
406	2	3	3	7	6	3	3	2
407	2	60	20	7	96	3	64	27
408	3	3	2	3	57	67	3	2
409	51	12	41	42	97	79	65	28
410	67	4	8	43	98	80	66	3
411	71	35	42	44	99	81	67	29
412	72	17	6	45	15	3	9	26
413	73	61	41	46	12	82	68	30
414	11	10	8	12	11	83	11	1
415	5	11	8	47	91	74	69	7
416	3	62	3	9	8	8	8	5
417	8	39	6	2	50	66	2	2
418	76	65	45	49	101	86	72	31
419	38	4	7	12	25	24	20	11
420	52	6	12	2	50	19	3	2
421	78	21	1	50	103	65	1	3
423	27	18	2	2	10	28	9	2
424	2	3	2	7	42	3	35	2
425	3	20	2	3	83	15	8	2
426	80	68	48	51	105	88	75	34
427	40	2	2	3	42	3	3	2
428	38	4	2	5	106	25	40	3
