ST	atpG	dppC	DUF3196	lgT	mraW	plsC	ugpA	clonal_complex
1	1	3	2	26	1	10	1	
2	6	15	5	3	5	16	7	
3	5	15	5	3	5	16	7	
4	5	15	5	4	6	15	7	
5	5	15	5	4	10	16	7	
6	5	19	5	4	5	16	7	
7	5	16	5	4	5	16	7	
8	5	23	5	4	5	16	7	
9	5	15	5	4	5	16	7	
10	8	6	10	19	12	14	9	
11	8	6	10	19	12	14	17	
12	8	2	10	6	12	14	9	
13	8	14	10	16	12	14	9	
14	2	28	10	6	12	14	9	
15	2	24	3	27	2	9	4	
16	2	28	3	6	2	9	4	
17	2	24	2	6	2	9	4	
18	2	24	2	6	3	17	4	
19	4	24	2	1	3	17	6	
20	4	24	2	1	4	17	6	
21	10	15	13	11	13	16	10	
22	1	5	2	26	1	10	1	
23	2	25	2	26	1	10	1	
24	15	10	18	18	1	10	9	
25	16	10	19	17	18	6	15	
26	2	12	6	24	8	9	16	
27	2	11	6	23	7	2	1	
28	2	20	15	12	15	5	12	
29	2	21	8	5	13	19	12	
30	12	11	16	13	9	19	10	
31	13	11	17	12	17	7	14	
32	18	13	20	21	20	18	20	
33	18	9	20	21	20	18	20	
34	18	9	20	21	20	18	19	
35	19	9	21	21	20	18	21	
36	17	13	20	20	19	18	18	
37	10	18	4	14	13	1	13	
38	3	27	4	2	2	8	5	
39	5	10	7	29	8	1	1	
40	5	1	1	22	8	1	1	
41	21	2	3	6	8	1	2	
42	21	2	3	25	8	1	2	
43	22	1	22	5	8	13	3	
44	5	8	8	9	9	12	1	
45	20	8	6	28	8	1	1	
46	5	8	6	15	16	4	1	
47	14	17	8	5	9	13	1	
48	10	26	8	5	9	13	1	
49	10	26	8	5	11	10	1	
50	10	26	8	5	14	10	1	
51	5	26	14	5	14	3	1	
52	10	11	12	9	11	13	1	
53	7	7	9	7	11	11	8	
54	9	4	11	8	11	16	10	
55	11	22	11	10	11	16	11	
56	2	3	4	30	21	20	22	
57	5	26	5	32	11	13	1	
58	1	24	2	31	1	10	6	
59	1	2	2	31	1	10	1	
60	5	26	5	30	12	13	1	
61	3	29	23	33	21	21	23	
62	3	30	23	34	21	21	23	
63	2	28	3	6	2	21	4	
64	3	29	23	34	21	21	23	
65	5	35	27	40	11	23	10	
66	24	32	25	36	23	10	25	
67	24	32	25	36	23	27	25	
68	24	32	25	36	23	10	26	
69	24	34	25	39	26	22	25	
70	25	32	20	20	24	18	25	
71	27	10	19	38	18	6	15	
72	2	12	28	41	27	21	1	
73	3	13	29	34	21	28	1	
74	3	13	30	34	21	29	1	
75	2	36	23	42	21	18	1	
76	3	13	29	43	21	28	1	
77	2	36	23	44	21	18	23	
78	3	13	4	44	28	9	1	
79	3	13	4	44	29	30	1	
80	2	36	23	44	21	18	27	
81	3	13	23	44	21	9	1	
82	2	36	23	34	21	18	23	
83	3	13	4	20	19	18	18	
