ST	atpG2	dnaA	fusA	rpoB	ruvB	uvrA	clonal_complex
1	1	1	1	1	1	1	
2	1	1	10	1	1	1	
3	1	8	6	11	8	10	
4	1	9	18	8	6	12	
5	1	18	2	21	8	3	
6	2	1	16	13	2	6	
7	2	5	16	17	1	5	
8	3	2	10	9	1	1	
9	4	7	9	1	11	10	
10	4	7	9	2	13	10	
11	4	10	9	1	14	10	
12	5	1	8	4	2	5	
13	5	8	6	3	4	10	
14	5	8	6	3	5	10	
15	5	8	10	9	5	10	
16	5	8	15	3	5	10	
17	6	4	14	20	7	3	
18	7	2	1	13	1	16	
19	7	2	5	13	16	16	
20	7	6	4	13	17	9	
21	7	16	4	13	17	4	
22	7	17	4	16	19	16	
23	8	1	1	5	2	13	
24	8	1	10	9	1	1	
25	8	1	11	9	1	10	
26	8	1	16	4	2	12	
27	8	1	16	15	1	12	
28	8	3	10	6	1	12	
29	8	5	8	4	3	12	
30	8	5	8	5	2	5	
31	8	5	12	18	2	5	
32	8	5	10	7	1	15	
33	8	5	16	5	2	13	
34	8	5	16	7	2	12	
35	8	5	16	17	1	12	
36	8	5	17	7	2	12	
37	8	7	8	13	12	12	
38	8	17	10	17	2	5	
39	9	5	16	17	1	15	
40	9	13	10	4	2	12	
41	10	5	16	4	2	12	
42	11	2	8	14	2	3	
43	12	11	6	8	2	14	
44	12	11	14	8	9	14	
45	12	12	14	8	2	2	
46	14	7	10	13	10	8	
47	14	7	13	13	10	8	
48	13	11	10	8	9	2	
49	13	11	14	8	9	2	
50	13	11	14	10	9	2	
51	15	3	7	12	2	11	
52	16	6	6	7	2	1	
53	16	14	6	1	18	11	
54	17	15	3	19	15	7	
55	18	8	19	7	20	1	
56	18	8	20	7	12	17	
57	4	6	14	1	11	12	
58	4	8	14	3	21	12	
59	1	1	14	1	1	2	
60	8	1	1	5	2	12	
61	2	1	16	17	2	5	
62	3	3	10	9	1	1	
63	5	3	10	9	1	12	
64	5	13	10	9	2	1	
65	5	3	10	9	2	1	
66	8	5	10	7	2	1	
67	5	8	14	3	5	10	
68	8	1	8	17	20	12	
69	8	13	16	6	1	12	
70	2	1	16	15	1	5	
71	2	5	16	15	1	12	
72	2	1	4	15	1	5	
73	8	1	8	17	20	5	
74	8	13	8	17	2	12	
75	2	1	8	22	2	5	
76	8	1	21	23	2	12	
77	5	1	16	6	2	18	
78	8	1	16	24	2	5	
79	8	5	8	23	2	12	
80	8	5	8	14	2	12	
81	8	5	16	7	5	19	
82	8	19	8	14	5	12	
83	1	6	24	30	9	21	
84	4	21	9	1	11	10	
85	5	1	6	7	26	10	
86	4	7	8	30	11	21	
87	20	21	9	1	11	10	
88	4	19	8	31	2	23	
89	4	7	24	30	9	1	
90	7	7	4	13	17	9	
91	1	22	8	1	25	23	
92	4	7	30	36	11	10	
93	7	16	4	13	17	25	
94	28	1	24	40	9	21	
95	29	7	24	30	9	1	
96	5	23	6	3	5	10	
97	30	6	6	42	27	1	
98	7	2	4	13	16	16	
99	4	7	10	37	2	24	
100	4	7	10	13	11	10	
101	4	7	28	34	11	10	
102	24	6	25	32	2	10	
103	4	21	9	28	11	10	
104	4	7	30	30	11	21	
105	4	1	33	14	11	1	
106	1	1	31	34	11	21	
107	7	3	4	17	16	16	
108	23	6	8	30	12	10	
109	4	1	1	14	11	21	
110	8	5	10	5	2	12	
111	8	5	8	17	2	13	
112	8	5	34	43	2	12	
113	8	5	8	5	2	12	
114	8	1	8	5	2	13	
115	8	1	8	5	2	12	
116	5	8	10	3	5	10	
117	8	13	16	7	2	12	
118	8	1	8	23	2	12	
119	8	5	35	6	1	5	
120	6	8	10	6	5	12	
121	8	3	12	3	1	10	
122	5	8	10	3	5	5	
123	5	8	10	6	5	10	
124	8	3	21	44	2	5	
125	8	5	16	14	2	12	
126	8	3	10	8	1	2	
127	8	1	36	23	2	26	
128	8	5	1	15	2	5	
129	8	5	16	45	2	28	
130	1	18	37	1	21	30	
131	7	1	4	13	5	8	
132	1	13	38	8	28	1	
133	8	5	8	14	5	12	
134	8	5	39	14	2	12	
135	7	17	4	16	19	1	
136	8	19	8	46	2	12	
137	8	1	39	23	2	26	
138	8	8	16	23	2	12	
139	5	3	10	3	1	10	
140	8	3	40	44	2	5	
141	31	13	16	45	1	32	
142	8	13	16	6	1	33	
143	8	3	16	47	5	34	
144	13	11	14	8	9	12	
145	32	7	16	3	1	2	
146	4	18	14	1	1	30	
147	4	19	1	8	28	21	
148	8	3	16	6	2	12	
149	8	5	16	7	1	12	
150	8	24	16	48	2	12	
151	8	1	16	15	2	13	
152	5	1	35	9	7	3	
153	33	19	1	8	28	21	
154	34	17	41	16	19	16	
155	32	7	16	3	1	12	
156	6	25	42	13	21	8	
157	6	25	42	13	1	8	
158	6	25	10	13	21	8	
159	6	1	42	13	1	8	
160	6	1	42	13	21	8	
161	6	1	42	13	27	8	
162	6	1	42	13	16	8	
163	8	5	34	5	2	12	
164	8	1	39	53	2	13	
