ST	adk	aroE	deoD	gapDH	gnd	mdh	zwf	clonal_complex
1	1	2	1	2	1	2	1	28
2	2	1	1	1	2	1	2	4
3	2	1	1	3	2	1	3	4
4	2	1	1	3	2	1	2	4
5	3	1	2	2	2	1	1	
6	2	1	14	3	1	1	4	8
7	2	1	3	3	1	3	4	8
8	2	1	3	1	1	1	4	8
9	3	1	1	1	2	1	2	4
10	2	1	3	3	1	1	4	8
11	2	1	4	1	1	1	4	8
12	2	5	1	3	1	6	7	
13	2	1	5	6	1	3	4	
14	2	1	1	1	1	1	4	8
15	2	1	7	3	1	3	4	8
16	1	1	1	2	1	6	1	
17	2	1	12	1	2	1	2	4
18	4	3	13	8	3	4	5	
19	7	10	10	8	9	10	12	
20	8	4	9	5	11	5	6	
21	9	6	9	9	6	9	10	
22	10	1	3	1	1	1	4	8
23	11	6	11	9	10	11	13	
24	8	4	9	5	7	5	10	
25	9	1	1	1	1	1	4	8
26	13	7	6	7	4	7	8	
27	15	9	9	10	8	6	11	
28	1	2	1	2	1	1	1	28
29	2	2	5	1	1	1	4	
30	1	2	1	2	1	2	14	28
31	2	1	1	11	1	6	1	
32	16	1	1	3	1	12	4	
33	1	2	1	2	12	1	1	28
34	1	2	1	2	1	1	15	28
35	2	1	1	3	2	13	2	4
36	2	1	1	3	2	1	1	4
37	2	2	3	1	13	1	4	
38	2	2	1	1	1	1	1	
39	14	8	3	8	14	14	12	
40	14	8	1	8	1	6	1	
41	2	2	15	1	1	1	1	
42	1	11	1	12	1	15	4	
43	2	1	3	3	1	3	16	
44	2	1	1	2	2	1	2	
45	1	1	3	1	1	3	4	
46	1	1	3	1	1	1	4	
47	17	12	16	13	14	16	12	
48	18	13	17	14	15	17	17	
49	19	14	18	8	16	18	18	
50	20	15	19	15	17	19	19	
51	1	2	20	2	1	1	1	
52	1	1	1	2	1	1	1	
53	21	1	3	1	1	1	20	
