eST	uvrA	gyrB	ftsY	tuf	gap	p120'	vaa	lmp1	lmp3	p60
1	1	1	1	1	1	1	1	1	1	1
2	4	1	1	3	3	2	2	3	3	2
3	3	1	1	4	4	5	1	6	5	3
4	4	1	1	2	3	2	2	2	2	2
5	2	1	1	2	3	4	1	2	2	2
6	3	1	1	4	4	5	2	6	5	3
7	6	3	5	8	5	6	2	5	6	1
8	2	2	3	5	6	3	1	4	4	2
9	2	1	1	2	2	8	3	8	7	6
10	2	1	1	7	2	8	5	11	7	6
11	4	1	1	2	3	2	2	2	3	2
12	2	1	1	2	3	4	1	2	3	2
13	4	1	1	1	1	2	2	1	2	1
14	7	1	1	6	9	9	4	9	9	7
15	2	1	1	2	2	3	1	4	4	9
16	6	3	5	8	5	2	2	5	6	1
17	7	1	1	2	10	11	4	5	2	7
18	1	1	1	1	1	2	1	1	1	1
19	9	1	4	10	3	7	1	10	2	5
20	5	1	2	6	6	1	3	14	11	4
21	10	1	1	2	7	7	3	12	10	8
22	2	1	1	2	3	2	2	2	2	2
23	11	1	1	4	4	2	3	6	5	3
24	2	1	1	11	9	10	3	7	8	6
25	3	1	5	9	3	12	2	13	5	3
26	3	1	6	6	8	2	1	15	11	10
27	8	1	1	4	10	7	1	16	12	5
28	8	1	1	4	10	7	1	17	11	5
29	4	1	1	3	3	2	2	3	2	2
30	2	1	1	4	10	13	6	18	13	1
31	10	1	1	4	11	1	1	6	9	11
32	12	4	1	4	7	1	7	18	14	12
