ST	adk	rpoB	tpiA	clonal_complex
1	1	1	1	
2	1	2	1	
3	2	1	2	
4	6	1	18	
5	1	7	11	
6	6	13	13	
7	8	8	7	
8	8	9	12	
9	6	6	17	
10	1	7	9	
11	6	11	1	
12	4	4	4	
13	3	3	3	
14	5	5	5	
15	13	17	19	
16	6	6	1	
17	10	2	1	
18	6	1	1	
19	9	1	4	
20	7	1	6	
21	6	7	4	
22	6	9	4	
23	6	12	4	
24	6	10	10	
25	8	4	8	
26	6	14	14	
27	11	15	15	
28	5	16	16	
29	12	15	4	
30	5	15	4	
31	14	18	20	
32	15	9	17	
33	6	8	13	
34	16	18	21	
35	6	13	14	
36	16	5	22	
37	6	13	23	
38	17	19	5	
39	3	20	24	
40	18	21	25	
41	13	22	26	
42	6	6	27	
43	16	23	28	
44	16	24	16	
45	6	25	1	
46	19	26	20	
47	6	25	29	
48	6	18	20	
49	20	15	30	
50	16	27	15	
51	21	28	28	
52	21	29	28	
53	22	15	31	
54	1	8	32	
55	5	30	24	
56	5	19	5	
57	23	19	5	
58	10	19	5	
59	23	26	5	
60	23	26	33	
61	16	15	34	
62	5	30	20	
63	16	10	35	
64	3	30	22	
65	16	30	22	
66	5	31	20	
67	24	30	20	
68	3	30	20	
69	23	33	26	
70	6	33	26	
71	25	15	36	
72	5	37	42	
73	6	37	38	
74	6	43	44	
75	6	46	46	
76	6	49	1	
77	6	51	48	
78	19	37	42	
79	19	38	26	
80	23	40	41	
81	23	47	41	
82	26	34	37	
83	26	38	39	
84	26	52	49	
85	27	15	38	
86	27	37	42	
87	29	48	47	
88	29	50	38	
89	30	41	7	
90	31	42	43	
91	32	44	38	
92	33	18	45	
93	33	45	45	
94	34	53	45	
95	23	39	40	
96	27	37	38	
97	28	35	1	
98	29	36	38	
99	32	21	45	
100	32	49	27	
101	6	18	30	
102	6	18	3	
103	6	18	27	
104	6	18	49	
105	6	38	3	
106	6	37	20	
107	6	37	19	
108	6	38	4	
